"Status","Year","Disability","Ethnicity","Region_ITL2","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Asian","Bedfordshire and Hertfordshire","Outside London","70","65","30460","27570"
"In post","2021","Declared disabled","Asian","Berkshire, Buckinghamshire and Oxfordshire","Outside London","65","60","29910","27570"
"In post","2021","Declared disabled","Asian","Cheshire","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Cornwall and Isles of Scilly","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Derbyshire and Nottinghamshire","Outside London","80","70","29900","27570"
"In post","2021","Declared disabled","Asian","Devon","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Dorset and Somerset","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","East Anglia","Outside London","35","30","27000","26930"
"In post","2021","Declared disabled","Asian","East Wales","Outside London","20","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","East Yorkshire and Northern Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Eastern Scotland","Outside London","20","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","Essex","Outside London","25","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","60","55","31360","27570"
"In post","2021","Declared disabled","Asian","Greater Manchester","Outside London","135","120","27930","25560"
"In post","2021","Declared disabled","Asian","Hampshire and Isle of Wight","Outside London","25","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","Herefordshire, Worcestershire and Warwickshire","Outside London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Highlands and Islands","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Inner London - East","London","230","215","34330","31060"
"In post","2021","Declared disabled","Asian","Inner London - West","London","535","510","40410","35980"
"In post","2021","Declared disabled","Asian","Kent","Outside London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Lancashire","Outside London","100","90","24980","21440"
"In post","2021","Declared disabled","Asian","Leicestershire, Rutland and Northamptonshire","Outside London","120","105","23850","21440"
"In post","2021","Declared disabled","Asian","Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Merseyside","Outside London","15","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","North Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","North Yorkshire","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Northumberland and Tyne and Wear","Outside London","20","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","Outer London - East and North East","London","85","80","29580","31060"
"In post","2021","Declared disabled","Asian","Outer London - South","London","165","145","33640","29620"
"In post","2021","Declared disabled","Asian","Outer London - West and North West","London","260","230","31090","30410"
"In post","2021","Declared disabled","Asian","Overseas","Overseas","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Shropshire and Staffordshire","Outside London","25","25","[c]","[c]"
"In post","2021","Declared disabled","Asian","South Yorkshire","Outside London","30","25","[c]","[c]"
"In post","2021","Declared disabled","Asian","Southern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Surrey, East and West Sussex","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Tees Valley and Durham","Outside London","15","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","Unknown","25","25","[c]","[c]"
"In post","2021","Declared disabled","Asian","West Central Scotland","Outside London","15","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","West Midlands","Outside London","365","335","26850","27230"
"In post","2021","Declared disabled","Asian","West Wales and The Valleys","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","West Yorkshire","Outside London","150","140","27930","27570"
"In post","2021","Declared disabled","Black","Bedfordshire and Hertfordshire","Outside London","25","25","[c]","[c]"
"In post","2021","Declared disabled","Black","Berkshire, Buckinghamshire and Oxfordshire","Outside London","25","25","[c]","[c]"
"In post","2021","Declared disabled","Black","Cheshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Cornwall and Isles of Scilly","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Derbyshire and Nottinghamshire","Outside London","40","40","27040","27570"
"In post","2021","Declared disabled","Black","Devon","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Dorset and Somerset","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","East Anglia","Outside London","20","15","[c]","[c]"
"In post","2021","Declared disabled","Black","East Wales","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Black","East Yorkshire and Northern Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Eastern Scotland","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","Essex","Outside London","30","25","[c]","[c]"
"In post","2021","Declared disabled","Black","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","50","45","31470","28650"
"In post","2021","Declared disabled","Black","Greater Manchester","Outside London","45","45","28500","27570"
"In post","2021","Declared disabled","Black","Hampshire and Isle of Wight","Outside London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Black","Herefordshire, Worcestershire and Warwickshire","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Black","Highlands and Islands","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Inner London - East","London","315","295","32070","31060"
"In post","2021","Declared disabled","Black","Inner London - West","London","520","500","35290","31880"
"In post","2021","Declared disabled","Black","Kent","Outside London","20","20","[c]","[c]"
"In post","2021","Declared disabled","Black","Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Leicestershire, Rutland and Northamptonshire","Outside London","20","15","[c]","[c]"
"In post","2021","Declared disabled","Black","Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Merseyside","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Black","North Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","North Yorkshire","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Northumberland and Tyne and Wear","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Black","Outer London - East and North East","London","85","80","31660","31060"
"In post","2021","Declared disabled","Black","Outer London - South","London","180","170","33250","31060"
"In post","2021","Declared disabled","Black","Outer London - West and North West","London","105","100","30490","31060"
"In post","2021","Declared disabled","Black","Overseas","Overseas","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","Shropshire and Staffordshire","Outside London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Black","South Yorkshire","Outside London","20","20","[c]","[c]"
"In post","2021","Declared disabled","Black","Southern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Surrey, East and West Sussex","Outside London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Black","Tees Valley and Durham","Outside London","[c]","[c]","[c]","[c]"
