"Status","Year","Function_of_post","Profession_of_post","Region_ITL2","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Commercial","East Anglia","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Hampshire and Isle of Wight","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Inner London - West","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Surrey, East and West Sussex","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","West Midlands","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","Inner London - West","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","Surrey, East and West Sussex","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","Inner London - West","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Derbyshire and Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","East Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","10","10","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Greater Manchester","Outside London","15","15","37080","33190"
"In post","2021","Analysis","Digital, Data and Technology","Hampshire and Isle of Wight","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Inner London - East","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Inner London - West","London","75","75","46870","45250"
"In post","2021","Analysis","Digital, Data and Technology","Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","North Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Northumberland and Tyne and Wear","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","South Yorkshire","Outside London","55","50","44750","42420"
"In post","2021","Analysis","Digital, Data and Technology","Tees Valley and Durham","Outside London","20","20","41450","42320"
"In post","2021","Analysis","Digital, Data and Technology","West Central Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","West Midlands","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","West Wales and The Valleys","Outside London","30","30","29890","26780"
"In post","2021","Analysis","Digital, Data and Technology","West Yorkshire","Outside London","10","10","34650","30930"
"In post","2021","Analysis","Economics","Berkshire, Buckinghamshire and Oxfordshire","Outside London","15","15","48190","51970"
"In post","2021","Analysis","Economics","East Anglia","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","East Wales","Outside London","125","120","36080","29840"
"In post","2021","Analysis","Economics","Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Greater Manchester","Outside London","30","25","37790","31810"
"In post","2021","Analysis","Economics","Hampshire and Isle of Wight","Outside London","10","10","42450","42560"
"In post","2021","Analysis","Economics","Inner London - East","London","175","170","56040","55860"
"In post","2021","Analysis","Economics","Inner London - West","London","890","880","46090","39640"
"In post","2021","Analysis","Economics","Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","North Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Outer London - South","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Surrey, East and West Sussex","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","West Central Scotland","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Economics","West Midlands","Outside London","10","10","[c]","[c]"
"In post","2021","Analysis","Economics","West Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Derbyshire and Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Devon","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","East Anglia","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Inner London - East","London","25","25","46870","41770"
"In post","2021","Analysis","Finance","Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Leicestershire, Rutland and Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Outer London - South","London","5","5","[c]","[c]"
"In post","2021","Analysis","Finance","Shropshire and Staffordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","West Central Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","West Midlands","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","Derbyshire and Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","Inner London - East","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","Inner London - West","London","15","15","50070","46050"
"In post","2021","Analysis","Intelligence Analysis","East Anglia","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","East Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Hampshire and Isle of Wight","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Inner London - East","London","30","30","53750","46940"
"In post","2021","Analysis","Intelligence Analysis","Inner London - West","London","180","175","54060","53360"
"In post","2021","Analysis","Intelligence Analysis","Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","North Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","West Yorkshire","Outside London","60","55","48980","49530"
"In post","2021","Analysis","Knowledge and Information Management","Derbyshire and Nottinghamshire","Outside London","10","10","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Devon","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","East Wales","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","10","5","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Greater Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Hampshire and Isle of Wight","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Inner London - East","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Inner London - West","London","15","10","38040","33000"
"In post","2021","Analysis","Knowledge and Information Management","Northumberland and Tyne and Wear","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Shropshire and Staffordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","West Wales and The Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","West Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Berkshire, Buckinghamshire and Oxfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Cheshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Cumbria","Outside London","15","15","28910","29180"
"In post","2021","Analysis","Operational Delivery","Derbyshire and Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Devon","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Dorset and Somerset","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","East Wales","Outside London","330","305","30790","29540"
"In post","2021","Analysis","Operational Delivery","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","10","10","38130","37320"
"In post","2021","Analysis","Operational Delivery","Greater Manchester","Outside London","10","10","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Hampshire and Isle of Wight","Outside London","95","90","30800","29540"
"In post","2021","Analysis","Operational Delivery","Inner London - East","London","25","25","36910","30850"
"In post","2021","Analysis","Operational Delivery","Inner London - West","London","55","55","40630","32540"
"In post","2021","Analysis","Operational Delivery","Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Merseyside","Outside London","20","15","32780","32280"
"In post","2021","Analysis","Operational Delivery","North Yorkshire","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Northumberland and Tyne and Wear","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Outer London - South","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Shropshire and Staffordshire","Outside London","[c]","[c]","[c]","[c]"
