"Status","Year","Disability","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Analysis","580","550","41200","37320"
"In post","2021","Declared disabled","Commercial","570","550","39000","36480"
"In post","2021","Declared disabled","Communications","550","520","32100","29110"
"In post","2021","Declared disabled","Counter Fraud","825","755","33200","31810"
"In post","2021","Declared disabled","Debt","375","320","23060","21440"
"In post","2021","Declared disabled","Digital, Data & Technology","1085","1040","39210","35900"
"In post","2021","Declared disabled","Finance","815","755","37560","33300"
"In post","2021","Declared disabled","Grants Management","155","140","25600","21050"
"In post","2021","Declared disabled","Human Resources","1220","1150","38620","33730"
"In post","2021","Declared disabled","Internal Audit","90","90","44320","40020"
"In post","2021","Declared disabled","Legal","1245","1145","43910","40970"
"In post","2021","Declared disabled","No function","17510","16130","31160","28120"
"In post","2021","Declared disabled","Project Delivery","2640","2530","39250","36480"
"In post","2021","Declared disabled","Property","735","695","34620","32140"
"In post","2021","Declared disabled","Security","655","635","31990","28890"
"In post","2021","Declared disabled","Unknown","21505","19245","28670","27570"
"In post","2021","Declared non-disabled","Analysis","4545","4365","44490","39850"
"In post","2021","Declared non-disabled","Commercial","3980","3860","43320","38280"
"In post","2021","Declared non-disabled","Communications","4725","4545","35700","31810"
"In post","2021","Declared non-disabled","Counter Fraud","5925","5590","34520","31810"
"In post","2021","Declared non-disabled","Debt","2310","2060","24160","21440"
"In post","2021","Declared non-disabled","Digital, Data & Technology","8515","8255","42290","38630"
"In post","2021","Declared non-disabled","Finance","6330","6010","40060","36160"
"In post","2021","Declared non-disabled","Grants Management","1690","1540","25420","21050"
"In post","2021","Declared non-disabled","Human Resources","6330","6000","38200","33300"
"In post","2021","Declared non-disabled","Internal Audit","570","545","46270","43330"
"In post","2021","Declared non-disabled","Legal","9160","8465","47120","49580"
"In post","2021","Declared non-disabled","No function","113375","105780","33630","29750"
"In post","2021","Declared non-disabled","Project Delivery","19715","19075","41480","38630"
"In post","2021","Declared non-disabled","Property","6340","6040","35380","33020"
"In post","2021","Declared non-disabled","Security","5340","5225","31480","27380"
"In post","2021","Declared non-disabled","Unknown","122060","111705","30550","27570"
"In post","2021","Undeclared","Analysis","370","360","43190","41500"
"In post","2021","Undeclared","Commercial","385","375","42330","38630"
"In post","2021","Undeclared","Communications","360","345","35930","31810"
"In post","2021","Undeclared","Counter Fraud","650","610","35770","31810"
"In post","2021","Undeclared","Debt","205","185","24340","21440"
"In post","2021","Undeclared","Digital, Data & Technology","675","660","40800","38450"
"In post","2021","Undeclared","Finance","510","485","39100","35300"
"In post","2021","Undeclared","Grants Management","40","35","29410","25590"
"In post","2021","Undeclared","Human Resources","505","480","37330","33300"
"In post","2021","Undeclared","Internal Audit","55","55","49930","49540"
"In post","2021","Undeclared","Legal","370","345","50640","50820"
"In post","2021","Undeclared","No function","13860","12800","32720","31650"
"In post","2021","Undeclared","Project Delivery","1805","1740","40100","37940"
"In post","2021","Undeclared","Property","625","590","35890","33300"
"In post","2021","Undeclared","Security","695","680","34750","34770"
"In post","2021","Undeclared","Unknown","7635","7145","30080","27570"
"In post","2021","Unknown","Analysis","1715","1665","40480","36160"
"In post","2021","Unknown","Commercial","2040","1995","54090","50540"
"In post","2021","Unknown","Communications","2575","2505","33420","27500"
"In post","2021","Unknown","Counter Fraud","2220","2100","31660","29570"
"In post","2021","Unknown","Debt","1780","1655","22080","20140"
"In post","2021","Unknown","Digital, Data & Technology","3315","3255","40540","37050"
"In post","2021","Unknown","Finance","1745","1650","36680","32790"
"In post","2021","Unknown","Grants Management","10","10","[c]","[c]"
"In post","2021","Unknown","Human Resources","1530","1450","34240","30750"
"In post","2021","Unknown","Internal Audit","50","45","42420","40100"
"In post","2021","Unknown","Legal","4070","3775","36430","29350"
"In post","2021","Unknown","No function","40190","37890","31470","27700"
"In post","2021","Unknown","Project Delivery","4240","4095","41990","38630"
"In post","2021","Unknown","Property","1615","1550","30180","26530"
"In post","2021","Unknown","Security","2075","2035","30750","27680"
"In post","2021","Unknown","Unknown","15510","14950","35310","30650"
"Leaver CS","2021","Declared disabled","Analysis","10","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Commercial","20","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Communications","15","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Digital, Data & Technology","35","[c]","38700","34450"
"Leaver CS","2021","Declared disabled","Finance","25","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
