"Status","Year","Ethnicity","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Commercial","230","225","39160","36780"
"In post","2021","Asian","Communications","175","170","39500","36160"
"In post","2021","Asian","Corporate Finance","25","25","[c]","[c]"
"In post","2021","Asian","Counter Fraud","50","45","36100","33100"
"In post","2021","Asian","Digital, Data and Technology","865","855","42370","38630"
"In post","2021","Asian","Economics","180","175","44530","41000"
"In post","2021","Asian","Finance","750","725","39930","36500"
"In post","2021","Asian","Human Resources","410","395","37380","34000"
"In post","2021","Asian","Inspector of Education and Training","25","25","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","190","180","32790","29250"
"In post","2021","Asian","Internal Audit","75","75","46610","44310"
"In post","2021","Asian","International Trade","110","110","42870","38160"
"In post","2021","Asian","Knowledge and Information Management","120","115","34290","32340"
"In post","2021","Asian","Legal","885","830","47400","48830"
"In post","2021","Asian","Medicine","190","175","72500","77320"
"In post","2021","Asian","Operational Delivery","10070","9225","27920","25630"
"In post","2021","Asian","Operational Research","45","45","41050","37320"
"In post","2021","Asian","Other","845","810","32850","28850"
"In post","2021","Asian","Planning","5","5","[c]","[c]"
"In post","2021","Asian","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Policy","1920","1875","42950","38740"
"In post","2021","Asian","Project Delivery","815","800","40780","38060"
"In post","2021","Asian","Property","245","235","36900","33150"
"In post","2021","Asian","Psychology","35","35","35460","31180"
"In post","2021","Asian","Science and Engineering","570","550","36520","33480"
"In post","2021","Asian","Security","285","280","30660","27720"
"In post","2021","Asian","Social Research","35","35","44170","41500"
"In post","2021","Asian","Statistics","135","135","41890","39100"
"In post","2021","Asian","Tax","1390","1315","32640","31810"
"In post","2021","Asian","Unknown","8465","7710","29230","27570"
"In post","2021","Asian","Veterinarian","5","5","[c]","[c]"
"In post","2021","Black","Commercial","180","175","38140","36010"
"In post","2021","Black","Communications","115","115","38430","36320"
"In post","2021","Black","Corporate Finance","5","5","[c]","[c]"
"In post","2021","Black","Counter Fraud","25","20","[c]","[c]"
"In post","2021","Black","Digital, Data and Technology","405","400","40290","37240"
"In post","2021","Black","Economics","65","65","38110","33210"
"In post","2021","Black","Finance","370","365","39750","36810"
"In post","2021","Black","Human Resources","290","280","37930","34710"
"In post","2021","Black","Inspector of Education and Training","25","25","[c]","[c]"
"In post","2021","Black","Intelligence Analysis","65","60","33580","30560"
"In post","2021","Black","Internal Audit","30","30","43500","41320"
"In post","2021","Black","International Trade","55","55","42650","38540"
"In post","2021","Black","Knowledge and Information Management","75","75","34260","31390"
"In post","2021","Black","Legal","425","410","48610","50520"
"In post","2021","Black","Medicine","60","60","71280","68120"
"In post","2021","Black","Operational Delivery","5855","5550","29320","27490"
"In post","2021","Black","Operational Research","20","20","[c]","[c]"
"In post","2021","Black","Other","525","505","30900","28660"
"In post","2021","Black","Planning","5","5","[c]","[c]"
"In post","2021","Black","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Black","Policy","1095","1080","39120","35070"
"In post","2021","Black","Project Delivery","490","485","39910","37570"
"In post","2021","Black","Property","130","125","36660","33680"
"In post","2021","Black","Psychology","20","20","[c]","[c]"
"In post","2021","Black","Science and Engineering","285","270","36910","34830"
"In post","2021","Black","Security","120","120","30590","25630"
"In post","2021","Black","Social Research","25","25","[c]","[c]"
"In post","2021","Black","Statistics","55","55","40310","38630"
"In post","2021","Black","Tax","430","415","32230","31810"
"In post","2021","Black","Unknown","4360","4140","30180","30330"
"In post","2021","Black","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","10","10","[c]","[c]"
"In post","2021","Chinese","Communications","15","15","[c]","[c]"
"In post","2021","Chinese","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Digital, Data and Technology","60","60","42040","38630"
"In post","2021","Chinese","Economics","25","25","[c]","[c]"
"In post","2021","Chinese","Finance","50","50","40470","36310"
"In post","2021","Chinese","Human Resources","20","20","[c]","[c]"
"In post","2021","Chinese","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Intelligence Analysis","15","15","[c]","[c]"
"In post","2021","Chinese","Internal Audit","5","5","[c]","[c]"
"In post","2021","Chinese","International Trade","10","10","[c]","[c]"
"In post","2021","Chinese","Knowledge and Information Management","10","10","[c]","[c]"
"In post","2021","Chinese","Legal","50","45","49240","51520"
"In post","2021","Chinese","Medicine","20","15","[c]","[c]"
"In post","2021","Chinese","Operational Delivery","355","330","28390","25560"
"In post","2021","Chinese","Operational Research","10","10","[c]","[c]"
"In post","2021","Chinese","Other","55","50","35320","27710"
"In post","2021","Chinese","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Policy","130","130","44620","40220"
"In post","2021","Chinese","Project Delivery","30","30","46070","42310"
"In post","2021","Chinese","Property","15","15","[c]","[c]"
"In post","2021","Chinese","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Science and Engineering","55","50","43810","40070"
"In post","2021","Chinese","Security","15","15","[c]","[c]"
"In post","2021","Chinese","Social Research","10","10","[c]","[c]"
"In post","2021","Chinese","Statistics","30","25","[c]","[c]"
"In post","2021","Chinese","Tax","50","50","38390","31870"
"In post","2021","Chinese","Unknown","210","195","31350","27570"
"In post","2021","Chinese","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Commercial","90","85","38980","34800"
"In post","2021","Mixed","Communications","110","110","41630","39070"
"In post","2021","Mixed","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Counter Fraud","20","15","[c]","[c]"
"In post","2021","Mixed","Digital, Data and Technology","215","210","42750","39440"
"In post","2021","Mixed","Economics","90","90","45070","43840"
"In post","2021","Mixed","Finance","145","140","41130","38390"
"In post","2021","Mixed","Human Resources","155","150","40820","37460"
"In post","2021","Mixed","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Intelligence Analysis","65","60","39240","35450"
"In post","2021","Mixed","Internal Audit","15","15","[c]","[c]"
"In post","2021","Mixed","International Trade","40","40","49150","51970"
