"Status","Year","Age","Organisation","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Insolvency Service","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Insolvency Service","AA/AO","AO","10","10","[c]","[c]"
"In post","2021","16-19","Institute for Apprenticeships and Technical Education","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal Aid Agency","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal Aid Agency","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Maritime and Coastguard Agency","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Medicines and Healthcare Products Regulatory Agency","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Met Office","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","AA/AO","AA","15","15","19050","19560"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","AA/AO","AO","25","25","21970","20920"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","EO","EO","5","5","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","EO","EO","5","5","[c]","[c]"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","National Crime Agency","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","National Records of Scotland","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Budget Responsibility","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Standards in Education, Children's Services and Skills","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of Rail and Road","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of the Public Guardian","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Public Health England","AA/AO","AA","15","10","20180","18850"
"In post","2021","16-19","Public Health England","AA/AO","AO","10","5","20210","19630"
"In post","2021","16-19","Public Health England","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Registers of Scotland","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Royal Fleet Auxiliary","Unknown","Unknown","35","35","18640","15940"
"In post","2021","16-19","Rural Payments Agency","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland Office (incl. Office of the Advocate General for Scotland)","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Courts and Tribunals Service","AA/AO","AO","10","10","[c]","[c]"
"In post","2021","16-19","Scottish Government (excl. agencies)","AA/AO","AA","40","40","20860","21150"
"In post","2021","16-19","Scottish Government (excl. agencies)","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Government (excl. agencies)","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Prison Service","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Prison Service","AA/AO","AO","10","10","[c]","[c]"
"In post","2021","16-19","Social Security Scotland","AA/AO","AA","10","10","[c]","[c]"
"In post","2021","16-19","Social Security Scotland","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Social Security Scotland","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Student Awards Agency for Scotland","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Submarine Delivery Agency","Unknown","Unknown","15","15","16840","16780"
"In post","2021","16-19","The National Archives","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","The National Archives","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Transport Scotland","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","UK Hydrographic Office","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","UK Intellectual Property Office","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","AA/AO","AO","5","5","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","EO","EO","5","5","[c]","[c]"
"In post","2021","16-19","Valuation Office Agency","AA/AO","AO","10","10","21400","20880"
"In post","2021","16-19","Valuation Office Agency","EO","EO","5","5","[c]","[c]"
"In post","2021","16-19","Vehicle Certification Agency","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Welsh Government (excl. agencies)","AA/AO","AO","5","5","[c]","[c]"
"In post","2021","20-29","Accountant in Bankruptcy","AA/AO","AA","5","5","[c]","[c]"
"In post","2021","20-29","Accountant in Bankruptcy","EO","EO","5","5","[c]","[c]"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","AA/AO","AO","10","10","20830","19790"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","EO","EO","75","70","24530","24250"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","SEO/HEO","HEO","25","25","32070","30950"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Animal and Plant Health Agency","AA/AO","AO","200","195","22130","21050"
"In post","2021","20-29","Animal and Plant Health Agency","EO","EO","190","185","26330","25100"
"In post","2021","20-29","Animal and Plant Health Agency","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Animal and Plant Health Agency","SEO/HEO","HEO","50","45","30960","30230"
"In post","2021","20-29","Animal and Plant Health Agency","SEO/HEO","SEO","15","15","37320","35900"
"In post","2021","20-29","Attorney General's Office","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Office","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Office","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Office","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
