"Status","Year","Function_of_post","Parent_department","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Operational Delivery","Outside London","35","30","31320","29690"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Science and Engineering","Outside London","480","455","33720","29750"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Statistics","London","20","20","45530","40060"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Statistics","Outside London","55","55","35470","31350"
"In post","2021","Analysis","Department for International Trade","Economics","London","130","130","42790","31800"
"In post","2021","Analysis","Department for International Trade","Economics","Outside London","15","15","48190","51970"
"In post","2021","Analysis","Department for International Trade","Operational Research","London","5","5","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Other","London","15","15","36070","30100"
"In post","2021","Analysis","Department for International Trade","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Policy","London","10","10","47180","39780"
"In post","2021","Analysis","Department for International Trade","Social Research","London","20","20","44560","46050"
"In post","2021","Analysis","Department for International Trade","Statistics","London","50","50","43330","40030"
"In post","2021","Analysis","Department for International Trade","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Corporate Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Digital, Data and Technology","London","10","10","45940","43530"
"In post","2021","Analysis","Department for Transport","Digital, Data and Technology","Outside London","25","25","27990","26780"
"In post","2021","Analysis","Department for Transport","Economics","London","170","165","47670","54110"
"In post","2021","Analysis","Department for Transport","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Intelligence Analysis","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Knowledge and Information Management","Outside London","20","20","33840","32320"
"In post","2021","Analysis","Department for Transport","Operational Research","London","20","20","44100","40420"
"In post","2021","Analysis","Department for Transport","Operational Research","Outside London","40","40","31110","31860"
"In post","2021","Analysis","Department for Transport","Other","London","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Policy","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Science and Engineering","London","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Social Research","London","40","40","47930","43360"
"In post","2021","Analysis","Department for Transport","Social Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Statistics","London","115","110","45560","42890"
"In post","2021","Analysis","Department for Transport","Statistics","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","Economics","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","Operational Delivery","Outside London","15","10","34050","29750"
"In post","2021","Analysis","Department for Work and Pensions","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","Science and Engineering","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","Statistics","Outside London","15","15","50150","57510"
"In post","2021","Analysis","Department of Health and Social Care","Intelligence Analysis","London","175","170","54550","53360"
"In post","2021","Analysis","Department of Health and Social Care","Intelligence Analysis","Outside London","60","55","49160","49530"
"In post","2021","Analysis","Department of Health and Social Care","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","Statistics","London","20","20","52240","53360"
"In post","2021","Analysis","Department of Health and Social Care","Statistics","Outside London","30","25","46700","50070"
"In post","2021","Analysis","ESTYN","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Social Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Economics","London","10","10","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Intelligence Analysis","London","5","5","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Intelligence Analysis","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Social Research","London","10","10","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Social Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","Operational Research","London","65","65","57940","58370"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","Operational Research","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Finance","London","5","5","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Finance","Outside London","15","15","37780","33840"
"In post","2021","Analysis","HM Revenue and Customs","Economics","London","75","75","48460","36350"
"In post","2021","Analysis","HM Revenue and Customs","Economics","Outside London","25","25","36940","31810"
"In post","2021","Analysis","HM Revenue and Customs","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Knowledge and Information Management","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Operational Delivery","London","20","20","41780","36160"
"In post","2021","Analysis","HM Revenue and Customs","Operational Delivery","Outside London","10","10","33900","33550"
"In post","2021","Analysis","HM Revenue and Customs","Operational Research","London","45","40","47130","36160"
"In post","2021","Analysis","HM Revenue and Customs","Operational Research","Outside London","60","60","41590","38630"
"In post","2021","Analysis","HM Revenue and Customs","Social Research","London","45","45","48410","42540"
"In post","2021","Analysis","HM Revenue and Customs","Social Research","Outside London","35","35","41680","38630"
"In post","2021","Analysis","HM Revenue and Customs","Statistics","London","155","150","47900","41760"
"In post","2021","Analysis","HM Revenue and Customs","Statistics","Outside London","150","145","39670","38630"
"In post","2021","Analysis","HM Revenue and Customs","Tax","London","10","10","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Tax","Outside London","10","10","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Unknown","London","25","25","50790","59160"
"In post","2021","Analysis","HM Revenue and Customs","Unknown","Outside London","10","10","41600","38630"
"In post","2021","Analysis","HM Treasury","Digital, Data and Technology","London","5","5","[c]","[c]"
"In post","2021","Analysis","HM Treasury","Economics","London","85","85","47960","52530"
"In post","2021","Analysis","HM Treasury","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury","Intelligence Analysis","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury","Intelligence Analysis","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury","Operational Delivery","London","10","10","[c]","[c]"
"In post","2021","Analysis","HM Treasury","Policy","London","45","40","65000","60840"
"In post","2021","Analysis","HM Treasury","Statistics","London","10","10","[c]","[c]"
"In post","2021","Analysis","HM Treasury","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury","Tax","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","Digital, Data and Technology","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","Economics","London","30","30","43990","38600"
"In post","2021","Analysis","Ministry of Defence","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","Intelligence Analysis","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","Operational Delivery","Outside London","20","20","39640","37320"
"In post","2021","Analysis","Ministry of Defence","Operational Research","Outside London","255","245","41950","46080"
"In post","2021","Analysis","Ministry of Defence","Project Delivery","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","Science and Engineering","Outside London","155","150","37330","37320"
"In post","2021","Analysis","Ministry of Defence","Statistics","London","55","55","44000","41070"
"In post","2021","Analysis","Ministry of Defence","Statistics","Outside London","115","110","37960","36300"
"In post","2021","Analysis","Ministry of Defence","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","Economics","London","75","75","43680","35060"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","Social Research","London","25","25","51520","53130"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","Statistics","London","90","85","48480","49550"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","Statistics","Outside London","15","15","41560","39100"
"In post","2021","Analysis","Ministry of Justice","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice","Economics","London","45","40","45390","33930"
"In post","2021","Analysis","Ministry of Justice","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice","Finance","London","10","10","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice","Operational Delivery","London","20","20","37210","36480"
"In post","2021","Analysis","Ministry of Justice","Operational Delivery","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice","Operational Research","London","95","90","48210","41930"
"In post","2021","Analysis","Ministry of Justice","Operational Research","Outside London","10","10","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice","Other","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice","Policy","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice","Project Delivery","London","5","5","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice","Psychology","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice","Social Research","London","60","60","50240","49430"
"In post","2021","Analysis","Ministry of Justice","Social Research","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice","Statistics","London","95","90","47760","42200"
"In post","2021","Analysis","Ministry of Justice","Statistics","Outside London","15","15","32620","27520"
"In post","2021","Analysis","Ministry of Justice","Unknown","London","20","20","45400","41930"
"In post","2021","Analysis","Ministry of Justice","Unknown","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education","Social Research","London","25","20","46080","35010"
"In post","2021","Analysis","Office for Standards in Education","Social Research","Outside London","15","15","34630","32010"
"In post","2021","Analysis","Office for Standards in Education","Statistics","London","15","15","44820","42850"
"In post","2021","Analysis","Office for Standards in Education","Statistics","Outside London","100","95","38520","32010"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Economics","London","15","15","46030","47180"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Finance","London","20","20","51610","50640"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Other","London","15","15","59680","52680"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Policy","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Science and Engineering","London","5","5","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Science and Engineering","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","Economics","London","15","15","59370","59130"
"In post","2021","Analysis","Office of Rail and Road","Economics","Outside London","15","15","53270","57030"
"In post","2021","Analysis","Office of Rail and Road","Statistics","London","15","15","48690","48700"
"In post","2021","Analysis","Office of Rail and Road","Statistics","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Scottish Government","Statistics","Outside London","25","25","38030","36780"
"In post","2021","Analysis","Scottish Government","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","UK Export Finance","Digital, Data and Technology","London","10","10","[c]","[c]"
"In post","2021","Analysis","UK Export Finance","Economics","London","5","5","[c]","[c]"
"In post","2021","Analysis","UK Export Finance","Knowledge and Information Management","London","10","10","[c]","[c]"
"In post","2021","Analysis","United Kingdom Statistics Authority","Economics","London","30","30","45410","32540"
"In post","2021","Analysis","United Kingdom Statistics Authority","Economics","Outside London","120","120","35170","29540"
"In post","2021","Analysis","United Kingdom Statistics Authority","Operational Delivery","London","30","30","32640","32540"
"In post","2021","Analysis","United Kingdom Statistics Authority","Operational Delivery","Outside London","415","390","30560","29540"
"In post","2021","Analysis","United Kingdom Statistics Authority","Operational Research","London","5","5","[c]","[c]"
"In post","2021","Analysis","United Kingdom Statistics Authority","Operational Research","Outside London","20","20","33240","32040"
"In post","2021","Analysis","United Kingdom Statistics Authority","Social Research","London","70","70","36600","32540"
"In post","2021","Analysis","United Kingdom Statistics Authority","Social Research","Outside London","475","450","37830","37020"
"In post","2021","Analysis","United Kingdom Statistics Authority","Statistics","London","90","90","45360","35780"
"In post","2021","Analysis","United Kingdom Statistics Authority","Statistics","Outside London","440","425","41380","37020"
"In post","2021","Analysis","Wales Office","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","Economics","London","20","20","74640","75500"
"In post","2021","Analysis","Water Services Regulation Authority","Economics","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","Science and Engineering","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Welsh Government","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","Commercial","London","10","10","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","Commercial","Outside London","15","15","43670","38360"
"In post","2021","Commercial","Cabinet Office","Other","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cabinet Office","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cabinet Office","Policy","London","10","10","56700","57450"
"In post","2021","Commercial","Cabinet Office","Unknown","London","755","745","75770","67880"
"In post","2021","Commercial","Cabinet Office","Unknown","Outside London","630","620","64970","62010"
"In post","2021","Commercial","Cabinet Office","Unknown","Unknown","15","15","62420","54700"
"In post","2021","Commercial","Chancellor's other departments","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chancellor's other departments","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chancellor's other departments","Other","London","10","10","[c]","[c]"
"In post","2021","Commercial","Charity Commission","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","Commercial","London","10","10","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Commercial","London","15","15","45500","44480"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Commercial","Outside London","220","215","42970","41510"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Policy","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","Commercial","London","20","20","50090","51730"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","Operational Delivery","London","5","5","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education","Commercial","London","15","15","50490","46030"
"In post","2021","Commercial","Department for Education","Commercial","Outside London","180","175","39490","38000"
"In post","2021","Commercial","Department for Education","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education","Operational Delivery","Outside London","5","5","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","Commercial","London","20","20","39850","40200"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","Commercial","Outside London","145","135","38540","36970"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","Operational Delivery","Outside London","25","20","34250","31220"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","Science and Engineering","Outside London","15","15","31910","28890"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","Veterinarian","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for International Trade","Commercial","London","25","25","37120","38160"
"In post","2021","Commercial","Department for Transport","Commercial","London","5","5","[c]","[c]"
"In post","2021","Commercial","Department for Transport","Commercial","Outside London","200","185","33540","31040"
"In post","2021","Commercial","Department for Work and Pensions","Commercial","Outside London","35","30","45710","45870"
"In post","2021","Commercial","Department for Work and Pensions","Operational Delivery","Outside London","10","10","24760","22160"
"In post","2021","Commercial","Department for Work and Pensions","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care","Commercial","London","130","125","53670","45010"
"In post","2021","Commercial","Department of Health and Social Care","Commercial","Outside London","110","105","40160","36820"
"In post","2021","Commercial","ESTYN","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Food Standards Agency","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Food Standards Agency","Commercial","Outside London","10","10","38840","34720"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","Commercial","London","15","15","67600","64860"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","Commercial","Outside London","140","135","41940","39630"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","Operational Delivery","Outside London","30","25","26180","25150"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","Commercial","Outside London","15","15","38820","38550"
"In post","2021","Commercial","HM Revenue and Customs","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Revenue and Customs","Commercial","Outside London","75","70","39510","38630"
"In post","2021","Commercial","HM Revenue and Customs","Operational Delivery","Outside London","25","25","28310","25560"
"In post","2021","Commercial","HM Revenue and Customs","Tax","Outside London","5","5","[c]","[c]"
"In post","2021","Commercial","HM Revenue and Customs","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Revenue and Customs","Unknown","Outside London","35","35","37720","32270"
"In post","2021","Commercial","HM Treasury","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Treasury","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Treasury","Operational Delivery","London","10","10","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","Commercial","London","35","35","42660","37640"
"In post","2021","Commercial","Ministry of Defence","Commercial","Outside London","1095","1055","36830","34800"
"In post","2021","Commercial","Ministry of Defence","Commercial","Overseas","35","35","49100","42820"
"In post","2021","Commercial","Ministry of Defence","Commercial","Unknown","10","10","35360","37130"
"In post","2021","Commercial","Ministry of Defence","Corporate Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","Finance","Outside London","5","5","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","Knowledge and Information Management","London","125","125","37250","32040"
"In post","2021","Commercial","Ministry of Defence","Knowledge and Information Management","Outside London","550","530","32610","29200"
"In post","2021","Commercial","Ministry of Defence","Knowledge and Information Management","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","Knowledge and Information Management","Unknown","5","5","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","Other","Outside London","55","50","39920","39890"
"In post","2021","Commercial","Ministry of Defence","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","Project Delivery","Outside London","60","60","47180","42780"
"In post","2021","Commercial","Ministry of Defence","Project Delivery","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","Science and Engineering","Outside London","90","90","42150","41900"
"In post","2021","Commercial","Ministry of Defence","Science and Engineering","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government","Commercial","London","10","10","40410","40730"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government","Commercial","Outside London","10","10","[c]","[c]"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","Commercial","London","315","305","48220","45200"
"In post","2021","Commercial","Ministry of Justice","Commercial","Outside London","570","555","45890","43960"
"In post","2021","Commercial","Ministry of Justice","Finance","London","20","20","38110","35440"
"In post","2021","Commercial","Ministry of Justice","Finance","Outside London","45","40","28810","27540"
