"Status","Year","Organisation","Region_ITL2","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Southern Scotland","AA/AO","Female","20","15","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Southern Scotland","AA/AO","Male","10","10","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Southern Scotland","EO","Female","30","25","28930","29190"
"In post","2021","Accountant in Bankruptcy","Southern Scotland","EO","Male","10","10","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Southern Scotland","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Southern Scotland","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Southern Scotland","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Southern Scotland","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Southern Scotland","SEO/HEO","Female","25","20","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Southern Scotland","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","West Central Scotland","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","West Central Scotland","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","West Central Scotland","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","West Central Scotland","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","AA/AO","Female","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","EO","Female","15","15","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","EO","Male","15","15","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","SEO/HEO","Female","30","25","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","SEO/HEO","Male","20","15","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Anglia","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Anglia","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Anglia","EO","Female","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Anglia","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Anglia","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Anglia","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Anglia","SEO/HEO","Female","20","15","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Anglia","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Wales","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Wales","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Wales","EO","Female","20","20","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Wales","EO","Male","15","15","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Wales","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Wales","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Wales","SEO/HEO","Female","35","30","33740","31640"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Wales","SEO/HEO","Male","20","20","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","EO","Female","10","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","EO","Male","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","Female","20","20","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","Male","15","15","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Greater Manchester","AA/AO","Female","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Greater Manchester","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Greater Manchester","EO","Female","35","30","24750","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Greater Manchester","EO","Male","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Greater Manchester","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Greater Manchester","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Greater Manchester","SEO/HEO","Female","40","35","34100","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","Greater Manchester","SEO/HEO","Male","30","30","34400","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","Hampshire and Isle of Wight","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Hampshire and Isle of Wight","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Hampshire and Isle of Wight","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Hampshire and Isle of Wight","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Hampshire and Isle of Wight","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Hampshire and Isle of Wight","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Hampshire and Isle of Wight","SEO/HEO","Female","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Hampshire and Isle of Wight","SEO/HEO","Male","15","15","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Inner London - West","AA/AO","Female","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Inner London - West","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Inner London - West","EO","Female","20","20","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Inner London - West","EO","Male","15","15","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Inner London - West","G6/G7","Female","15","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Inner London - West","G6/G7","Male","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Inner London - West","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Inner London - West","SCS level","Male","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Inner London - West","SEO/HEO","Female","70","65","40270","38670"
"In post","2021","Advisory, Conciliation and Arbitration Service","Inner London - West","SEO/HEO","Male","60","60","42890","43750"
"In post","2021","Advisory, Conciliation and Arbitration Service","Northumberland and Tyne and Wear","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Northumberland and Tyne and Wear","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Northumberland and Tyne and Wear","EO","Female","45","40","24430","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Northumberland and Tyne and Wear","EO","Male","20","20","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Northumberland and Tyne and Wear","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Northumberland and Tyne and Wear","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Northumberland and Tyne and Wear","SEO/HEO","Female","45","40","33910","30990"
"In post","2021","Advisory, Conciliation and Arbitration Service","Northumberland and Tyne and Wear","SEO/HEO","Male","25","25","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Central Scotland","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Central Scotland","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Central Scotland","EO","Female","25","20","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Central Scotland","EO","Male","20","20","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Central Scotland","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Central Scotland","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Central Scotland","SEO/HEO","Female","25","20","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Central Scotland","SEO/HEO","Male","25","25","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands","EO","Female","20","20","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands","EO","Male","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands","SEO/HEO","Female","30","30","34400","31340"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands","SEO/HEO","Male","15","15","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Yorkshire","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Yorkshire","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Yorkshire","EO","Female","15","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Yorkshire","EO","Male","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Yorkshire","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Yorkshire","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Yorkshire","SEO/HEO","Female","20","20","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Yorkshire","SEO/HEO","Male","20","15","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Bedfordshire and Hertfordshire","EO","Female","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Bedfordshire and Hertfordshire","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Bedfordshire and Hertfordshire","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Bedfordshire and Hertfordshire","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Bedfordshire and Hertfordshire","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Bedfordshire and Hertfordshire","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Berkshire, Buckinghamshire and Oxfordshire","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Berkshire, Buckinghamshire and Oxfordshire","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Female","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cheshire","EO","Female","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cheshire","EO","Male","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cheshire","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cheshire","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cheshire","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cheshire","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cornwall and Isles of Scilly","AA/AO","Female","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cornwall and Isles of Scilly","AA/AO","Male","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cornwall and Isles of Scilly","EO","Female","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cornwall and Isles of Scilly","EO","Male","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cornwall and Isles of Scilly","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cornwall and Isles of Scilly","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cornwall and Isles of Scilly","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cornwall and Isles of Scilly","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cumbria","AA/AO","Female","60","55","21100","21050"
"In post","2021","Animal and Plant Health Agency","Cumbria","AA/AO","Male","40","40","21050","21050"
"In post","2021","Animal and Plant Health Agency","Cumbria","EO","Female","20","20","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cumbria","EO","Male","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cumbria","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cumbria","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cumbria","SEO/HEO","Female","15","15","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cumbria","SEO/HEO","Male","10","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","AA/AO","Female","10","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","EO","Female","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Devon","AA/AO","Female","75","70","21100","21050"
"In post","2021","Animal and Plant Health Agency","Devon","AA/AO","Male","30","30","21090","21050"
"In post","2021","Animal and Plant Health Agency","Devon","EO","Female","30","25","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Devon","EO","Male","20","15","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Devon","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Devon","G6/G7","Male","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Devon","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Devon","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Devon","SEO/HEO","Female","25","25","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Devon","SEO/HEO","Male","20","20","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Dorset and Somerset","EO","Female","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Dorset and Somerset","EO","Male","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Dorset and Somerset","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Dorset and Somerset","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Dorset and Somerset","SEO/HEO","Female","15","15","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Dorset and Somerset","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Anglia","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Anglia","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Anglia","EO","Female","20","20","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Anglia","EO","Male","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Anglia","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Anglia","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Anglia","SEO/HEO","Female","15","15","[c]","[c]"
