"Status","Year","Disability","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","AA/AO","AA","2050","1815","19820","19730"
"In post","2021","Declared disabled","AA/AO","AO","13490","11810","22310","21010"
"In post","2021","Declared disabled","EO","EO","15685","14225","27800","27570"
"In post","2021","Declared disabled","G6/G7","G6","1135","1090","68070","66500"
"In post","2021","Declared disabled","G6/G7","G7","3490","3355","55190","54390"
"In post","2021","Declared disabled","SCS level","SCS level","425","420","88840","81200"
"In post","2021","Declared disabled","SEO/HEO","HEO","7270","6895","33470","33180"
"In post","2021","Declared disabled","SEO/HEO","SEO","4540","4340","41610","40580"
"In post","2021","Declared disabled","Unknown","Unknown","2470","2300","31340","30210"
"In post","2021","Declared non-disabled","AA/AO","AA","11220","10185","19860","19600"
"In post","2021","Declared non-disabled","AA/AO","AO","77315","69215","22780","21300"
"In post","2021","Declared non-disabled","EO","EO","87425","80690","27620","27570"
"In post","2021","Declared non-disabled","G6/G7","G6","11565","11140","68510","66850"
"In post","2021","Declared non-disabled","G6/G7","G7","31635","30470","55380","54420"
"In post","2021","Declared non-disabled","SCS level","SCS level","5035","4865","90020","82500"
"In post","2021","Declared non-disabled","SEO/HEO","HEO","50405","48275","33470","33140"
"In post","2021","Declared non-disabled","SEO/HEO","SEO","35785","34405","41710","40580"
"In post","2021","Declared non-disabled","Unknown","Unknown","10515","9825","31970","30420"
"In post","2021","Undeclared","AA/AO","AA","1670","1490","20670","20600"
"In post","2021","Undeclared","AA/AO","AO","7915","7115","25170","22080"
"In post","2021","Undeclared","EO","EO","7195","6755","28420","27570"
"In post","2021","Undeclared","G6/G7","G6","805","775","68550","67180"
"In post","2021","Undeclared","G6/G7","G7","2350","2285","55210","54330"
"In post","2021","Undeclared","SCS level","SCS level","295","280","89170","82040"
"In post","2021","Undeclared","SEO/HEO","HEO","4620","4440","33860","33300"
"In post","2021","Undeclared","SEO/HEO","SEO","3180","3070","42520","41040"
"In post","2021","Undeclared","Unknown","Unknown","710","675","33070","32580"
"In post","2021","Unknown","AA/AO","AA","4160","3780","20070","20070"
"In post","2021","Unknown","AA/AO","AO","22840","21185","22630","21440"
"In post","2021","Unknown","EO","EO","18585","17785","28060","27570"
"In post","2021","Unknown","G6/G7","G6","3040","2930","69510","67370"
"In post","2021","Unknown","G6/G7","G7","8410","8135","54760","53600"
"In post","2021","Unknown","SCS level","SCS level","1535","1495","92940","82760"
"In post","2021","Unknown","SEO/HEO","HEO","14900","14465","33500","32540"
"In post","2021","Unknown","SEO/HEO","SEO","8335","8055","41350","40580"
"In post","2021","Unknown","Unknown","Unknown","2880","2800","34690","32700"
"Leaver CS","2021","Declared disabled","AA/AO","AA","225","[c]","18710","18320"
"Leaver CS","2021","Declared disabled","AA/AO","AO","1045","[c]","21740","21010"
"Leaver CS","2021","Declared disabled","EO","EO","805","[c]","27670","27570"
"Leaver CS","2021","Declared disabled","G6/G7","G6","55","[c]","74960","71780"
"Leaver CS","2021","Declared disabled","G6/G7","G7","135","[c]","56650","55610"
"Leaver CS","2021","Declared disabled","SCS level","SCS level","25","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SEO/HEO","HEO","330","[c]","33440","33250"
"Leaver CS","2021","Declared disabled","SEO/HEO","SEO","210","[c]","41470","40670"
"Leaver CS","2021","Declared disabled","Unknown","Unknown","150","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","AA/AO","AA","990","[c]","18820","18760"
"Leaver CS","2021","Declared non-disabled","AA/AO","AO","5525","[c]","21720","21010"
"Leaver CS","2021","Declared non-disabled","EO","EO","3500","[c]","27320","27570"
"Leaver CS","2021","Declared non-disabled","G6/G7","G6","450","[c]","71660","70490"
"Leaver CS","2021","Declared non-disabled","G6/G7","G7","1075","[c]","56480","55610"
"Leaver CS","2021","Declared non-disabled","SCS level","SCS level","285","[c]","99680","95000"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","HEO","1885","[c]","33550","33300"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","SEO","1335","[c]","42290","41090"
"Leaver CS","2021","Declared non-disabled","Unknown","Unknown","465","[c]","38120","36490"
