"Status","Year","Disability","Ethnicity","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Asian","Analysis","25","25","[c]","[c]"
"In post","2021","Declared disabled","Asian","Commercial","25","25","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","30","30","29800","31810"
"In post","2021","Declared disabled","Asian","Counter Fraud","45","40","32590","31810"
"In post","2021","Declared disabled","Asian","Debt","20","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data & Technology","55","55","37220","32970"
"In post","2021","Declared disabled","Asian","Finance","45","40","38610","35900"
"In post","2021","Declared disabled","Asian","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Human Resources","60","55","40290","36220"
"In post","2021","Declared disabled","Asian","Internal Audit","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Legal","110","100","42080","38190"
"In post","2021","Declared disabled","Asian","No function","795","740","30980","28200"
"In post","2021","Declared disabled","Asian","Project Delivery","85","85","41140","38630"
"In post","2021","Declared disabled","Asian","Property","30","30","39830","32590"
"In post","2021","Declared disabled","Asian","Security","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","1400","1260","29150","27570"
"In post","2021","Declared disabled","Black","Analysis","10","10","[c]","[c]"
"In post","2021","Declared disabled","Black","Commercial","20","20","[c]","[c]"
"In post","2021","Declared disabled","Black","Communications","20","20","[c]","[c]"
"In post","2021","Declared disabled","Black","Counter Fraud","25","25","[c]","[c]"
"In post","2021","Declared disabled","Black","Debt","15","15","[c]","[c]"
"In post","2021","Declared disabled","Black","Digital, Data & Technology","35","30","39680","36800"
"In post","2021","Declared disabled","Black","Finance","25","25","[c]","[c]"
"In post","2021","Declared disabled","Black","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Human Resources","40","35","40820","35050"
"In post","2021","Declared disabled","Black","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Legal","65","60","40580","35020"
"In post","2021","Declared disabled","Black","No function","665","635","31660","29570"
"In post","2021","Declared disabled","Black","Project Delivery","60","60","36640","33260"
"In post","2021","Declared disabled","Black","Property","20","20","[c]","[c]"
"In post","2021","Declared disabled","Black","Security","15","15","[c]","[c]"
