"Status","Year","Region_ITL1","Responsibility_level_grouped","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","AA/AO","AA","Female","545","495","19370","19560"
"In post","2021","East Midlands (England)","AA/AO","AA","Male","515","495","19700","20600"
"In post","2021","East Midlands (England)","AA/AO","AO","Female","3930","3385","21540","21010"
"In post","2021","East Midlands (England)","AA/AO","AO","Male","3005","2885","23650","21710"
"In post","2021","East Midlands (England)","EO","EO","Female","3500","3120","26800","27570"
"In post","2021","East Midlands (England)","EO","EO","Male","2620","2525","27370","27570"
"In post","2021","East Midlands (England)","G6/G7","G6","Female","140","135","66130","64670"
"In post","2021","East Midlands (England)","G6/G7","G6","Male","135","130","71510","66920"
"In post","2021","East Midlands (England)","G6/G7","G7","Female","565","530","54090","52580"
"In post","2021","East Midlands (England)","G6/G7","G7","Male","575","560","55460","52580"
"In post","2021","East Midlands (England)","SCS level","SCS level","Female","45","45","88280","79070"
"In post","2021","East Midlands (England)","SCS level","SCS level","Male","40","40","92610","88430"
"In post","2021","East Midlands (England)","SEO/HEO","HEO","Female","1570","1460","32170","31810"
"In post","2021","East Midlands (England)","SEO/HEO","HEO","Male","1440","1395","33100","31990"
"In post","2021","East Midlands (England)","SEO/HEO","SEO","Female","940","880","40930","38980"
"In post","2021","East Midlands (England)","SEO/HEO","SEO","Male","795","775","42080","40860"
"In post","2021","East Midlands (England)","Unknown","Unknown","Female","775","705","29210","28200"
"In post","2021","East Midlands (England)","Unknown","Unknown","Male","220","210","32340","32220"
"In post","2021","East of England","AA/AO","AA","Female","655","595","19540","19560"
"In post","2021","East of England","AA/AO","AA","Male","715","680","20090","20600"
"In post","2021","East of England","AA/AO","AO","Female","3515","3065","22900","21440"
"In post","2021","East of England","AA/AO","AO","Male","2950","2850","26210","25110"
"In post","2021","East of England","EO","EO","Female","4035","3610","27950","27570"
"In post","2021","East of England","EO","EO","Male","3135","2990","28600","27570"
"In post","2021","East of England","G6/G7","G6","Female","125","120","69690","66560"
"In post","2021","East of England","G6/G7","G6","Male","165","160","69860","66560"
"In post","2021","East of England","G6/G7","G7","Female","530","490","55580","53620"
"In post","2021","East of England","G6/G7","G7","Male","525","515","56550","53970"
"In post","2021","East of England","SCS level","SCS level","Female","50","45","97570","95620"
"In post","2021","East of England","SCS level","SCS level","Male","75","75","94530","92370"
"In post","2021","East of England","SEO/HEO","HEO","Female","1535","1435","33100","33000"
"In post","2021","East of England","SEO/HEO","HEO","Male","1685","1635","34030","33300"
"In post","2021","East of England","SEO/HEO","SEO","Female","920","860","41630","40580"
"In post","2021","East of England","SEO/HEO","SEO","Male","950","920","42730","40860"
"In post","2021","East of England","Unknown","Unknown","Female","810","730","28320","28200"
"In post","2021","East of England","Unknown","Unknown","Male","225","215","30060","28200"
"In post","2021","London","AA/AO","AA","Female","875","775","22170","22210"
"In post","2021","London","AA/AO","AA","Male","900","865","22230","22210"
"In post","2021","London","AA/AO","AO","Female","6310","5675","25210","25110"
"In post","2021","London","AA/AO","AO","Male","4625","4500","27290","25630"
"In post","2021","London","EO","EO","Female","12670","11825","29880","30110"
"In post","2021","London","EO","EO","Male","8630","8370","30140","30110"
"In post","2021","London","EO","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","G6/G7","G6","Female","4050","3805","68900","67610"
"In post","2021","London","G6/G7","G6","Male","4135","4055","70120","68730"
"In post","2021","London","G6/G7","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","G6/G7","G7","Female","9935","9465","56290","54780"
"In post","2021","London","G6/G7","G7","Male","9510","9385","57190","56660"
"In post","2021","London","G6/G7","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","SCS level","SCS level","Female","2260","2130","88420","80000"
"In post","2021","London","SCS level","SCS level","Male","2435","2395","93270","83880"
"In post","2021","London","SCS level","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","SEO/HEO","HEO","Female","10775","10460","34890","35020"
"In post","2021","London","SEO/HEO","HEO","Male","9355","9240","35520","35200"
"In post","2021","London","SEO/HEO","HEO","Unknown","10","10","[c]","[c]"
"In post","2021","London","SEO/HEO","SEO","Female","7180","6915","42520","41950"
"In post","2021","London","SEO/HEO","SEO","Male","6610","6525","43280","42200"
"In post","2021","London","SEO/HEO","SEO","Unknown","5","5","[c]","[c]"
"In post","2021","London","Unknown","Unknown","Female","1195","1145","33580","32090"
"In post","2021","London","Unknown","Unknown","Male","450","445","34530","33950"
"In post","2021","North East (England)","AA/AO","AA","Female","690","520","19840","20070"
"In post","2021","North East (England)","AA/AO","AA","Male","490","455","19850","20070"
"In post","2021","North East (England)","AA/AO","AO","Female","7710","6260","21210","21010"
"In post","2021","North East (England)","AA/AO","AO","Male","4795","4500","22300","21010"
"In post","2021","North East (England)","EO","EO","Female","4755","4170","26750","27570"
"In post","2021","North East (England)","EO","EO","Male","3155","3010","26910","27350"
"In post","2021","North East (England)","G6/G7","G6","Female","200","190","63960","64670"
"In post","2021","North East (England)","G6/G7","G6","Male","245","245","65360","64670"
"In post","2021","North East (England)","G6/G7","G7","Female","755","720","51740","52580"
"In post","2021","North East (England)","G6/G7","G7","Male","835","825","52280","52580"
"In post","2021","North East (England)","SCS level","SCS level","Female","55","50","83740","76430"
"In post","2021","North East (England)","SCS level","SCS level","Male","65","65","89830","83820"
"In post","2021","North East (England)","SEO/HEO","HEO","Female","2130","1975","31780","31810"
"In post","2021","North East (England)","SEO/HEO","HEO","Male","1670","1615","32380","31810"
"In post","2021","North East (England)","SEO/HEO","SEO","Female","1210","1125","38770","38630"
"In post","2021","North East (England)","SEO/HEO","SEO","Male","1140","1110","39610","38630"
"In post","2021","North East (England)","Unknown","Unknown","Female","545","500","29010","28200"
"In post","2021","North East (England)","Unknown","Unknown","Male","170","165","30570","30210"
"In post","2021","North West (England)","AA/AO","AA","Female","895","765","19150","19560"
"In post","2021","North West (England)","AA/AO","AA","Male","860","805","19730","20070"
"In post","2021","North West (England)","AA/AO","AO","Female","11540","9785","21270","21010"
"In post","2021","North West (England)","AA/AO","AO","Male","7820","7440","22390","21010"
"In post","2021","North West (England)","EO","EO","Female","10860","9690","26780","27570"
"In post","2021","North West (England)","EO","EO","Male","7515","7260","27070","27570"
"In post","2021","North West (England)","G6/G7","G6","Female","505","490","65650","64670"
"In post","2021","North West (England)","G6/G7","G6","Male","590","580","67470","64770"
"In post","2021","North West (England)","G6/G7","G7","Female","1780","1690","52620","52580"
"In post","2021","North West (England)","G6/G7","G7","Male","1690","1655","53560","52580"
"In post","2021","North West (England)","SCS level","SCS level","Female","140","130","84920","77560"
"In post","2021","North West (England)","SCS level","SCS level","Male","145","145","89260","81860"
"In post","2021","North West (England)","SEO/HEO","HEO","Female","4290","4010","32050","31810"
"In post","2021","North West (England)","SEO/HEO","HEO","Male","3735","3635","32710","31810"
"In post","2021","North West (England)","SEO/HEO","SEO","Female","2655","2515","39300","38630"
"In post","2021","North West (England)","SEO/HEO","SEO","Male","2295","2235","40210","38630"
"In post","2021","North West (England)","Unknown","Unknown","Female","1465","1345","29570","30210"
"In post","2021","North West (England)","Unknown","Unknown","Male","565","545","33310","32690"
"In post","2021","Northern Ireland","AA/AO","AA","Female","75","70","19530","20070"
"In post","2021","Northern Ireland","AA/AO","AA","Male","420","410","19970","20310"
"In post","2021","Northern Ireland","AA/AO","AO","Female","625","535","21100","21430"
"In post","2021","Northern Ireland","AA/AO","AO","Male","565","540","21170","20710"
"In post","2021","Northern Ireland","EO","EO","Female","500","455","26610","25560"
"In post","2021","Northern Ireland","EO","EO","Male","480","470","26510","25560"
"In post","2021","Northern Ireland","G6/G7","G6","Female","15","15","[c]","[c]"
"In post","2021","Northern Ireland","G6/G7","G6","Male","20","20","[c]","[c]"
"In post","2021","Northern Ireland","G6/G7","G7","Female","95","90","54240","52580"
"In post","2021","Northern Ireland","G6/G7","G7","Male","105","100","54010","52580"
"In post","2021","Northern Ireland","SCS level","SCS level","Female","10","10","[c]","[c]"
"In post","2021","Northern Ireland","SCS level","SCS level","Male","5","5","[c]","[c]"
"In post","2021","Northern Ireland","SEO/HEO","HEO","Female","295","275","32610","31810"
"In post","2021","Northern Ireland","SEO/HEO","HEO","Male","325","320","33070","31810"
"In post","2021","Northern Ireland","SEO/HEO","SEO","Female","145","140","38770","38630"
"In post","2021","Northern Ireland","SEO/HEO","SEO","Male","135","130","39690","38630"
"In post","2021","Northern Ireland","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","AA/AO","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","AA/AO","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","AA/AO","AO","Female","25","25","[c]","[c]"
"In post","2021","Overseas","AA/AO","AO","Male","25","25","[c]","[c]"
"In post","2021","Overseas","EO","EO","Female","125","125","27990","27160"
"In post","2021","Overseas","EO","EO","Male","150","150","28040","27370"
"In post","2021","Overseas","G6/G7","G6","Female","185","185","65950","65210"
"In post","2021","Overseas","G6/G7","G6","Male","270","270","66990","65470"
"In post","2021","Overseas","G6/G7","G7","Female","370","365","56230","55540"
"In post","2021","Overseas","G6/G7","G7","Male","515","510","56670","55290"
"In post","2021","Overseas","SCS level","SCS level","Female","110","110","84260","75880"
"In post","2021","Overseas","SCS level","SCS level","Male","175","175","87050","78410"
"In post","2021","Overseas","SEO/HEO","HEO","Female","450","450","37080","34450"
"In post","2021","Overseas","SEO/HEO","HEO","Male","625","620","36260","34260"
"In post","2021","Overseas","SEO/HEO","SEO","Female","130","130","44380","41500"
"In post","2021","Overseas","SEO/HEO","SEO","Male","340","340","48650","43140"
"In post","2021","Overseas","Unknown","Unknown","Female","100","100","[c]","[c]"
"In post","2021","Overseas","Unknown","Unknown","Male","155","155","[c]","[c]"
"In post","2021","Scotland","AA/AO","AA","Female","1275","1140","20710","20070"
"In post","2021","Scotland","AA/AO","AA","Male","1415","1340","20510","20070"
"In post","2021","Scotland","AA/AO","AO","Female","8180","7005","21630","21010"
"In post","2021","Scotland","AA/AO","AO","Male","5980","5765","23430","21010"
"In post","2021","Scotland","EO","EO","Female","7360","6625","27680","27570"
"In post","2021","Scotland","EO","EO","Male","6195","5925","28920","27570"
"In post","2021","Scotland","G6/G7","G6","Female","790","750","70220","70290"
"In post","2021","Scotland","G6/G7","G6","Male","730","710","70900","71160"
"In post","2021","Scotland","G6/G7","G7","Female","1655","1560","55760","55620"
"In post","2021","Scotland","G6/G7","G7","Male","1470","1440","56570","56090"
"In post","2021","Scotland","SCS level","SCS level","Female","150","145","88410","83230"
"In post","2021","Scotland","SCS level","SCS level","Male","180","180","87990","83230"
"In post","2021","Scotland","SEO/HEO","HEO","Female","3655","3435","33130","32400"
"In post","2021","Scotland","SEO/HEO","HEO","Male","3425","3315","34390","33620"
"In post","2021","Scotland","SEO/HEO","SEO","Female","2545","2390","43110","42190"
"In post","2021","Scotland","SEO/HEO","SEO","Male","2470","2385","44500","42890"
"In post","2021","Scotland","Unknown","Unknown","Female","40","40","34240","28630"
