"Status","Year","Ethnicity","Region_ITL3","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Aberdeen City and Aberdeenshire","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Aberdeen City and Aberdeenshire","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Aberdeen City and Aberdeenshire","EO","5","5","[c]","[c]"
"In post","2021","Asian","Aberdeen City and Aberdeenshire","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Aberdeen City and Aberdeenshire","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Aberdeen City and Aberdeenshire","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Aberdeen City and Aberdeenshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Aberdeen City and Aberdeenshire","SEO","10","10","[c]","[c]"
"In post","2021","Asian","Angus and Dundee City","AA","5","5","[c]","[c]"
"In post","2021","Asian","Angus and Dundee City","AO","20","20","[c]","[c]"
"In post","2021","Asian","Angus and Dundee City","EO","5","5","[c]","[c]"
"In post","2021","Asian","Angus and Dundee City","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Angus and Dundee City","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Angus and Dundee City","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Angus and Dundee City","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Angus and Dundee City","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Antrim and Newtownabbey","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Antrim and Newtownabbey","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Antrim and Newtownabbey","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Antrim and Newtownabbey","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Antrim and Newtownabbey","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Antrim and Newtownabbey","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ards and North Down","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ards and North Down","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ards and North Down","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ards and North Down","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ards and North Down","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ards and North Down","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Armagh City, Banbridge and Craigavon","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Armagh City, Banbridge and Craigavon","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Barking & Dagenham and Havering","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Barking & Dagenham and Havering","AO","15","15","[c]","[c]"
"In post","2021","Asian","Barking & Dagenham and Havering","EO","110","100","30840","31060"
"In post","2021","Asian","Barking & Dagenham and Havering","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Barking & Dagenham and Havering","HEO","5","5","[c]","[c]"
"In post","2021","Asian","Barking & Dagenham and Havering","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Barking & Dagenham and Havering","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Barnet","AA","15","10","[c]","[c]"
"In post","2021","Asian","Barnet","AO","70","65","24280","23930"
"In post","2021","Asian","Barnet","EO","120","110","30230","31060"
"In post","2021","Asian","Barnet","G6","5","5","[c]","[c]"
"In post","2021","Asian","Barnet","G7","45","45","57890","55930"
"In post","2021","Asian","Barnet","HEO","65","65","34900","33350"
"In post","2021","Asian","Barnet","SCS level","10","10","[c]","[c]"
"In post","2021","Asian","Barnet","SEO","60","60","42940","41950"
"In post","2021","Asian","Barnet","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Barnsley, Doncaster and Rotherham","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Barnsley, Doncaster and Rotherham","AO","5","5","[c]","[c]"
"In post","2021","Asian","Barnsley, Doncaster and Rotherham","EO","10","10","[c]","[c]"
"In post","2021","Asian","Barnsley, Doncaster and Rotherham","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Barnsley, Doncaster and Rotherham","G7","[c]","[c]","[c]","[c]"
