"Status","Year","Organisation","Region_ITL2","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Southern Scotland","East Ayrshire and North Ayrshire mainland","115","100","31650","29190"
"In post","2021","Accountant in Bankruptcy","West Central Scotland","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","Nottingham","95","90","29690","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Anglia","Suffolk","40","35","34060","34380"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Wales","Cardiff and Vale of Glamorgan","95","90","30920","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","55","50","33460","30970"
"In post","2021","Advisory, Conciliation and Arbitration Service","Greater Manchester","Manchester","145","130","29840","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Hampshire and Isle of Wight","North Hampshire","30","30","34660","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","Inner London - West","Westminster","200","195","42390","38670"
"In post","2021","Advisory, Conciliation and Arbitration Service","Northumberland and Tyne and Wear","Tyneside","140","130","29960","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Central Scotland","Glasgow City","105","95","30430","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands","Birmingham","85","80","30970","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Yorkshire","Leeds","70","65","31800","30950"
"In post","2021","Animal and Plant Health Agency","Bedfordshire and Hertfordshire","Hertfordshire","15","15","32540","30670"
"In post","2021","Animal and Plant Health Agency","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire","15","15","37880","36240"
"In post","2021","Animal and Plant Health Agency","Cheshire","Cheshire East","35","30","32670","29180"
"In post","2021","Animal and Plant Health Agency","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","55","55","32700","26520"
"In post","2021","Animal and Plant Health Agency","Cumbria","East Cumbria","160","150","25630","21050"
"In post","2021","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","Nottingham","10","10","31540","30540"
"In post","2021","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","South and West Derbyshire","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","South Nottinghamshire","20","20","30070","25060"
"In post","2021","Animal and Plant Health Agency","Devon","Devon CC","205","195","27290","21050"
"In post","2021","Animal and Plant Health Agency","Dorset and Somerset","Dorset CC","10","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Dorset and Somerset","Somerset","30","30","34500","33960"
"In post","2021","Animal and Plant Health Agency","East Anglia","Cambridgeshire CC","25","20","30650","29180"
"In post","2021","Animal and Plant Health Agency","East Anglia","North and West Norfolk","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Anglia","Norwich and East Norfolk","10","10","32560","29180"
"In post","2021","Animal and Plant Health Agency","East Anglia","Suffolk","45","40","31010","29180"
"In post","2021","Animal and Plant Health Agency","East Wales","Cardiff and Vale of Glamorgan","85","85","27960","21050"
"In post","2021","Animal and Plant Health Agency","East Wales","Powys","25","20","35220","37240"
"In post","2021","Animal and Plant Health Agency","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","15","15","31420","29180"
"In post","2021","Animal and Plant Health Agency","Eastern Scotland","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Eastern Scotland","East Lothian and Midlothian","10","10","33540","26290"
"In post","2021","Animal and Plant Health Agency","Eastern Scotland","Perth and Kinross and Stirling","35","35","32430","26390"
"In post","2021","Animal and Plant Health Agency","Essex","Heart of Essex","40","40","30760","28240"
"In post","2021","Animal and Plant Health Agency","Essex","Thurrock","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","50","50","25450","21050"
"In post","2021","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire","60","55","32320","30320"
"In post","2021","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Greater Manchester","Manchester","15","15","29090","28140"
"In post","2021","Animal and Plant Health Agency","Hampshire and Isle of Wight","Central Hampshire","25","25","31720","29180"
"In post","2021","Animal and Plant Health Agency","Herefordshire, Worcestershire and Warwickshire","Worcestershire","165","155","29810","26600"
"In post","2021","Animal and Plant Health Agency","Highlands and Islands","Caithness and Sutherland and Ross and Cromarty","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Highlands and Islands","Inverness and Nairn and Moray, Badenoch and Strathspey","20","20","28120","25230"
"In post","2021","Animal and Plant Health Agency","Inner London - West","Westminster","25","25","47580","54280"
"In post","2021","Animal and Plant Health Agency","Kent","East Kent","40","35","27670","25100"
"In post","2021","Animal and Plant Health Agency","Kent","Mid Kent","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Lancashire","Mid Lancashire","70","65","30790","26520"
"In post","2021","Animal and Plant Health Agency","Leicestershire, Rutland and Northamptonshire","Leicestershire CC and Rutland","20","20","30690","26520"
"In post","2021","Animal and Plant Health Agency","Lincolnshire","Lincolnshire","25","20","35450","32160"
"In post","2021","Animal and Plant Health Agency","North Eastern Scotland","Aberdeen City and Aberdeenshire","10","10","38580","36970"
"In post","2021","Animal and Plant Health Agency","North Yorkshire","North Yorkshire CC","125","120","31480","29180"
"In post","2021","Animal and Plant Health Agency","North Yorkshire","York","60","60","24060","21050"
"In post","2021","Animal and Plant Health Agency","Northumberland and Tyne and Wear","Northumberland","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Northumberland and Tyne and Wear","Tyneside","40","35","32420","27630"
"In post","2021","Animal and Plant Health Agency","Outer London - West and North West","Harrow and Hillingdon","15","15","39780","43400"
"In post","2021","Animal and Plant Health Agency","Outer London - West and North West","Hounslow and Richmond upon Thames","70","65","32550","31460"
"In post","2021","Animal and Plant Health Agency","Shropshire and Staffordshire","Shropshire CC","45","40","34000","30430"
"In post","2021","Animal and Plant Health Agency","Shropshire and Staffordshire","Staffordshire CC","60","55","25520","21050"
"In post","2021","Animal and Plant Health Agency","Shropshire and Staffordshire","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Southern Scotland","Dumfries and Galloway","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Southern Scotland","Scottish Borders","20","20","29660","25880"
"In post","2021","Animal and Plant Health Agency","Southern Scotland","South Ayrshire","20","20","31570","26270"
"In post","2021","Animal and Plant Health Agency","Southern Scotland","South Lanarkshire","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Surrey, East and West Sussex","West Surrey","565","530","33220","28550"
"In post","2021","Animal and Plant Health Agency","Surrey, East and West Sussex","West Sussex (North East)","25","25","32560","30400"
"In post","2021","Animal and Plant Health Agency","West Wales and The Valleys","Gwynedd","65","55","26690","24920"
"In post","2021","Animal and Plant Health Agency","West Wales and The Valleys","South West Wales","145","135","28110","25190"
"In post","2021","Animal and Plant Health Agency","West Yorkshire","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Inner London - West","Westminster","45","45","50500","50500"
"In post","2021","Cabinet Office (excl. agencies)","Bedfordshire and Hertfordshire","Hertfordshire","5","5","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","10","10","50420","36460"
"In post","2021","Cabinet Office (excl. agencies)","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire CC","15","15","54660","54700"
"In post","2021","Cabinet Office (excl. agencies)","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","90","85","29950","33000"
"In post","2021","Cabinet Office (excl. agencies)","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Cheshire","Warrington","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Cumbria","West Cumbria","5","5","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Derbyshire and Nottinghamshire","Nottingham","25","25","48990","39510"
"In post","2021","Cabinet Office (excl. agencies)","Devon","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Devon","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Dorset and Somerset","Dorset CC","10","10","35240","33470"
"In post","2021","Cabinet Office (excl. agencies)","East Anglia","Cambridgeshire CC","15","15","53530","33300"
"In post","2021","Cabinet Office (excl. agencies)","East Anglia","Norwich and East Norfolk","95","90","46130","40250"
"In post","2021","Cabinet Office (excl. agencies)","East Anglia","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East Anglia","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East Wales","Cardiff and Vale of Glamorgan","30","30","35560","29250"
"In post","2021","Cabinet Office (excl. agencies)","East Wales","Monmouthshire and Newport","30","30","42060","38450"
"In post","2021","Cabinet Office (excl. agencies)","Eastern Scotland","City of Edinburgh","25","25","33040","29250"
"In post","2021","Cabinet Office (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","40","40","65290","53760"
"In post","2021","Cabinet Office (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","65","60","43300","38420"
"In post","2021","Cabinet Office (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","65","65","61990","54700"
"In post","2021","Cabinet Office (excl. agencies)","Greater Manchester","Greater Manchester South East","10","10","37580","34550"
"In post","2021","Cabinet Office (excl. agencies)","Greater Manchester","Greater Manchester South West","170","165","45200","38890"
"In post","2021","Cabinet Office (excl. agencies)","Greater Manchester","Manchester","95","95","46350","37300"
"In post","2021","Cabinet Office (excl. agencies)","Hampshire and Isle of Wight","Central Hampshire","40","35","58300","54010"
"In post","2021","Cabinet Office (excl. agencies)","Hampshire and Isle of Wight","North Hampshire","20","20","44350","38260"
"In post","2021","Cabinet Office (excl. agencies)","Hampshire and Isle of Wight","Portsmouth","25","25","51860","49030"
"In post","2021","Cabinet Office (excl. agencies)","Hampshire and Isle of Wight","South Hampshire","10","10","42010","40300"
"In post","2021","Cabinet Office (excl. agencies)","Inner London - East","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Inner London - East","Lambeth","10","10","29310","28630"
"In post","2021","Cabinet Office (excl. agencies)","Inner London - East","Lewisham and Southwark","15","15","102750","122500"
"In post","2021","Cabinet Office (excl. agencies)","Inner London - East","Tower Hamlets","870","855","51680","54700"
"In post","2021","Cabinet Office (excl. agencies)","Inner London - West","Camden and City of London","95","95","54190","54700"
"In post","2021","Cabinet Office (excl. agencies)","Inner London - West","Westminster","5455","5380","49380","40600"
"In post","2021","Cabinet Office (excl. agencies)","Kent","Medway","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Kent","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Kent","West Kent","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Lancashire","Blackpool","40","40","51230","49700"
"In post","2021","Cabinet Office (excl. agencies)","Lancashire","Lancaster and Wyre","5","5","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Lincolnshire","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Merseyside","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Merseyside","Liverpool","120","120","49230","49700"
"In post","2021","Cabinet Office (excl. agencies)","Merseyside","Sefton","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","North Yorkshire","North Yorkshire CC","5","5","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","North Yorkshire","York","440","420","29190","26670"
"In post","2021","Cabinet Office (excl. agencies)","Northern Ireland","Ards and North Down","5","5","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Northern Ireland","Belfast","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Northumberland and Tyne and Wear","Tyneside","405","375","28460","23850"
"In post","2021","Cabinet Office (excl. agencies)","Outer London - South","Croydon","50","50","43890","32000"
"In post","2021","Cabinet Office (excl. agencies)","Outer London - West and North West","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Shropshire and Staffordshire","Telford and Wrekin","15","15","58080","51560"
"In post","2021","Cabinet Office (excl. agencies)","South Yorkshire","Sheffield","100","95","46980","49700"
"In post","2021","Cabinet Office (excl. agencies)","Southern Scotland","South Lanarkshire","25","25","62500","62010"
"In post","2021","Cabinet Office (excl. agencies)","Surrey, East and West Sussex","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Surrey, East and West Sussex","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Tees Valley and Durham","Darlington","10","10","62080","66310"
"In post","2021","Cabinet Office (excl. agencies)","Tees Valley and Durham","South Teesside","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Unknown","600","595","36250","32000"
