"Status","Year","Function_of_post","Profession_of_post","Region_ITL2","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Commercial","East Anglia","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","East Anglia","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Hampshire and Isle of Wight","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Hampshire and Isle of Wight","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Inner London - West","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Inner London - West","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Surrey, East and West Sussex","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Surrey, East and West Sussex","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","West Midlands","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","West Midlands","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","Inner London - West","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","Inner London - West","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","Surrey, East and West Sussex","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","Surrey, East and West Sussex","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","Inner London - West","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","Inner London - West","LGBO","[c]","[c]","[c]","[c]"
