"Status","Year","Age","Ethnicity","Region_ITL2","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Asian","Bedfordshire and Hertfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Berkshire, Buckinghamshire and Oxfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Cheshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Cornwall and Isles of Scilly","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Derbyshire and Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Devon","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Dorset and Somerset","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","East Anglia","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Asian","East Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","East Yorkshire and Northern Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Asian","Greater Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Hampshire and Isle of Wight","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Herefordshire, Worcestershire and Warwickshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Highlands and Islands","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Inner London - East","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Inner London - West","London","10","10","[c]","[c]"
"In post","2021","16-19","Asian","Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Lancashire","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Asian","Leicestershire, Rutland and Northamptonshire","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Asian","Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","North Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","North Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Northumberland and Tyne and Wear","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Outer London - East and North East","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Outer London - South","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Outer London - West and North West","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Shropshire and Staffordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","South Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Southern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Surrey, East and West Sussex","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Tees Valley and Durham","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","West Central Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","West Midlands","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Asian","West Wales and The Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","West Yorkshire","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Black","Bedfordshire and Hertfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Berkshire, Buckinghamshire and Oxfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Cheshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Cornwall and Isles of Scilly","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Derbyshire and Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Devon","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Dorset and Somerset","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","East Anglia","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","East Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","East Yorkshire and Northern Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Greater Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Hampshire and Isle of Wight","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Herefordshire, Worcestershire and Warwickshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Highlands and Islands","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Inner London - East","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Inner London - West","London","5","5","[c]","[c]"
"In post","2021","16-19","Black","Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Leicestershire, Rutland and Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","North Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","North Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Northumberland and Tyne and Wear","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Outer London - East and North East","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Outer London - South","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Outer London - West and North West","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Shropshire and Staffordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","South Yorkshire","Outside London","[c]","[c]","[c]","[c]"
