"Status","Year","Responsibility_level_ungrouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","AA","Female","Undeclared","75","[c]","18450","18060"
"Leaver CS","2021","AA","Female","Unknown","385","[c]","19080","18880"
"Leaver CS","2021","AA","Male","Heterosexual / straight","520","[c]","18880","18800"
"Leaver CS","2021","AA","Male","LGBO","25","[c]","[c]","[c]"
"Leaver CS","2021","AA","Male","Undeclared","80","[c]","19260","19560"
"Leaver CS","2021","AA","Male","Unknown","415","[c]","19360","19160"
"Leaver CS","2021","AA","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AA","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AO","Female","Heterosexual / straight","2285","[c]","21350","21010"
"Leaver CS","2021","AO","Female","LGBO","180","[c]","21600","21010"
"Leaver CS","2021","AO","Female","Undeclared","340","[c]","21490","21010"
"Leaver CS","2021","AO","Female","Unknown","2900","[c]","21070","21010"
"Leaver CS","2021","AO","Male","Heterosexual / straight","1970","[c]","22590","21010"
"Leaver CS","2021","AO","Male","LGBO","100","[c]","21640","21010"
"Leaver CS","2021","AO","Male","Undeclared","260","[c]","23170","21010"
"Leaver CS","2021","AO","Male","Unknown","1900","[c]","21990","21010"
"Leaver CS","2021","AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Female","Heterosexual / straight","1400","[c]","27040","27570"
"Leaver CS","2021","EO","Female","LGBO","70","[c]","27230","27570"
"Leaver CS","2021","EO","Female","Undeclared","230","[c]","27380","27240"
"Leaver CS","2021","EO","Female","Unknown","1640","[c]","27180","27570"
"Leaver CS","2021","EO","Male","Heterosexual / straight","1255","[c]","27660","27570"
"Leaver CS","2021","EO","Male","LGBO","85","[c]","27290","27570"
"Leaver CS","2021","EO","Male","Undeclared","235","[c]","28370","27570"
"Leaver CS","2021","EO","Male","Unknown","1240","[c]","27590","27570"
"Leaver CS","2021","EO","Unknown","Heterosexual / straight","15","[c]","[c]","[c]"
"Leaver CS","2021","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","EO","Unknown","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2021","G6","Female","Heterosexual / straight","145","[c]","71050","70220"
"Leaver CS","2021","G6","Female","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2021","G6","Female","Undeclared","25","[c]","[c]","[c]"
"Leaver CS","2021","G6","Female","Unknown","150","[c]","71790","70550"
"Leaver CS","2021","G6","Male","Heterosexual / straight","180","[c]","72790","71700"
"Leaver CS","2021","G6","Male","LGBO","15","[c]","[c]","[c]"
"Leaver CS","2021","G6","Male","Undeclared","35","[c]","69850","69560"
"Leaver CS","2021","G6","Male","Unknown","170","[c]","70650","69690"
"Leaver CS","2021","G6","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G6","Unknown","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2021","G7","Female","Heterosexual / straight","390","[c]","55850","54700"
"Leaver CS","2021","G7","Female","LGBO","15","[c]","[c]","[c]"
"Leaver CS","2021","G7","Female","Undeclared","55","[c]","56170","54770"
"Leaver CS","2021","G7","Female","Unknown","315","[c]","55280","55000"
"Leaver CS","2021","G7","Male","Heterosexual / straight","460","[c]","56490","55610"
"Leaver CS","2021","G7","Male","LGBO","40","[c]","55980","55610"
"Leaver CS","2021","G7","Male","Undeclared","85","[c]","58620","57460"
"Leaver CS","2021","G7","Male","Unknown","390","[c]","55740","55110"
"Leaver CS","2021","G7","Unknown","Heterosexual / straight","5","[c]","[c]","[c]"
"Leaver CS","2021","G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","G7","Unknown","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2021","HEO","Female","Heterosexual / straight","690","[c]","33080","33180"
"Leaver CS","2021","HEO","Female","LGBO","40","[c]","33210","32650"
"Leaver CS","2021","HEO","Female","Undeclared","110","[c]","33590","33350"
"Leaver CS","2021","HEO","Female","Unknown","770","[c]","32870","32900"
"Leaver CS","2021","HEO","Male","Heterosexual / straight","775","[c]","34000","33360"
"Leaver CS","2021","HEO","Male","LGBO","35","[c]","[c]","[c]"
"Leaver CS","2021","HEO","Male","Undeclared","145","[c]","34680","33840"
"Leaver CS","2021","HEO","Male","Unknown","735","[c]","33260","33120"
"Leaver CS","2021","HEO","Unknown","Heterosexual / straight","5","[c]","[c]","[c]"
"Leaver CS","2021","HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HEO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HEO","Unknown","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2021","SCS level","Female","Heterosexual / straight","90","[c]","93100","85060"
"Leaver CS","2021","SCS level","Female","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2021","SCS level","Female","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2021","SCS level","Female","Unknown","75","[c]","93710","86390"
"Leaver CS","2021","SCS level","Male","Heterosexual / straight","140","[c]","101080","95960"
"Leaver CS","2021","SCS level","Male","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS level","Male","Undeclared","15","[c]","[c]","[c]"
"Leaver CS","2021","SCS level","Male","Unknown","95","[c]","104850","96270"
"Leaver CS","2021","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS level","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SCS level","Unknown","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2021","SEO","Female","Heterosexual / straight","515","[c]","41330","40690"
"Leaver CS","2021","SEO","Female","LGBO","20","[c]","[c]","[c]"
"Leaver CS","2021","SEO","Female","Undeclared","95","[c]","42960","42170"
"Leaver CS","2021","SEO","Female","Unknown","365","[c]","41140","40000"
"Leaver CS","2021","SEO","Male","Heterosexual / straight","580","[c]","42650","41850"
"Leaver CS","2021","SEO","Male","LGBO","35","[c]","41090","40580"
"Leaver CS","2021","SEO","Male","Undeclared","115","[c]","43790","43730"
"Leaver CS","2021","SEO","Male","Unknown","455","[c]","41340","40240"
"Leaver CS","2021","SEO","Unknown","Heterosexual / straight","15","[c]","[c]","[c]"
"Leaver CS","2021","SEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO","Unknown","Unknown","15","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Heterosexual / straight","360","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","LGBO","20","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Undeclared","40","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Unknown","335","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Male","Heterosexual / straight","160","[c]","39560","35530"
"Leaver CS","2021","Unknown","Male","LGBO","15","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Male","Undeclared","30","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Male","Unknown","305","[c]","35410","32400"
"Leaver CS","2021","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA","Female","Heterosexual / straight","25","[c]","[c]","[c]"
"Leaver Dept.","2021","AA","Female","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA","Female","Unknown","10","[c]","[c]","[c]"
"Leaver Dept.","2021","AA","Male","Heterosexual / straight","25","[c]","[c]","[c]"
"Leaver Dept.","2021","AA","Male","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA","Male","Unknown","15","[c]","[c]","[c]"
"Leaver Dept.","2021","AA","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AO","Female","Heterosexual / straight","515","[c]","21210","21010"
"Leaver Dept.","2021","AO","Female","LGBO","35","[c]","[c]","[c]"
"Leaver Dept.","2021","AO","Female","Undeclared","55","[c]","21370","21010"
"Leaver Dept.","2021","AO","Female","Unknown","575","[c]","21070","21010"
"Leaver Dept.","2021","AO","Male","Heterosexual / straight","335","[c]","21250","21010"
"Leaver Dept.","2021","AO","Male","LGBO","40","[c]","21260","21010"
"Leaver Dept.","2021","AO","Male","Undeclared","40","[c]","22350","21010"
"Leaver Dept.","2021","AO","Male","Unknown","455","[c]","21060","21010"
"Leaver Dept.","2021","AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Female","Heterosexual / straight","815","[c]","26660","27500"
"Leaver Dept.","2021","EO","Female","LGBO","55","[c]","27270","27480"
"Leaver Dept.","2021","EO","Female","Undeclared","75","[c]","27300","27540"
"Leaver Dept.","2021","EO","Female","Unknown","445","[c]","27520","27570"
"Leaver Dept.","2021","EO","Male","Heterosexual / straight","525","[c]","26820","27570"
"Leaver Dept.","2021","EO","Male","LGBO","70","[c]","25890","26740"
"Leaver Dept.","2021","EO","Male","Undeclared","70","[c]","27250","27570"
"Leaver Dept.","2021","EO","Male","Unknown","345","[c]","26950","27500"
"Leaver Dept.","2021","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6","Female","Heterosexual / straight","155","[c]","66380","65630"
"Leaver Dept.","2021","G6","Female","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6","Female","Undeclared","25","[c]","[c]","[c]"
"Leaver Dept.","2021","G6","Female","Unknown","100","[c]","65690","64500"
"Leaver Dept.","2021","G6","Male","Heterosexual / straight","145","[c]","65700","65150"
"Leaver Dept.","2021","G6","Male","LGBO","10","[c]","[c]","[c]"
"Leaver Dept.","2021","G6","Male","Undeclared","20","[c]","[c]","[c]"
"Leaver Dept.","2021","G6","Male","Unknown","100","[c]","67000","65310"
"Leaver Dept.","2021","G6","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G7","Female","Heterosexual / straight","490","[c]","54510","54230"
"Leaver Dept.","2021","G7","Female","LGBO","45","[c]","53700","53290"
"Leaver Dept.","2021","G7","Female","Undeclared","70","[c]","54900","53680"
"Leaver Dept.","2021","G7","Female","Unknown","315","[c]","53940","53620"
"Leaver Dept.","2021","G7","Male","Heterosexual / straight","400","[c]","54630","54000"
"Leaver Dept.","2021","G7","Male","LGBO","55","[c]","53750","53380"
"Leaver Dept.","2021","G7","Male","Undeclared","55","[c]","56250","54700"
"Leaver Dept.","2021","G7","Male","Unknown","310","[c]","53540","53370"
"Leaver Dept.","2021","G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G7","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G7","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HEO","Female","Heterosexual / straight","845","[c]","32600","32560"
"Leaver Dept.","2021","HEO","Female","LGBO","80","[c]","32650","32590"
"Leaver Dept.","2021","HEO","Female","Undeclared","70","[c]","33550","32910"
"Leaver Dept.","2021","HEO","Female","Unknown","685","[c]","32020","32000"
"Leaver Dept.","2021","HEO","Male","Heterosexual / straight","635","[c]","32740","32740"
"Leaver Dept.","2021","HEO","Male","LGBO","95","[c]","32930","32380"
"Leaver Dept.","2021","HEO","Male","Undeclared","75","[c]","32900","32620"
"Leaver Dept.","2021","HEO","Male","Unknown","625","[c]","32240","32000"
"Leaver Dept.","2021","HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HEO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HEO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS level","Female","Heterosexual / straight","110","[c]","87600","78800"
"Leaver Dept.","2021","SCS level","Female","LGBO","5","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS level","Female","Undeclared","15","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS level","Female","Unknown","75","[c]","81520","75920"
"Leaver Dept.","2021","SCS level","Male","Heterosexual / straight","75","[c]","90620","83850"
"Leaver Dept.","2021","SCS level","Male","LGBO","10","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS level","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS level","Male","Unknown","45","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS level","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO","Female","Heterosexual / straight","435","[c]","40240","40320"
"Leaver Dept.","2021","SEO","Female","LGBO","35","[c]","39080","38820"
"Leaver Dept.","2021","SEO","Female","Undeclared","55","[c]","41430","41720"
"Leaver Dept.","2021","SEO","Female","Unknown","260","[c]","40380","39800"
"Leaver Dept.","2021","SEO","Male","Heterosexual / straight","355","[c]","40520","40320"
"Leaver Dept.","2021","SEO","Male","LGBO","30","[c]","41150","40640"
"Leaver Dept.","2021","SEO","Male","Undeclared","45","[c]","40130","40220"
"Leaver Dept.","2021","SEO","Male","Unknown","230","[c]","40220","39420"
"Leaver Dept.","2021","SEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Heterosexual / straight","65","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Unknown","50","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","Heterosexual / straight","30","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","LGBO","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","Undeclared","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","Unknown","60","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA","Female","Heterosexual / straight","785","[c]","19800","20060"
"New entrant CS","2021","AA","Female","LGBO","95","[c]","19700","20060"
"New entrant CS","2021","AA","Female","Undeclared","45","[c]","19690","20070"
"New entrant CS","2021","AA","Female","Unknown","620","[c]","19650","20060"
"New entrant CS","2021","AA","Male","Heterosexual / straight","655","[c]","19820","20060"
"New entrant CS","2021","AA","Male","LGBO","55","[c]","19660","20060"
"New entrant CS","2021","AA","Male","Undeclared","50","[c]","19650","20060"
"New entrant CS","2021","AA","Male","Unknown","535","[c]","19840","20060"
"New entrant CS","2021","AA","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA","Unknown","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AA","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AO","Female","Heterosexual / straight","5415","[c]","21600","21010"
"New entrant CS","2021","AO","Female","LGBO","500","[c]","21950","21010"
"New entrant CS","2021","AO","Female","Undeclared","400","[c]","21420","21010"
"New entrant CS","2021","AO","Female","Unknown","3175","[c]","21380","20810"
"New entrant CS","2021","AO","Male","Heterosexual / straight","4475","[c]","22300","21010"
"New entrant CS","2021","AO","Male","LGBO","485","[c]","21530","21010"
"New entrant CS","2021","AO","Male","Undeclared","270","[c]","21850","21010"
"New entrant CS","2021","AO","Male","Unknown","3005","[c]","22180","21010"
"New entrant CS","2021","AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","AO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Female","Heterosexual / straight","7560","[c]","27960","27570"
"New entrant CS","2021","EO","Female","LGBO","705","[c]","27680","27570"
"New entrant CS","2021","EO","Female","Undeclared","490","[c]","27820","27570"
"New entrant CS","2021","EO","Female","Unknown","2160","[c]","26800","27500"
"New entrant CS","2021","EO","Male","Heterosexual / straight","4825","[c]","27870","27570"
"New entrant CS","2021","EO","Male","LGBO","685","[c]","27720","27570"
"New entrant CS","2021","EO","Male","Undeclared","345","[c]","27530","27570"
"New entrant CS","2021","EO","Male","Unknown","1895","[c]","26410","26130"
"New entrant CS","2021","EO","Unknown","Heterosexual / straight","10","[c]","[c]","[c]"
"New entrant CS","2021","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","EO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6","Female","Heterosexual / straight","155","[c]","67840","65990"
"New entrant CS","2021","G6","Female","LGBO","10","[c]","[c]","[c]"
"New entrant CS","2021","G6","Female","Undeclared","25","[c]","[c]","[c]"
"New entrant CS","2021","G6","Female","Unknown","145","[c]","70180","66230"
"New entrant CS","2021","G6","Male","Heterosexual / straight","195","[c]","68830","66590"
"New entrant CS","2021","G6","Male","LGBO","10","[c]","[c]","[c]"
"New entrant CS","2021","G6","Male","Undeclared","25","[c]","[c]","[c]"
"New entrant CS","2021","G6","Male","Unknown","160","[c]","72210","68700"
"New entrant CS","2021","G6","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6","Unknown","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G7","Female","Heterosexual / straight","880","[c]","54160","52970"
"New entrant CS","2021","G7","Female","LGBO","50","[c]","53600","53280"
"New entrant CS","2021","G7","Female","Undeclared","75","[c]","54110","53120"
"New entrant CS","2021","G7","Female","Unknown","455","[c]","54500","53360"
"New entrant CS","2021","G7","Male","Heterosexual / straight","910","[c]","54950","53500"
"New entrant CS","2021","G7","Male","LGBO","85","[c]","55350","53360"
"New entrant CS","2021","G7","Male","Undeclared","100","[c]","56500","55000"
"New entrant CS","2021","G7","Male","Unknown","470","[c]","55000","53460"
"New entrant CS","2021","G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G7","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HEO","Female","Heterosexual / straight","2320","[c]","32590","32330"
"New entrant CS","2021","HEO","Female","LGBO","270","[c]","31840","32000"
"New entrant CS","2021","HEO","Female","Undeclared","245","[c]","32190","32330"
"New entrant CS","2021","HEO","Female","Unknown","1400","[c]","31180","30850"
"New entrant CS","2021","HEO","Male","Heterosexual / straight","1920","[c]","32750","32560"
"New entrant CS","2021","HEO","Male","LGBO","225","[c]","32350","32130"
"New entrant CS","2021","HEO","Male","Undeclared","175","[c]","33050","32560"
"New entrant CS","2021","HEO","Male","Unknown","1210","[c]","31770","31810"
"New entrant CS","2021","HEO","Unknown","Heterosexual / straight","10","[c]","[c]","[c]"
