"Status","Year","Age","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Angus and Dundee City","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnet","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Barnsley, Doncaster and Rotherham","10","10","[c]","[c]"
"In post","2021","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","105","105","18130","17780"
"In post","2021","16-19","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Belfast","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire","10","10","[c]","[c]"
"In post","2021","16-19","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Birmingham","25","25","20770","20140"
"In post","2021","16-19","Blackburn with Darwen","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Blackpool","15","15","21010","21010"
"In post","2021","16-19","Bradford","10","10","[c]","[c]"
"In post","2021","16-19","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Brent","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bristol, City of","15","15","22140","21950"
"In post","2021","16-19","Buckinghamshire CC","5","5","[c]","[c]"
"In post","2021","16-19","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cambridgeshire CC","5","5","[c]","[c]"
"In post","2021","16-19","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cardiff and Vale of Glamorgan","35","35","20570","20140"
"In post","2021","16-19","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Central Hampshire","5","5","[c]","[c]"
"In post","2021","16-19","Central Valleys","5","5","[c]","[c]"
"In post","2021","16-19","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cheshire West and Chester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chorley and West Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","City of Edinburgh","80","80","21190","21150"
"In post","2021","16-19","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Croydon","10","10","[c]","[c]"
"In post","2021","16-19","Derby","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon CC","5","5","[c]","[c]"
"In post","2021","16-19","Dudley","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dumfries and Galloway","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Durham CC","10","10","21810","21100"
"In post","2021","16-19","Ealing","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Ayrshire and North Ayrshire mainland","10","10","18000","16780"
"In post","2021","16-19","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Kent","30","30","21530","21430"
"In post","2021","16-19","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Surrey","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Sussex CC","5","5","[c]","[c]"
"In post","2021","16-19","Enfield","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Essex Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Falkirk","5","5","[c]","[c]"
"In post","2021","16-19","Flintshire and Wrexham","20","20","17550","16780"
"In post","2021","16-19","Glasgow City","30","30","20950","21010"
"In post","2021","16-19","Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Greater Manchester South East","5","5","[c]","[c]"
"In post","2021","16-19","Greater Manchester South West","15","15","21040","20140"
"In post","2021","16-19","Gwent Valleys","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Gwynedd","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Hertfordshire","10","10","23960","22590"
"In post","2021","16-19","Hounslow and Richmond upon Thames","5","5","[c]","[c]"
"In post","2021","16-19","Inverclyde, East Renfrewshire and Renfrewshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Kensington & Chelsea and Hammersmith & Fulham","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Kent Thames Gateway","5","5","[c]","[c]"
"In post","2021","16-19","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lambeth","10","5","[c]","[c]"
"In post","2021","16-19","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Leeds","50","50","20490","20140"
"In post","2021","16-19","Leicester","10","10","19810","20140"
"In post","2021","16-19","Leicestershire CC and Rutland","5","5","[c]","[c]"
"In post","2021","16-19","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Liverpool","20","20","20740","21430"
"In post","2021","16-19","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Manchester","25","20","22550","21160"
"In post","2021","16-19","Medway","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mid Lancashire","15","10","20350","20140"
"In post","2021","16-19","Milton Keynes","20","20","22200","21600"
"In post","2021","16-19","Monmouthshire and Newport","20","15","21990","22950"
"In post","2021","16-19","Na h-Eileanan Siar","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North and North East Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North Lanarkshire","15","10","20180","20140"
"In post","2021","16-19","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Nottingham","30","30","22090","20980"
"In post","2021","16-19","Orkney Islands","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Oxfordshire","5","5","[c]","[c]"
"In post","2021","16-19","Perth and Kinross and Stirling","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Peterborough","5","5","[c]","[c]"
"In post","2021","16-19","Plymouth","20","20","18700","19130"
"In post","2021","16-19","Portsmouth","5","5","[c]","[c]"
"In post","2021","16-19","Redbridge and Waltham Forest","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Borders","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Sefton","25","25","20330","20140"
"In post","2021","16-19","Sheffield","15","15","21780","21010"
"In post","2021","16-19","Shropshire CC","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Solihull","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Somerset","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South Hampshire","15","10","19970","19130"
"In post","2021","16-19","South Lanarkshire","5","5","[c]","[c]"
"In post","2021","16-19","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South Teesside","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South West Wales","5","5","[c]","[c]"
"In post","2021","16-19","Southampton","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Staffordshire CC","15","15","22310","22850"
"In post","2021","16-19","Stoke-on-Trent","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Suffolk","10","10","23640","22430"
"In post","2021","16-19","Sunderland","15","15","20190","20140"
"In post","2021","16-19","Swansea","50","40","19860","18060"
"In post","2021","16-19","Thurrock","5","5","[c]","[c]"
"In post","2021","16-19","Tower Hamlets","10","10","[c]","[c]"
"In post","2021","16-19","Tyneside","65","60","21200","21010"
"In post","2021","16-19","Unknown","40","40","19120","15940"
"In post","2021","16-19","Wakefield","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Lothian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Surrey","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Sussex (South West)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Westminster","100","100","25700","25170"
"In post","2021","16-19","Wiltshire","35","30","19230","19630"
"In post","2021","16-19","Wirral","5","5","[c]","[c]"
"In post","2021","16-19","Wolverhampton","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Worcestershire","5","5","[c]","[c]"
"In post","2021","16-19","York","5","5","[c]","[c]"
"In post","2021","20-29","Aberdeen City and Aberdeenshire","230","225","27170","26570"
"In post","2021","20-29","Angus and Dundee City","215","210","23100","21010"
"In post","2021","20-29","Antrim and Newtownabbey","15","15","22460","20310"
"In post","2021","20-29","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Barking & Dagenham and Havering","90","90","29550","31060"
"In post","2021","20-29","Barnet","335","325","30480","31060"
"In post","2021","20-29","Barnsley, Doncaster and Rotherham","415","410","24710","24620"
"In post","2021","20-29","Bath and North East Somerset, North Somerset and South Gloucestershire","2815","2785","27730","27540"
"In post","2021","20-29","Bedford","155","155","27230","27850"
"In post","2021","20-29","Belfast","390","370","23310","20140"
"In post","2021","20-29","Berkshire","420","420","28790","26970"
"In post","2021","20-29","Bexley and Greenwich","330","325","29640","31060"
"In post","2021","20-29","Birmingham","1800","1765","25440","24240"
"In post","2021","20-29","Blackburn with Darwen","55","55","25470","27570"
"In post","2021","20-29","Blackpool","585","575","24450","21010"
"In post","2021","20-29","Bournemouth and Poole","50","50","23520","22920"
"In post","2021","20-29","Bradford","480","470","23630","21010"
"In post","2021","20-29","Breckland and South Norfolk","105","105","24310","23970"
"In post","2021","20-29","Brent","105","105","29580","31060"
"In post","2021","20-29","Bridgend and Neath Port Talbot","80","75","24300","21010"
"In post","2021","20-29","Brighton and Hove","80","80","25080","27050"
"In post","2021","20-29","Bristol, City of","1110","1085","27920","25860"
"In post","2021","20-29","Bromley","60","55","27720","31060"
"In post","2021","20-29","Buckinghamshire CC","265","265","27890","27850"
"In post","2021","20-29","Caithness and Sutherland and Ross and Cromarty","25","25","24990","26530"
"In post","2021","20-29","Calderdale and Kirklees","105","105","25710","27570"
"In post","2021","20-29","Cambridgeshire CC","450","440","27160","26910"
"In post","2021","20-29","Camden and City of London","575","570","31910","29570"
"In post","2021","20-29","Cardiff and Vale of Glamorgan","1980","1950","25680","25210"
"In post","2021","20-29","Causeway Coast and Glens","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Central Bedfordshire","40","35","26300","27120"
"In post","2021","20-29","Central Hampshire","635","635","29100","28650"
"In post","2021","20-29","Central Valleys","150","150","25880","25550"
"In post","2021","20-29","Cheshire East","115","110","24900","24920"
"In post","2021","20-29","Cheshire West and Chester","70","70","23080","21010"
"In post","2021","20-29","Chorley and West Lancashire","205","200","25010","24620"
"In post","2021","20-29","City of Edinburgh","2185","2160","27680","26160"
"In post","2021","20-29","Clackmannanshire and Fife","120","120","26400","26450"
"In post","2021","20-29","Conwy and Denbighshire","50","50","24670","23830"
"In post","2021","20-29","Cornwall and Isles of Scilly","120","115","23510","21010"
"In post","2021","20-29","Coventry","415","405","29510","29250"
"In post","2021","20-29","Croydon","1245","1240","32560","29570"
"In post","2021","20-29","Darlington","105","105","29480","29250"
"In post","2021","20-29","Derby","125","120","24700","25680"
"In post","2021","20-29","Devon CC","625","615","25610","24650"
"In post","2021","20-29","Dorset CC","265","260","24840","24770"
"In post","2021","20-29","Dudley","105","105","23440","21010"
"In post","2021","20-29","Dumfries and Galloway","65","60","25730","25870"
"In post","2021","20-29","Durham CC","860","830","23540","22350"
"In post","2021","20-29","Ealing","80","75","30740","31060"
"In post","2021","20-29","East Ayrshire and North Ayrshire mainland","80","80","23510","23230"
"In post","2021","20-29","East Cumbria","65","65","22810","21050"
"In post","2021","20-29","East Derbyshire","20","20","26660","27570"
"In post","2021","20-29","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","355","350","25380","24610"
"In post","2021","20-29","East Kent","515","515","24720","24880"
"In post","2021","20-29","East Lancashire","35","30","24760","27570"
"In post","2021","20-29","East Lothian and Midlothian","5","5","[c]","[c]"
"In post","2021","20-29","East Merseyside","90","90","25550","27570"
"In post","2021","20-29","East Riding of Yorkshire","270","270","24330","24440"
"In post","2021","20-29","East Surrey","170","170","30650","32150"
"In post","2021","20-29","East Sussex CC","285","280","24680","25850"
"In post","2021","20-29","Enfield","75","70","30000","31060"
"In post","2021","20-29","Essex Haven Gateway","95","95","25320","24890"
"In post","2021","20-29","Essex Thames Gateway","125","125","25680","24180"
"In post","2021","20-29","Falkirk","250","240","23600","21010"
"In post","2021","20-29","Fermanagh and Omagh","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Flintshire and Wrexham","330","330","23730","22970"
"In post","2021","20-29","Glasgow City","1625","1585","26320","24890"
"In post","2021","20-29","Gloucestershire","150","150","25960","26240"
"In post","2021","20-29","Greater Manchester North East","175","175","25880","27570"
"In post","2021","20-29","Greater Manchester North West","220","220","23810","22850"
"In post","2021","20-29","Greater Manchester South East","175","170","23960","21010"
"In post","2021","20-29","Greater Manchester South West","1160","1145","26250","25560"
"In post","2021","20-29","Gwent Valleys","105","100","24190","23830"
"In post","2021","20-29","Gwynedd","105","100","22410","21010"
"In post","2021","20-29","Hackney and Newham","345","340","32060","31060"
"In post","2021","20-29","Haringey and Islington","300","295","28760","30850"
"In post","2021","20-29","Harrow and Hillingdon","320","320","28790","28670"
"In post","2021","20-29","Hartlepool and Stockton-on-Tees","165","165","24680","24440"
"In post","2021","20-29","Heart of Essex","220","215","28030","28610"
"In post","2021","20-29","Herefordshire, County of","45","45","24070","24070"
"In post","2021","20-29","Hertfordshire","405","400","30020","29290"
"In post","2021","20-29","Hounslow and Richmond upon Thames","555","550","29550","29250"
"In post","2021","20-29","Inverclyde, East Renfrewshire and Renfrewshire","95","95","26200","25430"
"In post","2021","20-29","Inverness and Nairn and Moray, Badenoch and Strathspey","95","95","25080","22920"
"In post","2021","20-29","Isle of Anglesey","15","15","26410","25040"
"In post","2021","20-29","Isle of Wight","100","100","24670","25300"
"In post","2021","20-29","Kensington & Chelsea and Hammersmith & Fulham","190","190","30820","31060"
"In post","2021","20-29","Kent Thames Gateway","275","270","28870","29920"
"In post","2021","20-29","Kingston upon Hull, City of","265","260","24350","24220"
"In post","2021","20-29","Lambeth","835","820","33230","32260"
"In post","2021","20-29","Lancaster and Wyre","155","155","24020","24120"
"In post","2021","20-29","Leeds","2410","2385","27060","25560"
"In post","2021","20-29","Leicester","335","330","24170","22350"
"In post","2021","20-29","Leicestershire CC and Rutland","270","270","24320","24620"
"In post","2021","20-29","Lewisham and Southwark","210","210","28310","28760"
"In post","2021","20-29","Lincolnshire","280","280","25570","26300"
"In post","2021","20-29","Lisburn and Castlereagh","15","15","26270","24890"
