"Status","Year","Profession_of_post","Region_ITL1","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","AA/AO","5","5","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","EO","10","10","24430","25770"
"In post","2021","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","G6/G7","25","25","57750","54040"
"In post","2021","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","SEO/HEO","30","30","39910","40210"
"In post","2021","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","AA/AO","10","10","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","G6/G7","5","5","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","SEO/HEO","20","20","43740","46870"
"In post","2021","Commercial","East Midlands (England)","Lincolnshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Lincolnshire","G6/G7","5","5","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Lincolnshire","SEO/HEO","10","10","41120","38950"
"In post","2021","Commercial","East of England","Bedfordshire and Hertfordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","Bedfordshire and Hertfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","Bedfordshire and Hertfordshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","Bedfordshire and Hertfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","Bedfordshire and Hertfordshire","SEO/HEO","10","10","38810","36710"
"In post","2021","Commercial","East of England","Bedfordshire and Hertfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","East Anglia","AA/AO","10","10","[c]","[c]"
"In post","2021","Commercial","East of England","East Anglia","EO","25","25","25550","26670"
"In post","2021","Commercial","East of England","East Anglia","G6/G7","25","25","58190","52210"
"In post","2021","Commercial","East of England","East Anglia","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","East Anglia","SEO/HEO","160","155","37050","35830"
"In post","2021","Commercial","East of England","East Anglia","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","Essex","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","Essex","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","Inner London - East","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","Inner London - East","EO","10","10","27970","26410"
"In post","2021","Commercial","London","Inner London - East","G6/G7","15","15","62800","60650"
"In post","2021","Commercial","London","Inner London - East","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","Inner London - East","SEO/HEO","45","45","40900","40480"
"In post","2021","Commercial","London","Inner London - East","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","Inner London - West","AA/AO","10","10","24040","24230"
"In post","2021","Commercial","London","Inner London - West","EO","60","55","28780","29240"
"In post","2021","Commercial","London","Inner London - West","G6/G7","180","175","63550","61590"
"In post","2021","Commercial","London","Inner London - West","SCS level","50","45","86340","77510"
"In post","2021","Commercial","London","Inner London - West","SEO/HEO","265","265","40750","40650"
"In post","2021","Commercial","London","Inner London - West","Unknown","10","10","[c]","[c]"
"In post","2021","Commercial","London","Outer London - East and North East","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","Outer London - East and North East","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","Outer London - East and North East","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","Outer London - East and North East","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Commercial","London","Outer London - East and North East","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","Outer London - South","AA/AO","15","15","24980","24440"
"In post","2021","Commercial","London","Outer London - South","EO","20","20","30450","30110"
"In post","2021","Commercial","London","Outer London - South","G6/G7","20","20","68050","68610"
"In post","2021","Commercial","London","Outer London - South","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","Outer London - South","SEO/HEO","85","85","43610","44250"
"In post","2021","Commercial","London","Outer London - West and North West","AA/AO","20","20","22620","22120"
"In post","2021","Commercial","London","Outer London - West and North West","EO","10","10","28650","27730"
"In post","2021","Commercial","London","Outer London - West and North West","G6/G7","20","20","59280","55910"
"In post","2021","Commercial","London","Outer London - West and North West","SEO/HEO","20","20","38580","35490"
"In post","2021","Commercial","North East (England)","Northumberland and Tyne and Wear","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North East (England)","Northumberland and Tyne and Wear","G6/G7","10","10","[c]","[c]"
"In post","2021","Commercial","North East (England)","Northumberland and Tyne and Wear","SEO/HEO","20","20","37600","36710"
"In post","2021","Commercial","North East (England)","Northumberland and Tyne and Wear","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North East (England)","Tees Valley and Durham","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North East (England)","Tees Valley and Durham","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North East (England)","Tees Valley and Durham","G6/G7","20","20","58940","57770"
"In post","2021","Commercial","North East (England)","Tees Valley and Durham","SCS level","[c]","[c]","[c]","[c]"
