"Status","Year","Disability","Function_of_post","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Analysis","Commercial","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Commercial","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Commercial","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Communications","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Communications","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Corporate Finance","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Corporate Finance","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Digital, Data and Technology","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Digital, Data and Technology","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Digital, Data and Technology","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Digital, Data and Technology","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Digital, Data and Technology","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Economics","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Economics","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Economics","EO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Economics","G6","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Economics","G7","20","20","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Economics","HEO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Economics","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Finance","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Finance","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Human Resources","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Human Resources","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Human Resources","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Human Resources","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Intelligence Analysis","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Intelligence Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Intelligence Analysis","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Intelligence Analysis","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Intelligence Analysis","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Intelligence Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Intelligence Analysis","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Knowledge and Information Management","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Knowledge and Information Management","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Knowledge and Information Management","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Knowledge and Information Management","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Knowledge and Information Management","SEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Delivery","AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Delivery","EO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Delivery","HEO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Delivery","SEO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Research","AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Research","G6","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Research","G7","25","25","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Research","HEO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Research","SCS level","[c]","[c]","[c]","[c]"
