"Status","Year","Parent_department","Region_ITL1","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","East Midlands (England)","AA/AO","Female","85","80","21440","21950"
"In post","2021","Attorney General's Departments","East Midlands (England)","AA/AO","Male","25","25","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","EO","Female","60","55","27190","28290"
"In post","2021","Attorney General's Departments","East Midlands (England)","EO","Male","25","25","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","G6/G7","Female","115","100","53950","54200"
"In post","2021","Attorney General's Departments","East Midlands (England)","G6/G7","Male","70","65","53520","51940"
"In post","2021","Attorney General's Departments","East Midlands (England)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","SEO/HEO","Female","35","35","35150","34480"
"In post","2021","Attorney General's Departments","East Midlands (England)","SEO/HEO","Male","20","20","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","AA/AO","Female","85","75","22420","23520"
"In post","2021","Attorney General's Departments","East of England","AA/AO","Male","25","25","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","EO","Female","85","75","28470","28430"
"In post","2021","Attorney General's Departments","East of England","EO","Male","20","20","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","G6/G7","Female","105","90","58270","58970"
"In post","2021","Attorney General's Departments","East of England","G6/G7","Male","80","80","59070","60710"
"In post","2021","Attorney General's Departments","East of England","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","SEO/HEO","Female","50","45","37500","39650"
"In post","2021","Attorney General's Departments","East of England","SEO/HEO","Male","20","20","[c]","[c]"
"In post","2021","Attorney General's Departments","London","AA/AO","Female","270","245","23260","23520"
"In post","2021","Attorney General's Departments","London","AA/AO","Male","145","140","23140","23520"
"In post","2021","Attorney General's Departments","London","EO","Female","480","450","28560","27760"
"In post","2021","Attorney General's Departments","London","EO","Male","260","250","28780","28540"
"In post","2021","Attorney General's Departments","London","G6/G7","Female","1625","1470","59620","60150"
"In post","2021","Attorney General's Departments","London","G6/G7","Male","920","900","61630","62590"
"In post","2021","Attorney General's Departments","London","SCS level","Female","150","140","86820","80950"
"In post","2021","Attorney General's Departments","London","SCS level","Male","105","105","87640","82720"
"In post","2021","Attorney General's Departments","London","SEO/HEO","Female","405","385","37380","38290"
"In post","2021","Attorney General's Departments","London","SEO/HEO","Male","310","310","37590","38370"
"In post","2021","Attorney General's Departments","London","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Unknown","Male","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","North East (England)","AA/AO","Female","70","55","21890","21950"
"In post","2021","Attorney General's Departments","North East (England)","AA/AO","Male","25","25","[c]","[c]"
"In post","2021","Attorney General's Departments","North East (England)","EO","Female","50","45","27480","28430"
"In post","2021","Attorney General's Departments","North East (England)","EO","Male","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","North East (England)","G6/G7","Female","75","70","54340","55610"
"In post","2021","Attorney General's Departments","North East (England)","G6/G7","Male","55","55","55540","55610"
"In post","2021","Attorney General's Departments","North East (England)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North East (England)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North East (England)","SEO/HEO","Female","30","30","34690","34480"
"In post","2021","Attorney General's Departments","North East (England)","SEO/HEO","Male","15","15","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","AA/AO","Female","160","140","22040","21950"
"In post","2021","Attorney General's Departments","North West (England)","AA/AO","Male","50","50","21750","21950"
