"Status","Year","Disability","Parent_department","Region_ITL1","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Attorney General's Departments","East Midlands (England)","Outside London","55","55","35350","28430"
"In post","2021","Declared disabled","Attorney General's Departments","East of England","Outside London","45","40","42030","35630"
"In post","2021","Declared disabled","Attorney General's Departments","London","London","380","355","49660","51250"
"In post","2021","Declared disabled","Attorney General's Departments","North East (England)","Outside London","45","40","35170","28430"
"In post","2021","Declared disabled","Attorney General's Departments","North West (England)","Outside London","110","100","39930","32680"
"In post","2021","Declared disabled","Attorney General's Departments","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","South East (England)","Outside London","60","55","45590","44320"
"In post","2021","Declared disabled","Attorney General's Departments","South West (England)","Outside London","35","30","40150","36620"
"In post","2021","Declared disabled","Attorney General's Departments","Wales","Outside London","35","35","40740","42090"
"In post","2021","Declared disabled","Attorney General's Departments","West Midlands (England)","Outside London","55","50","41270","42090"
"In post","2021","Declared disabled","Attorney General's Departments","Yorkshire and The Humber","Outside London","105","95","43240","38760"
"In post","2021","Declared disabled","Cabinet Office","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","East of England","Outside London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","London","London","495","480","48060","43890"
"In post","2021","Declared disabled","Cabinet Office","North East (England)","Outside London","60","55","28220","23850"
"In post","2021","Declared disabled","Cabinet Office","North West (England)","Outside London","30","30","42480","38890"
"In post","2021","Declared disabled","Cabinet Office","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","South East (England)","Outside London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","South West (England)","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Unknown","Unknown","20","20","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Yorkshire and The Humber","Outside London","60","55","34630","33300"
"In post","2021","Declared disabled","Chancellor's other departments","London","London","25","25","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","London","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","North West (England)","Outside London","20","20","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","London","London","35","35","55940","54320"
"In post","2021","Declared disabled","Competition and Markets Authority","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","East Midlands (England)","Outside London","20","20","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","East of England","Outside London","25","20","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","London","London","495","485","46800","41100"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","North East (England)","Outside London","20","20","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","North West (England)","Outside London","50","45","32400","31720"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Scotland","Outside London","30","30","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","South East (England)","Outside London","20","20","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","South West (England)","Outside London","110","105","36030","32770"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Wales","Outside London","170","155","34650","30350"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","West Midlands (England)","Outside London","75","65","31470","30360"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","Outside London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","London","London","110","110","47390","40690"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","East Midlands (England)","Outside London","30","30","38920","37030"
"In post","2021","Declared disabled","Department for Education","East of England","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","London","London","215","205","49700","45940"
"In post","2021","Declared disabled","Department for Education","North East (England)","Outside London","75","75","36420","36500"
"In post","2021","Declared disabled","Department for Education","North West (England)","Outside London","110","110","37750","35000"
"In post","2021","Declared disabled","Department for Education","South West (England)","Outside London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","West Midlands (England)","Outside London","100","95","38920","36680"
"In post","2021","Declared disabled","Department for Education","Yorkshire and The Humber","Outside London","155","150","37740","36500"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","East Midlands (England)","Outside London","25","25","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","East of England","Outside London","75","70","31800","29270"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","London","London","260","255","41640","38750"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","North East (England)","Outside London","40","40","31320","29180"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","North West (England)","Outside London","160","145","29940","25190"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","Scotland","Outside London","25","20","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","South East (England)","Outside London","155","150","33410","30110"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","South West (England)","Outside London","195","180","33550","29740"
