"Status","Year","Age","Disability","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Declared disabled","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","London","10","10","[c]","[c]"
"In post","2021","16-19","Declared disabled","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","North West (England)","5","5","[c]","[c]"
"In post","2021","16-19","Declared disabled","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","South West (England)","10","10","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Wales","5","5","[c]","[c]"
"In post","2021","16-19","Declared disabled","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","East Midlands (England)","35","35","21340","21010"
"In post","2021","16-19","Declared non-disabled","East of England","35","30","23380","22430"
"In post","2021","16-19","Declared non-disabled","London","95","90","25500","25170"
"In post","2021","16-19","Declared non-disabled","North East (England)","50","50","21030","21010"
"In post","2021","16-19","Declared non-disabled","North West (England)","80","75","21080","21010"
"In post","2021","16-19","Declared non-disabled","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Scotland","85","85","21040","21010"
"In post","2021","16-19","Declared non-disabled","South East (England)","65","65","22150","21590"
"In post","2021","16-19","Declared non-disabled","South West (England)","105","105","19340","19040"
"In post","2021","16-19","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Wales","65","60","20190","20320"
"In post","2021","16-19","Declared non-disabled","West Midlands (England)","35","35","22100","21010"
"In post","2021","16-19","Declared non-disabled","Yorkshire and The Humber","40","40","21910","21010"
"In post","2021","16-19","Undeclared","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","London","10","10","[c]","[c]"
"In post","2021","16-19","Undeclared","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","South East (England)","[c]","[c]","[c]","[c]"
