"Status","Year","Age","Disability","Region_ITL1","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Declared disabled","East Midlands (England)","Derby","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","East Midlands (England)","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","East Midlands (England)","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","East Midlands (England)","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","East Midlands (England)","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","East Midlands (England)","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","East Midlands (England)","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","East Midlands (England)","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","East of England","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","East of England","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","East of England","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","East of England","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","East of England","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","East of England","Essex Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","East of England","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","East of England","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","East of England","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","East of England","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","East of England","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","East of England","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","East of England","Thurrock","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","London","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","London","Barnet","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","London","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","London","Brent","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","London","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","London","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","London","Ealing","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","London","Enfield","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","London","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","London","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","London","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","London","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","London","Kensington & Chelsea and Hammersmith & Fulham","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","London","Lambeth","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","London","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","London","Redbridge and Waltham Forest","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","London","Tower Hamlets","[c]","[c]","[c]","[c]"
