"Status","Year","Organisation","Region_ITL3","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","AA/AO","AA","35","30","22070","22230"
"In post","2021","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","EO","EO","45","40","28950","29190"
"In post","2021","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","SEO/HEO","HEO","20","20","34960","35110"
"In post","2021","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","SEO/HEO","SEO","10","10","47170","46600"
"In post","2021","Accountant in Bankruptcy","Glasgow City","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Glasgow City","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Birmingham","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Birmingham","EO","EO","35","30","24700","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Birmingham","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Birmingham","SEO/HEO","HEO","35","35","32370","30990"
"In post","2021","Advisory, Conciliation and Arbitration Service","Birmingham","SEO/HEO","SEO","10","10","40790","40000"
"In post","2021","Advisory, Conciliation and Arbitration Service","Bristol, City of","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Bristol, City of","EO","EO","15","10","26000","26380"
"In post","2021","Advisory, Conciliation and Arbitration Service","Bristol, City of","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Bristol, City of","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Bristol, City of","SEO/HEO","HEO","25","25","32360","31040"
"In post","2021","Advisory, Conciliation and Arbitration Service","Bristol, City of","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","EO","EO","35","35","24630","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","SEO/HEO","HEO","40","40","32240","31040"
"In post","2021","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","SEO/HEO","SEO","10","10","41420","40440"
"In post","2021","Advisory, Conciliation and Arbitration Service","Glasgow City","AA/AO","AO","5","5","[c]","[c]"
