"Status","Year","Disability","Function_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Analysis","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","AA/AO","AO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Analysis","EO","EO","65","60","27130","27200"
"In post","2021","Declared disabled","Analysis","G6/G7","G6","45","40","69820","67220"
"In post","2021","Declared disabled","Analysis","G6/G7","G7","115","105","54240","53170"
"In post","2021","Declared disabled","Analysis","SCS level","SCS level","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","SEO/HEO","HEO","170","160","32460","32000"
"In post","2021","Declared disabled","Analysis","SEO/HEO","SEO","155","150","40050","38900"
"In post","2021","Declared disabled","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","AA/AO","AO","65","60","22150","21590"
"In post","2021","Declared disabled","Commercial","EO","EO","90","85","27240","26780"
"In post","2021","Declared disabled","Commercial","G6/G7","G6","25","20","[c]","[c]"
"In post","2021","Declared disabled","Commercial","G6/G7","G7","60","60","55840","54700"
"In post","2021","Declared disabled","Commercial","SCS level","SCS level","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","SEO/HEO","HEO","125","120","33240","33300"
"In post","2021","Declared disabled","Commercial","SEO/HEO","SEO","165","160","42660","41950"
"In post","2021","Declared disabled","Commercial","Unknown","Unknown","30","30","41900","40000"
"In post","2021","Declared disabled","Communications","AA/AO","AA","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","AA/AO","AO","70","60","21360","21370"
"In post","2021","Declared disabled","Communications","EO","EO","205","190","25920","25560"
"In post","2021","Declared disabled","Communications","G6/G7","G6","10","10","[c]","[c]"
"In post","2021","Declared disabled","Communications","G6/G7","G7","35","35","53610","53400"
"In post","2021","Declared disabled","Communications","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","SEO/HEO","HEO","150","145","32660","31810"
"In post","2021","Declared disabled","Communications","SEO/HEO","SEO","75","70","41540","40580"
"In post","2021","Declared disabled","Counter Fraud","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","AA/AO","AO","110","95","21720","21440"
"In post","2021","Declared disabled","Counter Fraud","EO","EO","275","250","27130","25720"
"In post","2021","Declared disabled","Counter Fraud","G6/G7","G6","25","25","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","G6/G7","G7","60","55","54200","52580"
"In post","2021","Declared disabled","Counter Fraud","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","SEO/HEO","HEO","255","235","33450","31870"
"In post","2021","Declared disabled","Counter Fraud","SEO/HEO","SEO","95","95","40070","38630"
"In post","2021","Declared disabled","Debt","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","AA/AO","AO","280","240","21260","20220"
"In post","2021","Declared disabled","Debt","EO","EO","75","65","26780","25560"
"In post","2021","Declared disabled","Debt","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","SEO/HEO","HEO","15","10","[c]","[c]"
"In post","2021","Declared disabled","Debt","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","AA/AO","AA","5","5","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","AA/AO","AO","40","40","22400","21590"
"In post","2021","Declared disabled","Digital, Data & Technology","EO","EO","255","245","27470","26670"
"In post","2021","Declared disabled","Digital, Data & Technology","G6/G7","G6","40","40","65660","64670"
"In post","2021","Declared disabled","Digital, Data & Technology","G6/G7","G7","195","190","55710","54700"
"In post","2021","Declared disabled","Digital, Data & Technology","SCS level","SCS level","15","15","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","SEO/HEO","HEO","280","270","33290","33090"
"In post","2021","Declared disabled","Digital, Data & Technology","SEO/HEO","SEO","230","225","41070","40300"
"In post","2021","Declared disabled","Digital, Data & Technology","Unknown","Unknown","20","15","[c]","[c]"
"In post","2021","Declared disabled","Finance","AA/AO","AA","10","10","[c]","[c]"
"In post","2021","Declared disabled","Finance","AA/AO","AO","135","110","21240","21440"
"In post","2021","Declared disabled","Finance","EO","EO","155","145","26090","26580"
"In post","2021","Declared disabled","Finance","G6/G7","G6","40","35","65790","66590"
"In post","2021","Declared disabled","Finance","G6/G7","G7","115","110","55370","54390"
"In post","2021","Declared disabled","Finance","SCS level","SCS level","20","20","[c]","[c]"
"In post","2021","Declared disabled","Finance","SEO/HEO","HEO","180","170","33170","32840"
"In post","2021","Declared disabled","Finance","SEO/HEO","SEO","160","150","41330","40580"
"In post","2021","Declared disabled","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Grants Management","AA/AO","AO","85","75","21050","21050"
"In post","2021","Declared disabled","Grants Management","EO","EO","35","30","25790","25990"
"In post","2021","Declared disabled","Grants Management","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Grants Management","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Grants Management","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Grants Management","SEO/HEO","HEO","25","20","[c]","[c]"
"In post","2021","Declared disabled","Grants Management","SEO/HEO","SEO","10","5","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","AA/AO","AA","10","10","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","AA/AO","AO","185","170","21520","21130"
"In post","2021","Declared disabled","Human Resources","EO","EO","215","200","26930","26670"
"In post","2021","Declared disabled","Human Resources","G6/G7","G6","65","60","66840","65410"
"In post","2021","Declared disabled","Human Resources","G6/G7","G7","185","175","54360","53660"
"In post","2021","Declared disabled","Human Resources","SCS level","SCS level","40","40","89280","80000"
"In post","2021","Declared disabled","Human Resources","SEO/HEO","HEO","280","270","33170","32730"
"In post","2021","Declared disabled","Human Resources","SEO/HEO","SEO","215","200","41690","40580"
"In post","2021","Declared disabled","Human Resources","Unknown","Unknown","25","25","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","G6/G7","G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","SEO/HEO","HEO","30","30","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","SEO/HEO","SEO","35","35","43710","43450"
"In post","2021","Declared disabled","Internal Audit","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","AA/AO","AA","10","10","[c]","[c]"
"In post","2021","Declared disabled","Legal","AA/AO","AO","190","175","22580","21950"
"In post","2021","Declared disabled","Legal","EO","EO","220","200","28050","28430"
"In post","2021","Declared disabled","Legal","G6/G7","G6","90","80","70920","69650"
"In post","2021","Declared disabled","Legal","G6/G7","G7","405","375","57240","55610"
"In post","2021","Declared disabled","Legal","SCS level","SCS level","35","35","87390","82500"
"In post","2021","Declared disabled","Legal","SEO/HEO","HEO","140","130","34600","33980"
"In post","2021","Declared disabled","Legal","SEO/HEO","SEO","160","150","42550","41760"
"In post","2021","Declared disabled","Legal","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","No function","AA/AO","AA","1230","1070","19770","20070"
"In post","2021","Declared disabled","No function","AA/AO","AO","5465","4855","23160","21440"
"In post","2021","Declared disabled","No function","EO","EO","3130","2910","27940","27130"
"In post","2021","Declared disabled","No function","G6/G7","G6","360","345","67740","65590"
"In post","2021","Declared disabled","No function","G6/G7","G7","1130","1095","54540","53430"
"In post","2021","Declared disabled","No function","SCS level","SCS level","150","145","87230","77870"
"In post","2021","Declared disabled","No function","SEO/HEO","HEO","2440","2325","33430","33020"
"In post","2021","Declared disabled","No function","SEO/HEO","SEO","1370","1315","42510","40480"
"In post","2021","Declared disabled","No function","Unknown","Unknown","2225","2065","30490","30210"
"In post","2021","Declared disabled","Project Delivery","AA/AO","AA","5","5","[c]","[c]"
"In post","2021","Declared disabled","Project Delivery","AA/AO","AO","55","50","22200","21540"
"In post","2021","Declared disabled","Project Delivery","EO","EO","500","465","25080","26000"
"In post","2021","Declared disabled","Project Delivery","G6/G7","G6","160","155","66290","65500"
"In post","2021","Declared disabled","Project Delivery","G6/G7","G7","415","405","53440","53610"
"In post","2021","Declared disabled","Project Delivery","SCS level","SCS level","40","40","89170","83960"
"In post","2021","Declared disabled","Project Delivery","SEO/HEO","HEO","720","690","32470","32940"
"In post","2021","Declared disabled","Project Delivery","SEO/HEO","SEO","630","600","40460","40580"
"In post","2021","Declared disabled","Project Delivery","Unknown","Unknown","120","120","40450","39860"
"In post","2021","Declared disabled","Property","AA/AO","AA","55","50","18650","18800"
"In post","2021","Declared disabled","Property","AA/AO","AO","105","95","22850","21130"
"In post","2021","Declared disabled","Property","EO","EO","155","145","27110","26670"
"In post","2021","Declared disabled","Property","G6/G7","G6","25","25","[c]","[c]"
"In post","2021","Declared disabled","Property","G6/G7","G7","75","70","54920","54540"
"In post","2021","Declared disabled","Property","SCS level","SCS level","10","10","[c]","[c]"
"In post","2021","Declared disabled","Property","SEO/HEO","HEO","185","175","33120","33300"
"In post","2021","Declared disabled","Property","SEO/HEO","SEO","125","120","41310","40580"
"In post","2021","Declared disabled","Property","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Security","AA/AO","AA","150","140","19960","19560"
"In post","2021","Declared disabled","Security","AA/AO","AO","205","200","31580","32480"
"In post","2021","Declared disabled","Security","EO","EO","115","115","31780","27500"
"In post","2021","Declared disabled","Security","G6/G7","G6","10","10","[c]","[c]"
"In post","2021","Declared disabled","Security","G6/G7","G7","15","15","[c]","[c]"
"In post","2021","Declared disabled","Security","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Security","SEO/HEO","HEO","105","100","36100","33300"
"In post","2021","Declared disabled","Security","SEO/HEO","SEO","45","45","45700","44160"
"In post","2021","Declared disabled","Security","Unknown","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Unknown","AA/AO","AA","565","505","19940","19560"
"In post","2021","Declared disabled","Unknown","AA/AO","AO","6475","5565","21410","21010"
"In post","2021","Declared disabled","Unknown","EO","EO","10190","9120","27980","27570"
"In post","2021","Declared disabled","Unknown","G6/G7","G6","235","225","69870","68980"
"In post","2021","Declared disabled","Unknown","G6/G7","G7","675","650","56370","56120"
"In post","2021","Declared disabled","Unknown","SCS level","SCS level","95","90","88990","83230"
"In post","2021","Declared disabled","Unknown","SEO/HEO","HEO","2175","2040","33930","33300"
"In post","2021","Declared disabled","Unknown","SEO/HEO","SEO","1065","1015","41150","40670"
"In post","2021","Declared disabled","Unknown","Unknown","Unknown","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","Analysis","AA/AO","AA","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Analysis","AA/AO","AO","95","90","22210","21050"
"In post","2021","Declared non-disabled","Analysis","EO","EO","455","435","26580","26350"
"In post","2021","Declared non-disabled","Analysis","G6/G7","G6","385","370","72610","68730"
"In post","2021","Declared non-disabled","Analysis","G6/G7","G7","1245","1190","54610","54650"
"In post","2021","Declared non-disabled","Analysis","SCS level","SCS level","125","120","87100","78630"
"In post","2021","Declared non-disabled","Analysis","SEO/HEO","HEO","1265","1230","33180","32540"
"In post","2021","Declared non-disabled","Analysis","SEO/HEO","SEO","965","925","40480","39850"
"In post","2021","Declared non-disabled","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Commercial","AA/AO","AA","15","15","[c]","[c]"
"In post","2021","Declared non-disabled","Commercial","AA/AO","AO","305","290","21900","21130"
"In post","2021","Declared non-disabled","Commercial","EO","EO","575","545","27000","26670"
"In post","2021","Declared non-disabled","Commercial","G6/G7","G6","295","290","71610","69150"
"In post","2021","Declared non-disabled","Commercial","G6/G7","G7","525","510","55710","54540"
"In post","2021","Declared non-disabled","Commercial","SCS level","SCS level","170","165","110570","100540"
"In post","2021","Declared non-disabled","Commercial","SEO/HEO","HEO","820","795","33130","33300"
"In post","2021","Declared non-disabled","Commercial","SEO/HEO","SEO","1115","1085","42430","41100"
"In post","2021","Declared non-disabled","Commercial","Unknown","Unknown","160","160","39900","37400"
"In post","2021","Declared non-disabled","Communications","AA/AO","AA","15","15","[c]","[c]"
"In post","2021","Declared non-disabled","Communications","AA/AO","AO","275","245","21530","21400"
"In post","2021","Declared non-disabled","Communications","EO","EO","1605","1535","25770","25560"
"In post","2021","Declared non-disabled","Communications","G6/G7","G6","180","175","67400","66740"
"In post","2021","Declared non-disabled","Communications","G6/G7","G7","505","485","54700","54400"
"In post","2021","Declared non-disabled","Communications","SCS level","SCS level","85","85","89300","81760"
"In post","2021","Declared non-disabled","Communications","SEO/HEO","HEO","1245","1215","32800","31810"
"In post","2021","Declared non-disabled","Communications","SEO/HEO","SEO","815","790","40460","39750"
"In post","2021","Declared non-disabled","Counter Fraud","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Counter Fraud","AA/AO","AO","450","395","21450","21440"
"In post","2021","Declared non-disabled","Counter Fraud","EO","EO","1995","1875","26940","25560"
"In post","2021","Declared non-disabled","Counter Fraud","G6/G7","G6","195","190","66180","64670"
"In post","2021","Declared non-disabled","Counter Fraud","G6/G7","G7","575","550","54290","52580"
"In post","2021","Declared non-disabled","Counter Fraud","SCS level","SCS level","30","30","80600","78760"
"In post","2021","Declared non-disabled","Counter Fraud","SEO/HEO","HEO","1865","1765","33190","31810"
"In post","2021","Declared non-disabled","Counter Fraud","SEO/HEO","SEO","815","780","40060","38640"
"In post","2021","Declared non-disabled","Debt","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Debt","AA/AO","AO","1505","1325","21120","20140"
"In post","2021","Declared non-disabled","Debt","EO","EO","590","530","26880","25560"
"In post","2021","Declared non-disabled","Debt","G6/G7","G6","5","5","[c]","[c]"
