"Status","Year","Ethnicity","Region_ITL1","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","East Midlands (England)","Outside London","AA","40","35","18270","17520"
"In post","2021","Asian","East Midlands (England)","Outside London","AO","690","590","20870","21010"
"In post","2021","Asian","East Midlands (England)","Outside London","EO","515","480","26700","27570"
"In post","2021","Asian","East Midlands (England)","Outside London","G6","5","5","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Outside London","G7","70","65","53720","52580"
"In post","2021","Asian","East Midlands (England)","Outside London","HEO","215","205","31860","31810"
"In post","2021","Asian","East Midlands (England)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Outside London","SEO","90","90","39510","38630"
"In post","2021","Asian","East Midlands (England)","Outside London","Unknown","70","60","29420","28200"
"In post","2021","Asian","East of England","Outside London","AA","30","25","19320","19560"
"In post","2021","Asian","East of England","Outside London","AO","345","290","22750","21430"
"In post","2021","Asian","East of England","Outside London","EO","435","405","28050","27570"
"In post","2021","Asian","East of England","Outside London","G6","10","10","[c]","[c]"
"In post","2021","Asian","East of England","Outside London","G7","40","40","60010","55960"
"In post","2021","Asian","East of England","Outside London","HEO","130","120","34270","34000"
"In post","2021","Asian","East of England","Outside London","SCS level","10","10","[c]","[c]"
"In post","2021","Asian","East of England","Outside London","SEO","80","80","43000","40850"
"In post","2021","Asian","East of England","Outside London","Unknown","40","40","27290","24020"
"In post","2021","Asian","London","London","AA","275","245","22160","22210"
"In post","2021","Asian","London","London","AO","2155","1920","25080","25110"
"In post","2021","Asian","London","London","EO","4560","4245","29820","30070"
"In post","2021","Asian","London","London","G6","460","445","69180","67520"
"In post","2021","Asian","London","London","G7","1625","1585","56680","55930"
"In post","2021","Asian","London","London","HEO","2590","2515","35440","35200"
"In post","2021","Asian","London","London","SCS level","220","215","91820","83720"
"In post","2021","Asian","London","London","SEO","1550","1520","42660","41970"
"In post","2021","Asian","London","London","Unknown","125","120","32150","32090"
"In post","2021","Asian","North East (England)","Outside London","AA","10","5","[c]","[c]"
"In post","2021","Asian","North East (England)","Outside London","AO","180","160","20840","21010"
"In post","2021","Asian","North East (England)","Outside London","EO","90","85","26460","25710"
"In post","2021","Asian","North East (England)","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","Outside London","G7","25","25","[c]","[c]"
"In post","2021","Asian","North East (England)","Outside London","HEO","50","45","32070","31810"
"In post","2021","Asian","North East (England)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","Outside London","SEO","30","30","39910","38630"
"In post","2021","Asian","North East (England)","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","North West (England)","Outside London","AA","40","35","19400","19720"
