"Status","Year","Organisation","Region_london","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Outside London","AA","Female","20","15","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Outside London","AA","Male","10","10","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Outside London","EO","Female","30","25","28840","29190"
"In post","2021","Accountant in Bankruptcy","Outside London","EO","Male","10","10","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Outside London","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Outside London","G6","Male","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Outside London","G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Outside London","G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Outside London","HEO","Female","15","15","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Outside London","HEO","Male","5","5","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Outside London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Outside London","SEO","Female","5","5","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Outside London","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","AO","Female","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","EO","Female","20","20","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","EO","Male","15","15","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","G6","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","G7","Female","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","G7","Male","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","HEO","Female","45","45","37360","38570"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","HEO","Male","25","25","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","SCS level","Male","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","SEO","Female","25","20","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","SEO","Male","30","30","46770","47610"
"In post","2021","Advisory, Conciliation and Arbitration Service","Outside London","AO","Female","30","25","20350","19890"
"In post","2021","Advisory, Conciliation and Arbitration Service","Outside London","AO","Male","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Outside London","EO","Female","190","175","24760","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Outside London","EO","Male","125","125","24580","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Outside London","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Outside London","G6","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Outside London","G7","Female","15","15","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Outside London","G7","Male","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Outside London","HEO","Female","220","200","32350","31040"
"In post","2021","Advisory, Conciliation and Arbitration Service","Outside London","HEO","Male","140","135","32520","31040"
"In post","2021","Advisory, Conciliation and Arbitration Service","Outside London","SEO","Female","50","45","40960","39840"
"In post","2021","Advisory, Conciliation and Arbitration Service","Outside London","SEO","Male","50","50","41490","40440"
"In post","2021","Animal and Plant Health Agency","London","AO","Female","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","EO","Female","25","25","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","EO","Male","30","30","31200","31460"
"In post","2021","Animal and Plant Health Agency","London","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","G6","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","G7","Female","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","G7","Male","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","HEO","Female","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","HEO","Male","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","SEO","Male","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Outside London","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Outside London","AA","Male","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Outside London","AO","Female","545","500","21810","21050"
"In post","2021","Animal and Plant Health Agency","Outside London","AO","Male","245","240","22020","21050"
"In post","2021","Animal and Plant Health Agency","Outside London","EO","Female","430","400","26140","25320"
"In post","2021","Animal and Plant Health Agency","Outside London","EO","Male","285","275","26330","25750"
"In post","2021","Animal and Plant Health Agency","Outside London","G6","Female","25","25","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Outside London","G6","Male","30","25","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Outside London","G7","Female","70","65","51160","51110"
"In post","2021","Animal and Plant Health Agency","Outside London","G7","Male","70","65","52880","53870"
"In post","2021","Animal and Plant Health Agency","Outside London","HEO","Female","215","200","31240","30730"
"In post","2021","Animal and Plant Health Agency","Outside London","HEO","Male","175","170","31700","31700"
"In post","2021","Animal and Plant Health Agency","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Outside London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Outside London","SEO","Female","260","245","39650","37690"
"In post","2021","Animal and Plant Health Agency","Outside London","SEO","Male","205","195","40200","38300"
"In post","2021","Attorney General's Office","London","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","London","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","London","G6","Female","5","5","[c]","[c]"
"In post","2021","Attorney General's Office","London","G6","Male","5","5","[c]","[c]"
"In post","2021","Attorney General's Office","London","G7","Female","5","5","[c]","[c]"
"In post","2021","Attorney General's Office","London","G7","Male","[c]","[c]","[c]","[c]"
