"Status","Year","Ethnicity","Region_ITL1","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","East Midlands (England)","Outside London","Female","950","820","26710","25560"
"In post","2021","Asian","East Midlands (England)","Outside London","Male","750","715","27440","25560"
"In post","2021","Asian","East Midlands (England)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Outside London","Female","655","570","29220","27310"
"In post","2021","Asian","East of England","Outside London","Male","470","450","31950","28080"
"In post","2021","Asian","East of England","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","London","Female","8145","7500","36380","31520"
"In post","2021","Asian","London","London","Male","5420","5305","38030","32790"
"In post","2021","Asian","London","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","Outside London","Female","215","190","26550","21440"
"In post","2021","Asian","North East (England)","Outside London","Male","180","170","29350","25560"
"In post","2021","Asian","North East (England)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North West (England)","Outside London","Female","1150","995","26920","25040"
"In post","2021","Asian","North West (England)","Outside London","Male","1425","1375","28280","26000"
"In post","2021","Asian","North West (England)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","Outside London","Female","5","5","[c]","[c]"
"In post","2021","Asian","Northern Ireland","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","Overseas","Female","65","65","42680","34770"
"In post","2021","Asian","Overseas","Overseas","Male","85","85","48870","45910"
"In post","2021","Asian","Overseas","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Outside London","Female","275","245","29620","26160"
"In post","2021","Asian","Scotland","Outside London","Male","235","225","34650","27570"
"In post","2021","Asian","Scotland","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South East (England)","Outside London","Female","785","700","29500","27570"
"In post","2021","Asian","South East (England)","Outside London","Male","595","570","31190","28400"
"In post","2021","Asian","South East (England)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","Outside London","Female","365","330","33080","27780"
"In post","2021","Asian","South West (England)","Outside London","Male","415","405","35370","32650"
"In post","2021","Asian","South West (England)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Unknown","Female","110","95","28840","27570"
"In post","2021","Asian","Unknown","Unknown","Male","60","55","31140","27570"
"In post","2021","Asian","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Wales","Outside London","Female","205","190","29870","25560"
"In post","2021","Asian","Wales","Outside London","Male","220","215","30430","25560"
"In post","2021","Asian","Wales","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","West Midlands (England)","Outside London","Female","2265","2025","27450","25560"
"In post","2021","Asian","West Midlands (England)","Outside London","Male","1805","1760","28290","26560"
"In post","2021","Asian","West Midlands (England)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Yorkshire and The Humber","Outside London","Female","1135","990","27320","25560"
"In post","2021","Asian","Yorkshire and The Humber","Outside London","Male","1180","1140","28750","27570"
"In post","2021","Asian","Yorkshire and The Humber","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","East Midlands (England)","Outside London","Female","310","280","26440","25420"
"In post","2021","Black","East Midlands (England)","Outside London","Male","195","195","28260","27570"
"In post","2021","Black","East Midlands (England)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","East of England","Outside London","Female","390","365","30030","29290"
"In post","2021","Black","East of England","Outside London","Male","205","205","31990","29290"
"In post","2021","Black","East of England","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","London","London","Female","6745","6450","34110","31060"
"In post","2021","Black","London","London","Male","3220","3170","35480","31880"
"In post","2021","Black","London","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","North East (England)","Outside London","Female","75","65","25800","21430"
"In post","2021","Black","North East (England)","Outside London","Male","70","70","29490","25960"
"In post","2021","Black","North East (England)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","North West (England)","Outside London","Female","400","370","28310","26120"
"In post","2021","Black","North West (England)","Outside London","Male","325","315","28870","27570"
"In post","2021","Black","North West (England)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Northern Ireland","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Black","Northern Ireland","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Black","Northern Ireland","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Overseas","Overseas","Female","35","35","42500","36970"
"In post","2021","Black","Overseas","Overseas","Male","30","30","[c]","[c]"
"In post","2021","Black","Overseas","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Scotland","Outside London","Female","125","115","29020","27570"
"In post","2021","Black","Scotland","Outside London","Male","105","105","35610","30790"
"In post","2021","Black","Scotland","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","South East (England)","Outside London","Female","475","445","29860","28130"
"In post","2021","Black","South East (England)","Outside London","Male","370","360","31140","29290"
"In post","2021","Black","South East (England)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","South West (England)","Outside London","Female","270","255","31130","28430"
"In post","2021","Black","South West (England)","Outside London","Male","265","260","33900","32780"
