"Status","Year","Disability","Ethnicity","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Asian","Attorney General's Departments","AA/AO","15","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Attorney General's Departments","EO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Attorney General's Departments","G6/G7","30","30","58640","56830"
"In post","2021","Declared disabled","Asian","Attorney General's Departments","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Attorney General's Departments","SEO/HEO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Cabinet Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Cabinet Office","EO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Cabinet Office","G6/G7","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Cabinet Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Cabinet Office","SEO/HEO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Chancellor's other departments","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Chancellor's other departments","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Chancellor's other departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Charity Commission","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Competition and Markets Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Competition and Markets Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Competition and Markets Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Business, Energy and Industrial Strategy","AA/AO","10","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Business, Energy and Industrial Strategy","EO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Business, Energy and Industrial Strategy","G6/G7","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Business, Energy and Industrial Strategy","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Business, Energy and Industrial Strategy","SEO/HEO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Digital, Culture, Media and Sport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Digital, Culture, Media and Sport","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Digital, Culture, Media and Sport","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Digital, Culture, Media and Sport","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Education","EO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Education","G6/G7","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Education","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Education","SEO/HEO","30","30","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Environment, Food and Rural Affairs","AA/AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Environment, Food and Rural Affairs","EO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Environment, Food and Rural Affairs","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Environment, Food and Rural Affairs","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Environment, Food and Rural Affairs","SEO/HEO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for International Trade","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for International Trade","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Transport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Transport","EO","10","5","[c]","[c]"
