"Status","Year","Age","Ethnicity","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Asian","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Operational Delivery","AA/AO","15","15","[c]","[c]"
"In post","2021","16-19","Asian","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Operational Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Other","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Other","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Policy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Science and Engineering","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Security","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Tax","AA/AO","10","10","[c]","[c]"
"In post","2021","16-19","Asian","Tax","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","AA/AO","15","15","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","EO","10","5","[c]","[c]"
"In post","2021","16-19","Black","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
