"Status","Year","Age","Parent_department","Region_ITL1","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Attorney General's Departments","East Midlands (England)","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","London","London","5","5","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","London","London","10","10","[c]","[c]"
"In post","2021","16-19","Cabinet Office","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chancellor's other departments","London","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","London","London","10","10","27390","27680"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Wales","Outside London","10","10","20890","19850"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","London","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","North West (England)","Outside London","10","10","[c]","[c]"
"In post","2021","16-19","Department for Education","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","London","London","10","10","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","South East (England)","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","London","London","5","5","[c]","[c]"
"In post","2021","16-19","Department for Transport","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","London","London","5","5","[c]","[c]"
"In post","2021","16-19","Department for Transport","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Wales","Outside London","35","30","19450","18060"
"In post","2021","16-19","Department for Transport","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","East Midlands (England)","Outside London","15","15","22520","21010"
"In post","2021","16-19","Department for Work and Pensions","East of England","Outside London","10","10","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","London","London","10","10","29280","31060"
"In post","2021","16-19","Department for Work and Pensions","North East (England)","Outside London","35","35","21540","21010"
"In post","2021","16-19","Department for Work and Pensions","North West (England)","Outside London","35","35","20970","21010"
"In post","2021","16-19","Department for Work and Pensions","Scotland","Outside London","15","15","21010","21010"
"In post","2021","16-19","Department for Work and Pensions","South East (England)","Outside London","15","15","24850","24180"
"In post","2021","16-19","Department for Work and Pensions","South West (England)","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Wales","Outside London","20","20","22830","21010"
"In post","2021","16-19","Department for Work and Pensions","West Midlands (England)","Outside London","15","15","23530","21010"
"In post","2021","16-19","Department for Work and Pensions","Yorkshire and The Humber","Outside London","30","30","22320","21010"
"In post","2021","16-19","Department of Health and Social Care","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","London","London","15","10","23630","22920"
"In post","2021","16-19","Department of Health and Social Care","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","South West (England)","Outside London","10","5","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","London","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","South East (England)","Outside London","15","15","21490","21600"
"In post","2021","16-19","HM Land Registry","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Land Registry","North West (England)","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","HM Land Registry","South West (England)","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","HM Land Registry","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Land Registry","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","East Midlands (England)","Outside London","15","15","21740","20140"
"In post","2021","16-19","HM Revenue and Customs","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","London","London","5","5","[c]","[c]"
