"Status","Year","Profession_of_post","Region_london","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","London","AA/AO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Commercial","London","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","AA/AO","Unknown","20","15","[c]","[c]"
"In post","2021","Commercial","London","EO","Heterosexual / straight","75","75","29280","30040"
"In post","2021","Commercial","London","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","EO","Undeclared","5","5","[c]","[c]"
"In post","2021","Commercial","London","EO","Unknown","20","20","[c]","[c]"
"In post","2021","Commercial","London","G6/G7","Heterosexual / straight","155","150","65110","65440"
"In post","2021","Commercial","London","G6/G7","LGBO","10","10","[c]","[c]"
"In post","2021","Commercial","London","G6/G7","Undeclared","20","15","[c]","[c]"
"In post","2021","Commercial","London","G6/G7","Unknown","50","50","58060","53870"
"In post","2021","Commercial","London","SCS level","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Commercial","London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","SCS level","Unknown","20","20","[c]","[c]"
"In post","2021","Commercial","London","SEO/HEO","Heterosexual / straight","290","285","41740","41070"
"In post","2021","Commercial","London","SEO/HEO","LGBO","15","15","[c]","[c]"
"In post","2021","Commercial","London","SEO/HEO","Undeclared","35","35","41540","42170"
"In post","2021","Commercial","London","SEO/HEO","Unknown","85","85","40400","40650"
"In post","2021","Commercial","London","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Commercial","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Outside London","AA/AO","Heterosexual / straight","125","120","22200","21590"
"In post","2021","Commercial","Outside London","AA/AO","LGBO","5","5","[c]","[c]"
"In post","2021","Commercial","Outside London","AA/AO","Undeclared","30","25","[c]","[c]"
"In post","2021","Commercial","Outside London","AA/AO","Unknown","55","50","22680","21590"
"In post","2021","Commercial","Outside London","EO","Heterosexual / straight","440","415","25390","26130"
"In post","2021","Commercial","Outside London","EO","LGBO","25","25","[c]","[c]"
"In post","2021","Commercial","Outside London","EO","Undeclared","60","55","26210","26670"
"In post","2021","Commercial","Outside London","EO","Unknown","80","75","25180","25560"
"In post","2021","Commercial","Outside London","G6/G7","Heterosexual / straight","530","515","58470","55020"
"In post","2021","Commercial","Outside London","G6/G7","LGBO","15","15","[c]","[c]"
"In post","2021","Commercial","Outside London","G6/G7","Undeclared","60","55","59590","56610"
"In post","2021","Commercial","Outside London","G6/G7","Unknown","165","165","53520","49990"
"In post","2021","Commercial","Outside London","SCS level","Heterosexual / straight","40","40","92280","91580"
"In post","2021","Commercial","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Outside London","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Outside London","SCS level","Unknown","5","5","[c]","[c]"
"In post","2021","Commercial","Outside London","SEO/HEO","Heterosexual / straight","1855","1790","37120","36780"
"In post","2021","Commercial","Outside London","SEO/HEO","LGBO","75","75","34630","33450"
"In post","2021","Commercial","Outside London","SEO/HEO","Undeclared","250","240","38070","37920"
"In post","2021","Commercial","Outside London","SEO/HEO","Unknown","405","385","36140","36740"
"In post","2021","Commercial","Outside London","Unknown","Heterosexual / straight","155","155","38350","37400"
"In post","2021","Commercial","Outside London","Unknown","LGBO","10","10","[c]","[c]"
"In post","2021","Commercial","Outside London","Unknown","Undeclared","20","20","[c]","[c]"
"In post","2021","Commercial","Outside London","Unknown","Unknown","20","20","[c]","[c]"
"In post","2021","Commercial","Overseas","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","G6/G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Commercial","Overseas","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","SEO/HEO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Commercial","Overseas","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","SEO/HEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Commercial","Unknown","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","AA/AO","Heterosexual / straight","40","40","24800","24900"
"In post","2021","Communications","London","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","AA/AO","Undeclared","5","5","[c]","[c]"
"In post","2021","Communications","London","AA/AO","Unknown","15","15","[c]","[c]"
"In post","2021","Communications","London","EO","Heterosexual / straight","120","120","28570","27960"
"In post","2021","Communications","London","EO","LGBO","10","10","[c]","[c]"
"In post","2021","Communications","London","EO","Undeclared","10","10","[c]","[c]"
"In post","2021","Communications","London","EO","Unknown","95","95","28440","27810"
"In post","2021","Communications","London","G6/G7","Heterosexual / straight","405","385","59590","57680"
"In post","2021","Communications","London","G6/G7","LGBO","45","45","59740","58060"
"In post","2021","Communications","London","G6/G7","Undeclared","40","40","56540","56600"
"In post","2021","Communications","London","G6/G7","Unknown","160","155","58920","56520"
"In post","2021","Communications","London","SCS level","Heterosexual / straight","65","65","87990","82190"
"In post","2021","Communications","London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","SCS level","Unknown","30","30","88460","82130"
