"Status","Year","Function_of_post","Organisation","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Department for International Trade","Heterosexual / straight","165","160","44340","39790"
"In post","2021","Analysis","Department for International Trade","Department for International Trade","LGBO","20","20","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Department for International Trade","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Department for International Trade","Unknown","60","60","39670","31800"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Department for Transport","Heterosexual / straight","270","260","47590","43360"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Department for Transport","LGBO","30","30","42790","38510"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Department for Transport","Undeclared","25","25","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Department for Transport","Unknown","75","70","42550","42470"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Heterosexual / straight","125","120","51480","53360"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","LGBO","10","10","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Undeclared","10","10","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Unknown","145","140","52890","53360"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","Department for Transport","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","Department for Transport","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","Department for Transport","Undeclared","10","10","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Department for Transport","Heterosexual / straight","40","40","31780","32020"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Department for Transport","LGBO","[c]","[c]","[c]","[c]"
