"Status","Year","Function_of_post","Organisation","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","London","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","London","G7","5","5","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","London","HEO","10","10","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Outside London","AA","5","5","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Outside London","AO","35","35","21170","21050"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Outside London","EO","95","90","25060","24920"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Outside London","G6","20","20","61530","59120"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Outside London","G7","65","60","48620","48080"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Outside London","HEO","150","145","29750","29270"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Outside London","SEO","105","100","37230","36580"
"In post","2021","Analysis","Charity Commission","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","London","G6","[c]","[c]","[c]","[c]"
