"Status","Year","Age","Region_ITL1","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","East Midlands (England)","Derby","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","Derby","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","Leicester","Female","5","5","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","Leicester","Male","5","5","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","Leicestershire CC and Rutland","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","Leicestershire CC and Rutland","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","Lincolnshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","Lincolnshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","North Nottinghamshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","North Nottinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","Nottingham","Female","20","20","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","Nottingham","Male","10","10","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","South and West Derbyshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","South and West Derbyshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","South Nottinghamshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","South Nottinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","West Northamptonshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","West Northamptonshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Bedford","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Bedford","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Breckland and South Norfolk","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Breckland and South Norfolk","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Cambridgeshire CC","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Cambridgeshire CC","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Central Bedfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Central Bedfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Essex Haven Gateway","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Essex Haven Gateway","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Essex Thames Gateway","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Essex Thames Gateway","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Heart of Essex","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Heart of Essex","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Hertfordshire","Female","5","5","[c]","[c]"
"In post","2021","16-19","East of England","Hertfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Norwich and East Norfolk","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Norwich and East Norfolk","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Peterborough","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Peterborough","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Southend-on-Sea","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Southend-on-Sea","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Suffolk","Female","5","5","[c]","[c]"
"In post","2021","16-19","East of England","Suffolk","Male","5","5","[c]","[c]"
"In post","2021","16-19","East of England","Thurrock","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Thurrock","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Barking & Dagenham and Havering","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Barking & Dagenham and Havering","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Barnet","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Barnet","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Bexley and Greenwich","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Bexley and Greenwich","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Brent","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Brent","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Camden and City of London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Camden and City of London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Croydon","Female","5","5","[c]","[c]"
"In post","2021","16-19","London","Croydon","Male","[c]","[c]","[c]","[c]"
