"Status","Year","Ethnicity","Region_ITL1","Region_ITL2","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","East Midlands (England)","Derbyshire and Nottinghamshire","Female","365","325","29360","27570"
"In post","2021","Asian","East Midlands (England)","Derbyshire and Nottinghamshire","Male","280","270","30550","27570"
"In post","2021","Asian","East Midlands (England)","Derbyshire and Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Female","575","485","24960","21770"
"In post","2021","Asian","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Male","460","435","25470","22350"
"In post","2021","Asian","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Lincolnshire","Female","10","10","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Lincolnshire","Male","10","10","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Lincolnshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Bedfordshire and Hertfordshire","Female","340","305","30220","27570"
"In post","2021","Asian","East of England","Bedfordshire and Hertfordshire","Male","205","200","31730","29290"
"In post","2021","Asian","East of England","Bedfordshire and Hertfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","East Anglia","Female","195","160","25310","21430"
"In post","2021","Asian","East of England","East Anglia","Male","170","160","29310","25310"
"In post","2021","Asian","East of England","East Anglia","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Essex","Female","120","105","32830","29290"
"In post","2021","Asian","East of England","Essex","Male","95","90","37170","29290"
"In post","2021","Asian","East of England","Essex","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","Inner London - East","Female","1445","1315","35940","31060"
"In post","2021","Asian","London","Inner London - East","Male","1070","1045","38590","32520"
"In post","2021","Asian","London","Inner London - East","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","Inner London - West","Female","3555","3385","40880","36160"
"In post","2021","Asian","London","Inner London - West","Male","2440","2410","41950","36650"
"In post","2021","Asian","London","Inner London - West","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","Outer London - East and North East","Female","445","380","29370","31060"
"In post","2021","Asian","London","Outer London - East and North East","Male","260","255","30040","31060"
"In post","2021","Asian","London","Outer London - East and North East","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","Outer London - South","Female","1070","965","33140","29570"
"In post","2021","Asian","London","Outer London - South","Male","640","625","35620","31060"
"In post","2021","Asian","London","Outer London - South","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","Outer London - West and North West","Female","1625","1455","30940","29690"
"In post","2021","Asian","London","Outer London - West and North West","Male","1005","965","31510","29080"
"In post","2021","Asian","London","Outer London - West and North West","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","Northumberland and Tyne and Wear","Female","165","145","26930","21440"
"In post","2021","Asian","North East (England)","Northumberland and Tyne and Wear","Male","120","120","30070","25560"
"In post","2021","Asian","North East (England)","Northumberland and Tyne and Wear","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","Tees Valley and Durham","Female","55","45","25400","21440"
"In post","2021","Asian","North East (England)","Tees Valley and Durham","Male","60","50","27890","24880"
"In post","2021","Asian","North East (England)","Tees Valley and Durham","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North West (England)","Cheshire","Female","25","25","[c]","[c]"
"In post","2021","Asian","North West (England)","Cheshire","Male","30","30","30690","27570"
"In post","2021","Asian","North West (England)","Cheshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North West (England)","Cumbria","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North West (England)","Cumbria","Male","10","10","[c]","[c]"
"In post","2021","Asian","North West (England)","Cumbria","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North West (England)","Greater Manchester","Female","640","570","27770","25560"
"In post","2021","Asian","North West (England)","Greater Manchester","Male","725","715","29840","27570"
"In post","2021","Asian","North West (England)","Greater Manchester","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North West (England)","Lancashire","Female","405","330","24420","21010"
"In post","2021","Asian","North West (England)","Lancashire","Male","565","535","25130","21440"
"In post","2021","Asian","North West (England)","Lancashire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North West (England)","Merseyside","Female","75","65","33150","25040"
"In post","2021","Asian","North West (England)","Merseyside","Male","95","90","34110","27570"
"In post","2021","Asian","North West (England)","Merseyside","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","Northern Ireland","Female","5","5","[c]","[c]"
"In post","2021","Asian","Northern Ireland","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","Overseas","Female","65","65","42680","34770"
"In post","2021","Asian","Overseas","Overseas","Male","85","85","48870","45910"
"In post","2021","Asian","Overseas","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Eastern Scotland","Female","110","100","31640","27570"
"In post","2021","Asian","Scotland","Eastern Scotland","Male","80","80","33190","27570"
"In post","2021","Asian","Scotland","Eastern Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Highlands and Islands","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Highlands and Islands","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Highlands and Islands","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","North Eastern Scotland","Female","10","10","[c]","[c]"
"In post","2021","Asian","Scotland","North Eastern Scotland","Male","15","15","[c]","[c]"
"In post","2021","Asian","Scotland","North Eastern Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","Southern Scotland","Female","25","25","[c]","[c]"
"In post","2021","Asian","Scotland","Southern Scotland","Male","25","25","[c]","[c]"
"In post","2021","Asian","Scotland","Southern Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland","West Central Scotland","Female","125","110","27680","24890"
"In post","2021","Asian","Scotland","West Central Scotland","Male","110","105","30510","26160"
"In post","2021","Asian","Scotland","West Central Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Female","350","315","30140","27990"
"In post","2021","Asian","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Male","250","245","31390","28700"
"In post","2021","Asian","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South East (England)","Hampshire and Isle of Wight","Female","165","145","28300","26670"
"In post","2021","Asian","South East (England)","Hampshire and Isle of Wight","Male","140","130","32790","27570"
"In post","2021","Asian","South East (England)","Hampshire and Isle of Wight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South East (England)","Kent","Female","90","80","29190","29290"
"In post","2021","Asian","South East (England)","Kent","Male","70","70","29800","29290"
"In post","2021","Asian","South East (England)","Kent","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South East (England)","Surrey, East and West Sussex","Female","180","160","29480","27960"
"In post","2021","Asian","South East (England)","Surrey, East and West Sussex","Male","130","125","29890","27570"
"In post","2021","Asian","South East (England)","Surrey, East and West Sussex","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","Cornwall and Isles of Scilly","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","Cornwall and Isles of Scilly","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","Cornwall and Isles of Scilly","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","Devon","Female","25","25","[c]","[c]"
"In post","2021","Asian","South West (England)","Devon","Male","25","25","[c]","[c]"
"In post","2021","Asian","South West (England)","Devon","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","Dorset and Somerset","Female","15","15","[c]","[c]"
"In post","2021","Asian","South West (England)","Dorset and Somerset","Male","15","15","[c]","[c]"
"In post","2021","Asian","South West (England)","Dorset and Somerset","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Female","320","290","33390","28590"
"In post","2021","Asian","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Male","370","365","35720","32860"
