"Status","Year","Ethnicity","Region_ITL2","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Heterosexual / straight","440","410","30870","29290"
"In post","2021","Asian","Bedfordshire and Hertfordshire","LGBO","10","10","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Undeclared","35","35","28030","27570"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Unknown","60","50","32350","28920"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Heterosexual / straight","490","460","30790","28550"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","LGBO","15","15","[c]","[c]"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","35","30","29390","28200"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Unknown","60","50","29930","27570"
"In post","2021","Asian","Cheshire","Heterosexual / straight","45","45","28710","27570"
"In post","2021","Asian","Cheshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Asian","Cumbria","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Derbyshire and Nottinghamshire","Heterosexual / straight","515","480","30150","27570"
"In post","2021","Asian","Derbyshire and Nottinghamshire","LGBO","15","15","[c]","[c]"
"In post","2021","Asian","Derbyshire and Nottinghamshire","Undeclared","30","25","[c]","[c]"
"In post","2021","Asian","Derbyshire and Nottinghamshire","Unknown","90","75","28470","27130"
"In post","2021","Asian","Devon","Heterosexual / straight","30","25","[c]","[c]"
"In post","2021","Asian","Devon","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Devon","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Devon","Unknown","20","20","[c]","[c]"
"In post","2021","Asian","Dorset and Somerset","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Asian","Dorset and Somerset","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Dorset and Somerset","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Dorset and Somerset","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","East Anglia","Heterosexual / straight","320","275","26620","23660"
"In post","2021","Asian","East Anglia","LGBO","5","5","[c]","[c]"
"In post","2021","Asian","East Anglia","Undeclared","30","25","[c]","[c]"
"In post","2021","Asian","East Anglia","Unknown","15","10","[c]","[c]"
"In post","2021","Asian","East Wales","Heterosexual / straight","285","270","31000","25560"
"In post","2021","Asian","East Wales","LGBO","5","5","[c]","[c]"
"In post","2021","Asian","East Wales","Undeclared","15","15","[c]","[c]"
"In post","2021","Asian","East Wales","Unknown","30","25","29410","25560"
"In post","2021","Asian","East Yorkshire and Northern Lincolnshire","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Asian","East Yorkshire and Northern Lincolnshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Yorkshire and Northern Lincolnshire","Undeclared","[c]","[c]","[c]","[c]"
