"Status","Year","Ethnicity","Organisation","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Accountant in Bankruptcy","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Accountant in Bankruptcy","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Accountant in Bankruptcy","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Female","25","25","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Male","15","15","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Female","35","35","27700","24920"
"In post","2021","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Male","20","20","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Office","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Office","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Office","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Cabinet Office","Female","280","270","44200","38560"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Cabinet Office","Male","190","190","48330","42040"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Charity Commission","Female","5","5","[c]","[c]"
"In post","2021","Asian","Charity Commission","Charity Commission","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","Department for Business, Energy and Industrial Strategy","Female","10","10","[c]","[c]"
"In post","2021","Asian","Companies House","Department for Business, Energy and Industrial Strategy","Male","10","10","[c]","[c]"
"In post","2021","Asian","Companies House","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Competition and Markets Authority","Female","60","55","42590","35270"
"In post","2021","Asian","Competition and Markets Authority","Competition and Markets Authority","Male","45","45","50620","47040"
"In post","2021","Asian","Competition and Markets Authority","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Criminal Injuries Compensation Authority","Ministry of Justice","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Criminal Injuries Compensation Authority","Ministry of Justice","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Criminal Injuries Compensation Authority","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","Other Cabinet Office Agencies","Female","10","10","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","Other Cabinet Office Agencies","Male","20","20","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","Other Cabinet Office Agencies","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","Scottish Government","Female","25","20","[c]","[c]"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","Scottish Government","Male","15","15","[c]","[c]"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","Attorney General's Departments","Female","425","380","38990","31820"
"In post","2021","Asian","Crown Prosecution Service","Attorney General's Departments","Male","175","170","40460","38760"
"In post","2021","Asian","Crown Prosecution Service","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service Inspectorate","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service Inspectorate","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service Inspectorate","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt Management Office","HM Treasury","Female","10","10","[c]","[c]"
"In post","2021","Asian","Debt Management Office","HM Treasury","Male","10","10","[c]","[c]"
"In post","2021","Asian","Debt Management Office","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","Ministry of Defence","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","Ministry of Defence","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Ministry of Defence","Female","110","105","32420","29230"
"In post","2021","Asian","Defence Equipment and Support","Ministry of Defence","Male","220","215","34540","32620"
"In post","2021","Asian","Defence Equipment and Support","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Ministry of Defence","Female","15","15","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Ministry of Defence","Male","45","45","41980","38500"
"In post","2021","Asian","Defence Science and Technology Laboratory","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Female","260","255","44690","40050"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Male","190","190","42980","40050"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Female","70","65","46090","50860"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Male","55","55","47270","42020"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education (excl. agencies)","Department for Education","Female","260","255","40380","36660"
"In post","2021","Asian","Department for Education (excl. agencies)","Department for Education","Male","195","195","39940","36500"
"In post","2021","Asian","Department for Education (excl. agencies)","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Female","140","135","38860","33620"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Male","110","110","39460","35890"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Department for International Trade","Female","100","95","41680","38160"
"In post","2021","Asian","Department for International Trade","Department for International Trade","Male","110","110","43610","38540"
"In post","2021","Asian","Department for International Trade","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport (excl. agencies)","Department for Transport","Female","145","145","43510","42470"
"In post","2021","Asian","Department for Transport (excl. agencies)","Department for Transport","Male","145","145","46120","42890"
"In post","2021","Asian","Department for Transport (excl. agencies)","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Female","4390","3760","27670","27570"
"In post","2021","Asian","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Male","2950","2860","27870","27570"
"In post","2021","Asian","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Female","105","100","42880","37630"
"In post","2021","Asian","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Male","60","60","40710","35390"
"In post","2021","Asian","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Disclosure Scotland","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Disclosure Scotland","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Disclosure Scotland","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Driver and Vehicle Licensing Agency","Department for Transport","Female","20","15","[c]","[c]"
"In post","2021","Asian","Driver and Vehicle Licensing Agency","Department for Transport","Male","25","25","[c]","[c]"
"In post","2021","Asian","Driver and Vehicle Licensing Agency","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Driver and Vehicle Standards Agency","Department for Transport","Female","35","30","28690","26780"
"In post","2021","Asian","Driver and Vehicle Standards Agency","Department for Transport","Male","80","75","29700","30470"
"In post","2021","Asian","Driver and Vehicle Standards Agency","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Education and Skills Funding Agency","Department for Education","Female","110","105","37590","36500"
"In post","2021","Asian","Education and Skills Funding Agency","Department for Education","Male","95","90","41510","37300"
"In post","2021","Asian","Education and Skills Funding Agency","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Education Scotland","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Education Scotland","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Education Scotland","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","ESTYN","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","ESTYN","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","ESTYN","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","FCDO Services","Foreign, Commonwealth and Development Office","Female","25","25","[c]","[c]"
"In post","2021","Asian","FCDO Services","Foreign, Commonwealth and Development Office","Male","35","35","35290","29230"
