"Status","Year","Function_of_post","Parent_department","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Attorney General's Departments","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Outside London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","London","Heterosexual / straight","140","130","69860","65470"
"In post","2021","Analysis","Chancellor's other departments","London","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","London","Undeclared","25","25","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","London","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Outside London","Heterosexual / straight","10","5","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","London","Heterosexual / straight","95","95","59810","56360"
"In post","2021","Analysis","Competition and Markets Authority","London","LGBO","10","10","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","London","Undeclared","10","10","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","London","Unknown","10","10","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","London","Heterosexual / straight","200","200","45130","37890"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","London","LGBO","25","25","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","London","Undeclared","25","25","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","London","Unknown","45","45","37120","35640"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Outside London","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Outside London","LGBO","[c]","[c]","[c]","[c]"
