"Status","Year","Ethnicity","Region_ITL1","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","East Midlands (England)","Derby","Heterosexual / straight","80","70","25660","26180"
"In post","2021","Asian","East Midlands (England)","Derby","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Derby","Undeclared","5","5","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Derby","Unknown","20","15","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","East Derbyshire","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","East Derbyshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","East Derbyshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","East Derbyshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Leicester","Heterosexual / straight","610","550","24920","21440"
"In post","2021","Asian","East Midlands (England)","Leicester","LGBO","15","10","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Leicester","Undeclared","45","40","24500","21010"
"In post","2021","Asian","East Midlands (England)","Leicester","Unknown","155","125","24730","21440"
"In post","2021","Asian","East Midlands (England)","Leicestershire CC and Rutland","Heterosexual / straight","105","95","26740","24890"
"In post","2021","Asian","East Midlands (England)","Leicestershire CC and Rutland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Leicestershire CC and Rutland","Undeclared","10","10","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Leicestershire CC and Rutland","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Lincolnshire","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Lincolnshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Lincolnshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Lincolnshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","North Northamptonshire","Heterosexual / straight","20","15","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","North Northamptonshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","North Northamptonshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","North Northamptonshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","North Nottinghamshire","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","North Nottinghamshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","North Nottinghamshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","North Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Nottingham","Heterosexual / straight","385","365","30970","28200"
"In post","2021","Asian","East Midlands (England)","Nottingham","LGBO","10","10","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Nottingham","Undeclared","20","20","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Nottingham","Unknown","65","60","29390","26920"
"In post","2021","Asian","East Midlands (England)","South and West Derbyshire","Heterosexual / straight","20","15","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","South and West Derbyshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","South and West Derbyshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","South and West Derbyshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","South Nottinghamshire","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","South Nottinghamshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","South Nottinghamshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","South Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","West Northamptonshire","Heterosexual / straight","55","50","26440","23730"
"In post","2021","Asian","East Midlands (England)","West Northamptonshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","West Northamptonshire","Undeclared","5","5","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","West Northamptonshire","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","East of England","Bedford","Heterosexual / straight","65","60","27640","27570"
"In post","2021","Asian","East of England","Bedford","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Bedford","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Bedford","Unknown","10","5","[c]","[c]"
"In post","2021","Asian","East of England","Breckland and South Norfolk","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Breckland and South Norfolk","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Breckland and South Norfolk","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Breckland and South Norfolk","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Cambridgeshire CC","Heterosexual / straight","70","70","34030","29000"
