"Status","Year","Disability","Organisation","Parent_department","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Accountant in Bankruptcy","Scottish Government","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Outside London","95","85","30360","30950"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Outside London","340","320","28120","25100"
"In post","2021","Declared disabled","Attorney General's Office","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","London","495","480","48060","43890"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Outside London","195","185","34960","33140"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","20","20","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Outside London","30","30","28240","29270"
"In post","2021","Declared disabled","Charity Commission","Charity Commission","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Charity Commission","Outside London","20","20","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Department for Business, Energy and Industrial Strategy","Outside London","70","60","32030","25000"
"In post","2021","Declared disabled","Competition and Markets Authority","Competition and Markets Authority","London","35","35","55940","54320"
"In post","2021","Declared disabled","Competition and Markets Authority","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Criminal Injuries Compensation Authority","Ministry of Justice","Outside London","35","30","23110","22570"
"In post","2021","Declared disabled","Crown Commercial Service","Other Cabinet Office Agencies","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","Other Cabinet Office Agencies","Outside London","40","40","37460","34800"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","Scottish Government","Outside London","105","95","37590","33550"
"In post","2021","Declared disabled","Crown Prosecution Service","Attorney General's Departments","London","175","160","46850","40800"
