"Status","Year","Age","Disability","Function_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Declared disabled","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Debt","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Debt","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Grants Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","No function","AA/AO","10","10","[c]","[c]"
"In post","2021","16-19","Declared disabled","No function","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","No function","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Project Delivery","EO","5","5","[c]","[c]"
"In post","2021","16-19","Declared disabled","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Security","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","AA/AO","15","15","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Analysis","EO","15","15","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Debt","AA/AO","15","15","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Debt","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Digital, Data & Technology","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Finance","EO","25","25","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Grants Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Human Resources","AA/AO","10","10","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Legal","AA/AO","10","10","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","No function","AA/AO","190","175","20790","20140"
"In post","2021","16-19","Declared non-disabled","No function","EO","35","35","24300","24300"
"In post","2021","16-19","Declared non-disabled","No function","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Project Delivery","AA/AO","15","15","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Project Delivery","EO","50","50","18810","17780"
"In post","2021","16-19","Declared non-disabled","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Property","AA/AO","10","10","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Property","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Security","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Unknown","AA/AO","210","205","21270","21010"
"In post","2021","16-19","Declared non-disabled","Unknown","EO","45","45","28070","27570"
"In post","2021","16-19","Declared non-disabled","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","No function","AA/AO","10","10","[c]","[c]"
"In post","2021","16-19","Undeclared","No function","EO","5","5","[c]","[c]"
"In post","2021","16-19","Undeclared","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Analysis","EO","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Communications","EO","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Debt","AA/AO","35","35","20140","20140"
"In post","2021","16-19","Unknown","Digital, Data & Technology","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Finance","AA/AO","10","5","[c]","[c]"
"In post","2021","16-19","Unknown","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Legal","AA/AO","20","20","[c]","[c]"
"In post","2021","16-19","Unknown","No function","AA/AO","220","210","20490","20140"
"In post","2021","16-19","Unknown","No function","EO","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Project Delivery","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Project Delivery","EO","40","40","17340","16780"
"In post","2021","16-19","Unknown","Project Delivery","Unknown","15","15","[c]","[c]"
"In post","2021","16-19","Unknown","Property","AA/AO","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","Property","EO","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Security","AA/AO","15","15","[c]","[c]"
"In post","2021","16-19","Unknown","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","AA/AO","80","75","21250","21430"
"In post","2021","16-19","Unknown","Unknown","EO","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","Unknown","35","35","18640","15940"
"In post","2021","20-29","Declared disabled","Analysis","AA/AO","10","10","[c]","[c]"
"In post","2021","20-29","Declared disabled","Analysis","EO","25","25","[c]","[c]"
"In post","2021","20-29","Declared disabled","Analysis","G6/G7","15","15","[c]","[c]"
"In post","2021","20-29","Declared disabled","Analysis","SEO/HEO","105","105","34220","33610"
"In post","2021","20-29","Declared disabled","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Commercial","AA/AO","5","5","[c]","[c]"
"In post","2021","20-29","Declared disabled","Commercial","EO","15","15","[c]","[c]"
"In post","2021","20-29","Declared disabled","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Commercial","SEO/HEO","20","20","[c]","[c]"
"In post","2021","20-29","Declared disabled","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Communications","AA/AO","10","10","[c]","[c]"
"In post","2021","20-29","Declared disabled","Communications","EO","35","35","26020","25560"
"In post","2021","20-29","Declared disabled","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Communications","SEO/HEO","35","35","34850","32890"
"In post","2021","20-29","Declared disabled","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Counter Fraud","EO","20","20","[c]","[c]"
"In post","2021","20-29","Declared disabled","Counter Fraud","G6/G7","5","5","[c]","[c]"
"In post","2021","20-29","Declared disabled","Counter Fraud","SEO/HEO","15","15","[c]","[c]"
"In post","2021","20-29","Declared disabled","Debt","AA/AO","20","20","[c]","[c]"
"In post","2021","20-29","Declared disabled","Debt","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Debt","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Debt","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Digital, Data & Technology","AA/AO","10","10","[c]","[c]"
"In post","2021","20-29","Declared disabled","Digital, Data & Technology","EO","50","50","26170","26120"
"In post","2021","20-29","Declared disabled","Digital, Data & Technology","G6/G7","10","10","[c]","[c]"
"In post","2021","20-29","Declared disabled","Digital, Data & Technology","SEO/HEO","45","45","34930","34550"
"In post","2021","20-29","Declared disabled","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Finance","AA/AO","5","5","[c]","[c]"
"In post","2021","20-29","Declared disabled","Finance","EO","25","25","[c]","[c]"
"In post","2021","20-29","Declared disabled","Finance","G6/G7","10","10","[c]","[c]"
"In post","2021","20-29","Declared disabled","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Finance","SEO/HEO","25","25","[c]","[c]"
"In post","2021","20-29","Declared disabled","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Grants Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Grants Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Grants Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Human Resources","AA/AO","20","20","[c]","[c]"
"In post","2021","20-29","Declared disabled","Human Resources","EO","40","40","26060","26970"
"In post","2021","20-29","Declared disabled","Human Resources","G6/G7","15","15","[c]","[c]"
"In post","2021","20-29","Declared disabled","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Human Resources","SEO/HEO","55","55","32670","32000"
"In post","2021","20-29","Declared disabled","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Internal Audit","SEO/HEO","5","5","[c]","[c]"
"In post","2021","20-29","Declared disabled","Legal","AA/AO","25","25","[c]","[c]"
"In post","2021","20-29","Declared disabled","Legal","EO","25","25","[c]","[c]"
"In post","2021","20-29","Declared disabled","Legal","G6/G7","5","5","[c]","[c]"
"In post","2021","20-29","Declared disabled","Legal","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Legal","SEO/HEO","25","25","[c]","[c]"
"In post","2021","20-29","Declared disabled","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","No function","AA/AO","780","760","22760","21270"
"In post","2021","20-29","Declared disabled","No function","EO","350","345","26880","26410"
"In post","2021","20-29","Declared disabled","No function","G6/G7","130","130","54500","53380"
"In post","2021","20-29","Declared disabled","No function","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","No function","SEO/HEO","610","605","33920","33490"
"In post","2021","20-29","Declared disabled","No function","Unknown","215","215","25380","23840"
"In post","2021","20-29","Declared disabled","Project Delivery","AA/AO","10","10","[c]","[c]"
"In post","2021","20-29","Declared disabled","Project Delivery","EO","110","110","23950","25310"
