"Status","Year","Organisation","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Scottish Forestry","Scottish Government","Male","95","90","39880","37530"
"In post","2021","Scottish Government (excl. agencies)","Scottish Government","Female","4300","4040","42560","38540"
"In post","2021","Scottish Government (excl. agencies)","Scottish Government","Male","3515","3445","43750","39110"
"In post","2021","Scottish Housing Regulator","Scottish Government","Female","30","30","53700","61010"
"In post","2021","Scottish Housing Regulator","Scottish Government","Male","20","20","[c]","[c]"
"In post","2021","Scottish Prison Service","Scottish Government","Female","1520","1435","30120","28410"
"In post","2021","Scottish Prison Service","Scottish Government","Male","2965","2770","32590","33650"
"In post","2021","Scottish Public Pensions Agency","Scottish Government","Female","155","135","28590","26160"
"In post","2021","Scottish Public Pensions Agency","Scottish Government","Male","130","125","30910","26160"
"In post","2021","Serious Fraud Office","Attorney General's Departments","Female","215","210","45630","40170"
"In post","2021","Serious Fraud Office","Attorney General's Departments","Male","275","270","46720","41200"
"In post","2021","Social Security Scotland","Scottish Government","Female","655","625","30650","26160"
"In post","2021","Social Security Scotland","Scottish Government","Male","480","475","32930","28170"
"In post","2021","Standards and Testing Agency","Department for Education","Female","85","80","43820","41400"
"In post","2021","Standards and Testing Agency","Department for Education","Male","40","40","42550","41290"
"In post","2021","Student Awards Agency for Scotland","Scottish Government","Female","130","120","28540","24910"
"In post","2021","Student Awards Agency for Scotland","Scottish Government","Male","110","110","31230","27150"
"In post","2021","Submarine Delivery Agency","Ministry of Defence","Female","565","535","37990","34550"
"In post","2021","Submarine Delivery Agency","Ministry of Defence","Male","1225","1210","43170","41000"
"In post","2021","Teaching Regulation Agency","Department for Education","Female","45","45","30240","26000"
"In post","2021","Teaching Regulation Agency","Department for Education","Male","25","25","[c]","[c]"
"In post","2021","The National Archives","The National Archives","Female","290","270","35110","32290"
"In post","2021","The National Archives","The National Archives","Male","255","245","36130","34260"
"In post","2021","Transport Scotland","Scottish Government","Female","210","200","40780","38060"
"In post","2021","Transport Scotland","Scottish Government","Male","280","280","46830","46600"
"In post","2021","UK Export Finance","UK Export Finance","Female","155","150","49040","43000"
"In post","2021","UK Export Finance","UK Export Finance","Male","245","245","56280","50530"
"In post","2021","UK Hydrographic Office","Ministry of Defence","Female","290","265","33920","33290"
"In post","2021","UK Hydrographic Office","Ministry of Defence","Male","555","540","35200","33290"
"In post","2021","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Female","705","650","33730","28240"
"In post","2021","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Male","810","785","41280","40640"
"In post","2021","UK Space Agency","Department for Business, Energy and Industrial Strategy","Female","135","130","44310","40050"
"In post","2021","UK Space Agency","Department for Business, Energy and Industrial Strategy","Male","125","125","49660","49100"
"In post","2021","UK Supreme Court","UK Supreme Court","Female","30","30","39960","35150"
"In post","2021","UK Supreme Court","UK Supreme Court","Male","25","25","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","United Kingdom Statistics Authority","Female","3115","2730","31370","29540"
"In post","2021","United Kingdom Statistics Authority","United Kingdom Statistics Authority","Male","2385","2175","33990","30130"
"In post","2021","United Kingdom Statistics Authority","United Kingdom Statistics Authority","Unknown","50","50","35520","32540"
"In post","2021","Valuation Office Agency","HM Revenue and Customs","Female","1825","1630","31610","26500"
"In post","2021","Valuation Office Agency","HM Revenue and Customs","Male","1715","1645","35940","32100"
"In post","2021","Vehicle Certification Agency","Department for Transport","Female","70","65","28900","27250"
"In post","2021","Vehicle Certification Agency","Department for Transport","Male","140","135","39480","37790"
"In post","2021","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","Female","100","95","39100","36590"
"In post","2021","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","Male","70","70","47750","52290"
"In post","2021","Wales Office","Wales Office","Female","15","15","[c]","[c]"
"In post","2021","Wales Office","Wales Office","Male","25","25","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Water Services Regulation Authority","Female","130","125","55630","48850"
"In post","2021","Water Services Regulation Authority","Water Services Regulation Authority","Male","120","115","56660","51630"
"In post","2021","Welsh Government (excl. agencies)","Welsh Government","Female","3375","3120","39780","37410"
"In post","2021","Welsh Government (excl. agencies)","Welsh Government","Male","2330","2275","42740","37410"
"In post","2021","Welsh Revenue Authority","Welsh Government","Female","40","40","42090","39310"
"In post","2021","Welsh Revenue Authority","Welsh Government","Male","30","30","50540","48940"
"In post","2021","Wilton Park","Foreign, Commonwealth and Development Office","Female","60","55","33030","28640"
"In post","2021","Wilton Park","Foreign, Commonwealth and Development Office","Male","25","25","[c]","[c]"
"Leaver CS","2021","Accountant in Bankruptcy","Scottish Government","Female","10","[c]","[c]","[c]"
"Leaver CS","2021","Accountant in Bankruptcy","Scottish Government","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Female","30","[c]","[c]","[c]"
"Leaver CS","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Male","20","[c]","[c]","[c]"
"Leaver CS","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Female","80","[c]","28390","24370"
"Leaver CS","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Male","60","[c]","29360","25010"
"Leaver CS","2021","Attorney General's Office","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Attorney General's Office","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cabinet Office (excl. agencies)","Cabinet Office","Female","180","[c]","42800","33110"
"Leaver CS","2021","Cabinet Office (excl. agencies)","Cabinet Office","Male","195","[c]","52180","41590"
"Leaver CS","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Female","20","[c]","[c]","[c]"
"Leaver CS","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Male","20","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","Charity Commission","Female","15","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","Charity Commission","Male","20","[c]","[c]","[c]"
"Leaver CS","2021","Companies House","Department for Business, Energy and Industrial Strategy","Female","25","[c]","[c]","[c]"
"Leaver CS","2021","Companies House","Department for Business, Energy and Industrial Strategy","Male","20","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","Competition and Markets Authority","Female","40","[c]","52290","52270"
"Leaver CS","2021","Competition and Markets Authority","Competition and Markets Authority","Male","40","[c]","54100","45740"
"Leaver CS","2021","Criminal Injuries Compensation Authority","Ministry of Justice","Female","10","[c]","[c]","[c]"
"Leaver CS","2021","Criminal Injuries Compensation Authority","Ministry of Justice","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Crown Commercial Service","Other Cabinet Office Agencies","Female","20","[c]","[c]","[c]"
"Leaver CS","2021","Crown Commercial Service","Other Cabinet Office Agencies","Male","20","[c]","[c]","[c]"
"Leaver CS","2021","Crown Office and Procurator Fiscal Service","Scottish Government","Female","50","[c]","28400","22220"
"Leaver CS","2021","Crown Office and Procurator Fiscal Service","Scottish Government","Male","35","[c]","37310","32930"
"Leaver CS","2021","Crown Prosecution Service","Attorney General's Departments","Female","155","[c]","40480","32050"
"Leaver CS","2021","Crown Prosecution Service","Attorney General's Departments","Male","110","[c]","48090","55000"
"Leaver CS","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt Management Office","HM Treasury","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt Management Office","HM Treasury","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Defence Electronics and Components Agency","Ministry of Defence","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Defence Electronics and Components Agency","Ministry of Defence","Male","10","[c]","[c]","[c]"
"Leaver CS","2021","Defence Equipment and Support","Ministry of Defence","Female","140","[c]","31190","28020"
"Leaver CS","2021","Defence Equipment and Support","Ministry of Defence","Male","335","[c]","36170","32600"
"Leaver CS","2021","Defence Science and Technology Laboratory","Ministry of Defence","Female","70","[c]","31280","28650"
"Leaver CS","2021","Defence Science and Technology Laboratory","Ministry of Defence","Male","140","[c]","31100","28650"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Female","85","[c]","46100","40380"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Male","120","[c]","50510","43760"
"Leaver CS","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Female","45","[c]","[c]","[c]"
"Leaver CS","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Male","35","[c]","[c]","[c]"
"Leaver CS","2021","Department for Education (excl. agencies)","Department for Education","Female","160","[c]","42340","36970"
"Leaver CS","2021","Department for Education (excl. agencies)","Department for Education","Male","125","[c]","44990","40940"
"Leaver CS","2021","Department for Education (excl. agencies)","Department for Education","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Female","140","[c]","35860","32240"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Male","125","[c]","40750","35900"
"Leaver CS","2021","Department for International Development","Foreign, Commonwealth and Development Office","Female","10","[c]","[c]","[c]"
"Leaver CS","2021","Department for International Development","Foreign, Commonwealth and Development Office","Male","15","[c]","[c]","[c]"
"Leaver CS","2021","Department for International Trade","Department for International Trade","Female","75","[c]","35950","31180"
"Leaver CS","2021","Department for International Trade","Department for International Trade","Male","70","[c]","40520","32250"
"Leaver CS","2021","Department for Transport (excl. agencies)","Department for Transport","Female","45","[c]","36910","34330"
"Leaver CS","2021","Department for Transport (excl. agencies)","Department for Transport","Male","60","[c]","47890","43360"
"Leaver CS","2021","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Female","2760","[c]","26140","26120"
"Leaver CS","2021","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Male","1630","[c]","26970","26890"
"Leaver CS","2021","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Female","100","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Male","85","[c]","[c]","[c]"
"Leaver CS","2021","Disclosure Scotland","Scottish Government","Female","5","[c]","[c]","[c]"
"Leaver CS","2021","Disclosure Scotland","Scottish Government","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Driver and Vehicle Licensing Agency","Department for Transport","Female","155","[c]","22080","21590"
"Leaver CS","2021","Driver and Vehicle Licensing Agency","Department for Transport","Male","120","[c]","24990","21590"
"Leaver CS","2021","Driver and Vehicle Standards Agency","Department for Transport","Female","75","[c]","26230","26380"
"Leaver CS","2021","Driver and Vehicle Standards Agency","Department for Transport","Male","150","[c]","29680","26780"
"Leaver CS","2021","Education and Skills Funding Agency","Department for Education","Female","30","[c]","45830","40510"
"Leaver CS","2021","Education and Skills Funding Agency","Department for Education","Male","25","[c]","[c]","[c]"
"Leaver CS","2021","Education and Skills Funding Agency","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Education Scotland","Scottish Government","Female","15","[c]","[c]","[c]"
"Leaver CS","2021","Education Scotland","Scottish Government","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","ESTYN","ESTYN","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","ESTYN","ESTYN","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","FCDO Services","Foreign, Commonwealth and Development Office","Female","15","[c]","[c]","[c]"
"Leaver CS","2021","FCDO Services","Foreign, Commonwealth and Development Office","Male","55","[c]","40180","34490"
"Leaver CS","2021","Food Standards Agency","Food Standards Agency","Female","25","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Food Standards Agency","Male","25","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Scotland","Scottish Government","Female","5","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Scotland","Scottish Government","Male","5","[c]","[c]","[c]"
"Leaver CS","2021","Foreign and Commonwealth Office (excl. agencies)","Foreign, Commonwealth and Development Office","Female","20","[c]","[c]","[c]"
"Leaver CS","2021","Foreign and Commonwealth Office (excl. agencies)","Foreign, Commonwealth and Development Office","Male","30","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Female","45","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Male","70","[c]","51340","52210"
"Leaver CS","2021","Forestry and Land Scotland","Scottish Government","Female","20","[c]","[c]","[c]"
"Leaver CS","2021","Forestry and Land Scotland","Scottish Government","Male","45","[c]","28890","27320"
