"Status","Year","Ethnicity","Parent_department","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Attorney General's Departments","London","Heterosexual / straight","490","465","44070","43920"
"In post","2021","Asian","Attorney General's Departments","London","LGBO","15","15","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","London","Undeclared","15","15","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","London","Unknown","70","60","46920","51120"
"In post","2021","Asian","Attorney General's Departments","Outside London","Heterosexual / straight","255","235","38600","38180"
"In post","2021","Asian","Attorney General's Departments","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Outside London","Unknown","50","45","39890","36620"
"In post","2021","Asian","Attorney General's Departments","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","London","Heterosexual / straight","370","365","47410","41820"
"In post","2021","Asian","Cabinet Office","London","LGBO","15","15","[c]","[c]"
"In post","2021","Asian","Cabinet Office","London","Undeclared","20","20","[c]","[c]"
"In post","2021","Asian","Cabinet Office","London","Unknown","10","10","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Outside London","Heterosexual / straight","30","30","31230","32000"
"In post","2021","Asian","Cabinet Office","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Unknown","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","London","Heterosexual / straight","35","35","45650","37660"
"In post","2021","Asian","Chancellor's other departments","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","London","Undeclared","10","10","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Asian","Charity Commission","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","London","Heterosexual / straight","95","90","45060","36860"
"In post","2021","Asian","Competition and Markets Authority","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","London","Undeclared","5","5","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","London","Heterosexual / straight","420","410","43500","40050"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","London","LGBO","25","25","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","London","Undeclared","30","30","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","London","Unknown","25","25","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Outside London","Heterosexual / straight","160","155","31410","29920"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Outside London","Unknown","55","55","28850","26290"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","London","Heterosexual / straight","105","100","47370","42280"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","London","Undeclared","5","5","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","London","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education","London","Heterosexual / straight","230","225","43990","40780"
"In post","2021","Asian","Department for Education","London","LGBO","5","5","[c]","[c]"
"In post","2021","Asian","Department for Education","London","Undeclared","10","10","[c]","[c]"
"In post","2021","Asian","Department for Education","London","Unknown","20","20","[c]","[c]"
"In post","2021","Asian","Department for Education","Outside London","Heterosexual / straight","365","360","36330","33510"
"In post","2021","Asian","Department for Education","Outside London","LGBO","10","10","[c]","[c]"
"In post","2021","Asian","Department for Education","Outside London","Undeclared","15","15","[c]","[c]"
"In post","2021","Asian","Department for Education","Outside London","Unknown","50","50","41520","39930"
"In post","2021","Asian","Department for Education","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","London","Heterosexual / straight","165","160","40370","34910"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","London","LGBO","5","5","[c]","[c]"
