"Status","Year","Function_of_post","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Commercial","10","10","[c]","[c]"
"In post","2021","Analysis","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","240","230","42200","41990"
"In post","2021","Analysis","Economics","1280","1255","46460","39640"
"In post","2021","Analysis","Finance","45","45","46890","39870"
"In post","2021","Analysis","Human Resources","25","25","46720","43540"
"In post","2021","Analysis","Intelligence Analysis","285","280","52160","53360"
"In post","2021","Analysis","Knowledge and Information Management","50","50","37300","33020"
"In post","2021","Analysis","Operational Delivery","590","555","32370","30020"
"In post","2021","Analysis","Operational Research","665","635","44090","41580"
"In post","2021","Analysis","Other","220","205","64340","57250"
"In post","2021","Analysis","Policy","345","330","47530","45540"
"In post","2021","Analysis","Project Delivery","10","10","37920","37320"
"In post","2021","Analysis","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","670","635","35880","31070"
"In post","2021","Analysis","Social Research","875","830","41230","37020"
"In post","2021","Analysis","Statistics","1780","1720","43100","39050"
"In post","2021","Analysis","Tax","20","20","38130","37030"
"In post","2021","Analysis","Unknown","95","95","45030","41760"
"In post","2021","Commercial","Commercial","4090","3955","40480","37620"
"In post","2021","Commercial","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","70","65","33520","29730"
"In post","2021","Commercial","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","685","665","33530","30870"
"In post","2021","Commercial","Operational Delivery","410","395","42880","37360"
"In post","2021","Commercial","Other","65","65","44510","40900"
"In post","2021","Commercial","Policy","20","15","52690","55690"
"In post","2021","Commercial","Project Delivery","70","70","47400","43640"
"In post","2021","Commercial","Property","10","10","[c]","[c]"
"In post","2021","Commercial","Science and Engineering","110","110","40650","40740"
"In post","2021","Commercial","Tax","5","5","[c]","[c]"
