"Status","Year","Age","Ethnicity","Parent_department","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Asian","Attorney General's Departments","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Cabinet Office","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Chancellor's other departments","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Business, Energy and Industrial Strategy","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Business, Energy and Industrial Strategy","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Education","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Education","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Education","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Environment, Food and Rural Affairs","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Environment, Food and Rural Affairs","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for International Trade","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Transport","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Transport","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Transport","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Transport","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Work and Pensions","AO","15","15","[c]","[c]"
"In post","2021","16-19","Asian","Department for Work and Pensions","EO","5","5","[c]","[c]"
"In post","2021","16-19","Asian","Department of Health and Social Care","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department of Health and Social Care","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Foreign, Commonwealth and Development Office","AO","[c]","[c]","[c]","[c]"
