"Status","Year","Age","Region_london","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","London","AA/AO","Female","45","40","23130","22930"
"In post","2021","16-19","London","AA/AO","Male","20","20","[c]","[c]"
"In post","2021","16-19","London","EO","Female","40","40","26600","26460"
"In post","2021","16-19","London","EO","Male","45","40","26320","26250"
"In post","2021","16-19","London","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Outside London","AA/AO","Female","485","460","20770","20880"
"In post","2021","16-19","Outside London","AA/AO","Male","395","380","20490","20480"
"In post","2021","16-19","Outside London","EO","Female","85","85","23210","23190"
"In post","2021","16-19","Outside London","EO","Male","130","130","20750","19040"
"In post","2021","16-19","Outside London","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Outside London","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Outside London","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Outside London","Unknown","Female","10","10","[c]","[c]"
"In post","2021","16-19","Outside London","Unknown","Male","20","20","[c]","[c]"
"In post","2021","16-19","Unknown","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","Female","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","Male","30","30","19060","16200"
"In post","2021","20-29","London","AA/AO","Female","1515","1485","25320","24470"
"In post","2021","20-29","London","AA/AO","Male","1140","1135","26060","25110"
"In post","2021","20-29","London","EO","Female","3255","3220","29180","28810"
"In post","2021","20-29","London","EO","Male","2210","2195","29180","28810"
"In post","2021","20-29","London","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","London","G6/G7","Female","1765","1760","55130","53760"
"In post","2021","20-29","London","G6/G7","Male","1635","1635","55460","54650"
"In post","2021","20-29","London","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","London","SCS level","Female","15","15","[c]","[c]"
"In post","2021","20-29","London","SCS level","Male","20","20","[c]","[c]"
"In post","2021","20-29","London","SEO/HEO","Female","6180","6150","35560","34710"
"In post","2021","20-29","London","SEO/HEO","Male","4905","4890","35810","35050"
"In post","2021","20-29","London","SEO/HEO","Unknown","5","5","[c]","[c]"
"In post","2021","20-29","London","Unknown","Female","295","290","28840","26810"
"In post","2021","20-29","London","Unknown","Male","65","65","28810","26810"
"In post","2021","20-29","Outside London","AA/AO","Female","12265","11755","21760","21010"
"In post","2021","20-29","Outside London","AA/AO","Male","11490","11315","22510","21030"
"In post","2021","20-29","Outside London","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Outside London","EO","Female","8725","8570","26350","26470"
"In post","2021","20-29","Outside London","EO","Male","7295","7260","26210","26120"
"In post","2021","20-29","Outside London","EO","Unknown","5","5","[c]","[c]"
"In post","2021","20-29","Outside London","G6/G7","Female","475","475","51120","50400"
"In post","2021","20-29","Outside London","G6/G7","Male","415","415","51690","52580"
"In post","2021","20-29","Outside London","SCS level","Female","5","5","[c]","[c]"
"In post","2021","20-29","Outside London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Outside London","SEO/HEO","Female","5330","5280","32560","31810"
"In post","2021","20-29","Outside London","SEO/HEO","Male","4980","4965","32950","31810"
"In post","2021","20-29","Outside London","SEO/HEO","Unknown","10","10","[c]","[c]"
"In post","2021","20-29","Outside London","Unknown","Female","1660","1620","25090","22920"
"In post","2021","20-29","Outside London","Unknown","Male","560","555","26390","26080"
"In post","2021","20-29","Overseas","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Overseas","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Overseas","EO","Female","10","10","[c]","[c]"
"In post","2021","20-29","Overseas","EO","Male","10","10","[c]","[c]"
"In post","2021","20-29","Overseas","G6/G7","Female","25","25","[c]","[c]"
"In post","2021","20-29","Overseas","G6/G7","Male","15","15","[c]","[c]"
"In post","2021","20-29","Overseas","SEO/HEO","Female","115","115","35350","34100"
"In post","2021","20-29","Overseas","SEO/HEO","Male","110","110","36460","34220"
"In post","2021","20-29","Overseas","Unknown","Female","10","10","[c]","[c]"
"In post","2021","20-29","Overseas","Unknown","Male","10","10","[c]","[c]"
"In post","2021","20-29","Unknown","AA/AO","Female","25","25","[c]","[c]"
"In post","2021","20-29","Unknown","AA/AO","Male","25","25","[c]","[c]"
"In post","2021","20-29","Unknown","EO","Female","50","50","27410","27570"
"In post","2021","20-29","Unknown","EO","Male","45","45","27300","27570"
"In post","2021","20-29","Unknown","G6/G7","Female","10","10","[c]","[c]"
"In post","2021","20-29","Unknown","G6/G7","Male","10","10","[c]","[c]"
"In post","2021","20-29","Unknown","SEO/HEO","Female","200","200","31310","32000"
"In post","2021","20-29","Unknown","SEO/HEO","Male","150","150","30990","30550"
"In post","2021","20-29","Unknown","Unknown","Female","60","60","28000","28980"
"In post","2021","20-29","Unknown","Unknown","Male","315","315","29140","28980"
"In post","2021","30-39","London","AA/AO","Female","975","865","25490","25060"
"In post","2021","30-39","London","AA/AO","Male","980","965","27880","25630"
"In post","2021","30-39","London","EO","Female","2225","2070","29800","29570"
"In post","2021","30-39","London","EO","Male","1635","1625","30150","29570"
"In post","2021","30-39","London","G6/G7","Female","5005","4785","58790","57430"
"In post","2021","30-39","London","G6/G7","Male","4440","4405","59410","57680"
"In post","2021","30-39","London","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","London","SCS level","Female","475","450","78770","74840"
"In post","2021","30-39","London","SCS level","Male","460","455","79680","74840"
"In post","2021","30-39","London","SEO/HEO","Female","4150","4005","38530","38540"
"In post","2021","30-39","London","SEO/HEO","Male","3575","3555","38780","38600"
"In post","2021","30-39","London","SEO/HEO","Unknown","5","5","[c]","[c]"
"In post","2021","30-39","London","Unknown","Female","300","290","32620","34100"
"In post","2021","30-39","London","Unknown","Male","90","90","32530","32790"
"In post","2021","30-39","Outside London","AA/AO","Female","12720","10720","21670","21010"
"In post","2021","30-39","Outside London","AA/AO","Male","11115","10920","23380","21430"
"In post","2021","30-39","Outside London","EO","Female","11855","10725","26870","27570"
"In post","2021","30-39","Outside London","EO","Male","9770","9700","27240","27150"
"In post","2021","30-39","Outside London","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Outside London","G6/G7","Female","3285","3110","54100","52580"
"In post","2021","30-39","Outside London","G6/G7","Male","3270","3245","54400","52580"
"In post","2021","30-39","Outside London","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Outside London","SCS level","Female","100","90","79630","75000"
"In post","2021","30-39","Outside London","SCS level","Male","95","95","78100","75110"
"In post","2021","30-39","Outside London","SEO/HEO","Female","11560","10875","35230","33620"
"In post","2021","30-39","Outside London","SEO/HEO","Male","10480","10415","35490","34080"
"In post","2021","30-39","Outside London","SEO/HEO","Unknown","10","10","[c]","[c]"
"In post","2021","30-39","Outside London","Unknown","Female","2175","1960","29450","30210"
"In post","2021","30-39","Outside London","Unknown","Male","810","800","33320","31420"
"In post","2021","30-39","Overseas","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Overseas","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Overseas","EO","Female","20","20","[c]","[c]"
"In post","2021","30-39","Overseas","EO","Male","30","30","27410","26670"
"In post","2021","30-39","Overseas","G6/G7","Female","205","200","56710","55460"
"In post","2021","30-39","Overseas","G6/G7","Male","265","265","56550","55060"
