"Status","Year","Disability","Parent_department","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Attorney General's Departments","Bedfordshire and Hertfordshire","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Cornwall and Isles of Scilly","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Cumbria","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Derbyshire and Nottinghamshire","35","30","38490","32290"
"In post","2021","Declared disabled","Attorney General's Departments","Devon","15","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","East Anglia","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","East Wales","30","30","42030","48080"
"In post","2021","Declared disabled","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Essex","25","25","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","15","15","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Greater Manchester","35","35","42740","48830"
"In post","2021","Declared disabled","Attorney General's Departments","Hampshire and Isle of Wight","20","20","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Inner London - West","360","340","50180","51250"
"In post","2021","Declared disabled","Attorney General's Departments","Kent","15","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Lancashire","20","20","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Leicestershire, Rutland and Northamptonshire","20","20","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Merseyside","45","40","39210","34480"
"In post","2021","Declared disabled","Attorney General's Departments","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","North Yorkshire","40","40","48340","53420"
