"Status","Year","Organisation","Responsibility_level_grouped","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","AA/AO","AA","Female","20","15","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","AA/AO","AA","Male","10","10","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","EO","EO","Female","30","25","28840","29190"
"In post","2021","Accountant in Bankruptcy","EO","EO","Male","10","10","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","G6/G7","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","G6/G7","G6","Male","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","G6/G7","G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","G6/G7","G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","SEO/HEO","HEO","Female","15","15","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","SEO/HEO","HEO","Male","5","5","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","SEO/HEO","SEO","Female","5","5","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","SEO/HEO","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","AA/AO","AO","Female","40","35","21190","21000"
"In post","2021","Advisory, Conciliation and Arbitration Service","AA/AO","AO","Male","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","EO","EO","Female","215","195","25100","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","EO","EO","Male","140","140","25000","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","G6/G7","G6","Female","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","G6/G7","G6","Male","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","G6/G7","G7","Female","25","25","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","G6/G7","G7","Male","20","20","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SCS level","SCS level","Male","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","HEO","Female","265","240","33220","31640"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","HEO","Male","170","160","33470","34270"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","SEO","Female","75","70","42550","43020"
"In post","2021","Advisory, Conciliation and Arbitration Service","SEO/HEO","SEO","Male","85","80","43460","43440"
"In post","2021","Animal and Plant Health Agency","AA/AO","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","AA/AO","AA","Male","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","AA/AO","AO","Female","550","500","21830","21050"
"In post","2021","Animal and Plant Health Agency","AA/AO","AO","Male","250","245","22050","21050"
"In post","2021","Animal and Plant Health Agency","EO","EO","Female","455","425","26380","25380"
"In post","2021","Animal and Plant Health Agency","EO","EO","Male","315","305","26820","26440"
"In post","2021","Animal and Plant Health Agency","G6/G7","G6","Female","25","25","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","G6/G7","G6","Male","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","G6/G7","G7","Female","75","75","51530","52290"
"In post","2021","Animal and Plant Health Agency","G6/G7","G7","Male","75","75","53530","53870"
"In post","2021","Animal and Plant Health Agency","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","SEO/HEO","HEO","Female","225","210","31340","30740"
"In post","2021","Animal and Plant Health Agency","SEO/HEO","HEO","Male","180","175","31880","31900"
"In post","2021","Animal and Plant Health Agency","SEO/HEO","SEO","Female","265","245","39710","37690"
"In post","2021","Animal and Plant Health Agency","SEO/HEO","SEO","Male","210","205","40320","38390"
"In post","2021","Attorney General's Office","EO","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","EO","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","G6/G7","G6","Female","5","5","[c]","[c]"
"In post","2021","Attorney General's Office","G6/G7","G6","Male","5","5","[c]","[c]"
"In post","2021","Attorney General's Office","G6/G7","G7","Female","5","5","[c]","[c]"
"In post","2021","Attorney General's Office","G6/G7","G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
