"Status","Year","Function_of_post","Parent_department","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Attorney General's Departments","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Outside London","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","London","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","London","G6/G7","10","10","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","London","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","London","AA/AO","10","10","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","London","EO","10","10","28660","28230"
"In post","2021","Analysis","Chancellor's other departments","London","G6/G7","100","90","87710","82910"
"In post","2021","Analysis","Chancellor's other departments","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","London","SEO/HEO","55","55","41480","41210"
"In post","2021","Analysis","Chancellor's other departments","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2021","Analysis","Charity Commission","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Outside London","SEO/HEO","10","5","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","London","G6/G7","75","75","65410","61530"
"In post","2021","Analysis","Competition and Markets Authority","London","SCS level","10","10","109610","101590"
"In post","2021","Analysis","Competition and Markets Authority","London","SEO/HEO","40","40","37870","34720"
"In post","2021","Analysis","Competition and Markets Authority","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","London","AA/AO","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","London","EO","30","30","29180","27680"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","London","G6/G7","80","75","62540","58000"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","London","SCS level","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","London","SEO/HEO","175","170","37350","35640"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Outside London","G6/G7","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Outside London","SEO/HEO","15","15","37690","39310"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","London","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","London","G6/G7","65","65","63180","60130"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","London","SEO/HEO","65","65","42770","42020"
"In post","2021","Analysis","Department for Education","London","EO","15","10","31550","29500"
"In post","2021","Analysis","Department for Education","London","G6/G7","60","55","57730","54400"
"In post","2021","Analysis","Department for Education","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","London","SEO/HEO","105","100","41690","45250"
"In post","2021","Analysis","Department for Education","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","Outside London","EO","20","20","26790","25000"
"In post","2021","Analysis","Department for Education","Outside London","G6/G7","75","70","53630","50630"
"In post","2021","Analysis","Department for Education","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","Outside London","SEO/HEO","135","130","38830","41990"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","London","G6/G7","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","London","SEO/HEO","10","10","35800","33350"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Outside London","AA/AO","50","45","20790","21050"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Outside London","EO","115","110","25140","24920"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Outside London","G6/G7","105","100","51830","48080"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Outside London","SEO/HEO","300","285","32800","30230"
"In post","2021","Analysis","Department for International Trade","London","AA/AO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","London","EO","20","20","27210","26510"
"In post","2021","Analysis","Department for International Trade","London","G6/G7","95","95","54030","51970"
"In post","2021","Analysis","Department for International Trade","London","SCS level","10","5","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","London","SEO/HEO","100","100","33190","31800"
"In post","2021","Analysis","Department for International Trade","Outside London","G6/G7","10","10","54610","51970"
"In post","2021","Analysis","Department for International Trade","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Transport","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","London","EO","35","35","29370","29970"
"In post","2021","Analysis","Department for Transport","London","G6/G7","165","155","58130","54760"
"In post","2021","Analysis","Department for Transport","London","SCS level","15","15","81090","77960"
"In post","2021","Analysis","Department for Transport","London","SEO/HEO","165","160","36960","35060"
"In post","2021","Analysis","Department for Transport","Outside London","AA/AO","20","15","21590","21590"
"In post","2021","Analysis","Department for Transport","Outside London","EO","30","30","26580","26740"
"In post","2021","Analysis","Department for Transport","Outside London","G6/G7","10","5","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Outside London","SEO/HEO","50","50","34790","33350"
"In post","2021","Analysis","Department for Work and Pensions","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","Outside London","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","Outside London","G6/G7","15","15","60190","59150"
"In post","2021","Analysis","Department for Work and Pensions","Outside London","SEO/HEO","15","15","37730","37650"
"In post","2021","Analysis","Department of Health and Social Care","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","London","EO","10","10","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","London","G6/G7","160","155","58560","54700"
"In post","2021","Analysis","Department of Health and Social Care","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","London","SEO/HEO","30","25","36450","33100"
"In post","2021","Analysis","Department of Health and Social Care","Outside London","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","Outside London","G6/G7","60","55","53780","51420"
"In post","2021","Analysis","Department of Health and Social Care","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","Outside London","SEO/HEO","20","20","32780","32790"
"In post","2021","Analysis","ESTYN","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","London","G6/G7","10","10","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","London","SEO/HEO","20","15","37070","35450"
"In post","2021","Analysis","Food Standards Agency","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","London","AA/AO","5","5","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","London","G6/G7","35","35","67000","65590"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","London","SEO/HEO","25","25","49990","48880"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","London","AA/AO","10","10","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","London","EO","20","20","29950","29570"
"In post","2021","Analysis","HM Revenue and Customs","London","G6/G7","145","140","61000","59160"
"In post","2021","Analysis","HM Revenue and Customs","London","SCS level","15","15","82030","80150"
"In post","2021","Analysis","HM Revenue and Customs","London","SEO/HEO","190","185","38330","36160"
"In post","2021","Analysis","HM Revenue and Customs","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Outside London","EO","15","15","26110","25560"
"In post","2021","Analysis","HM Revenue and Customs","Outside London","G6/G7","100","95","52170","52580"
"In post","2021","Analysis","HM Revenue and Customs","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Outside London","SEO/HEO","190","185","34720","31810"
"In post","2021","Analysis","HM Treasury","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury","London","EO","5","5","[c]","[c]"
"In post","2021","Analysis","HM Treasury","London","G6/G7","80","80","61530","57990"
"In post","2021","Analysis","HM Treasury","London","SCS level","15","15","92860","76270"
"In post","2021","Analysis","HM Treasury","London","SEO/HEO","50","50","35480","33710"
"In post","2021","Analysis","HM Treasury","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","London","EO","15","15","29100","27200"
"In post","2021","Analysis","Ministry of Defence","London","G6/G7","10","10","64290","62730"
"In post","2021","Analysis","Ministry of Defence","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","London","SEO/HEO","55","55","42400","40640"
"In post","2021","Analysis","Ministry of Defence","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","Outside London","EO","35","35","27690","27850"
"In post","2021","Analysis","Ministry of Defence","Outside London","G6/G7","215","205","49870","46130"
"In post","2021","Analysis","Ministry of Defence","Outside London","SEO/HEO","310","300","34600","37320"
"In post","2021","Analysis","Ministry of Defence","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","London","EO","15","15","29640","27850"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","London","G6/G7","90","85","58300","54750"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","London","SCS level","5","5","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","London","SEO/HEO","75","75","35510","34000"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","Outside London","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice","London","EO","35","35","27820","27940"
"In post","2021","Analysis","Ministry of Justice","London","G6/G7","130","120","60860","58130"
"In post","2021","Analysis","Ministry of Justice","London","SCS level","10","10","84050","83690"
"In post","2021","Analysis","Ministry of Justice","London","SEO/HEO","185","180","38400","40480"
"In post","2021","Analysis","Ministry of Justice","Outside London","EO","15","15","21890","21170"
"In post","2021","Analysis","Ministry of Justice","Outside London","G6/G7","10","10","53310","48740"
"In post","2021","Analysis","Ministry of Justice","Outside London","SEO/HEO","25","25","35410","34250"
"In post","2021","Analysis","Office for Standards in Education","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education","London","G6/G7","10","10","65600","62810"
"In post","2021","Analysis","Office for Standards in Education","London","SEO/HEO","25","25","38360","35010"
"In post","2021","Analysis","Office for Standards in Education","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education","Outside London","EO","20","15","25790","25880"
"In post","2021","Analysis","Office for Standards in Education","Outside London","G6/G7","15","15","63380","59810"
"In post","2021","Analysis","Office for Standards in Education","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education","Outside London","SEO/HEO","80","75","35150","32010"
"In post","2021","Analysis","Office of Gas and Electricity Markets","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","London","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","London","G6/G7","35","35","59290","56130"
"In post","2021","Analysis","Office of Gas and Electricity Markets","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","London","SEO/HEO","10","10","36930","36690"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","London","G6/G7","15","15","63070","59770"
"In post","2021","Analysis","Office of Rail and Road","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","London","SEO/HEO","10","10","40060","43090"
"In post","2021","Analysis","Office of Rail and Road","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","Outside London","G6/G7","10","10","59340","59210"
"In post","2021","Analysis","Office of Rail and Road","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Scottish Government","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scottish Government","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scottish Government","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scottish Government","Outside London","SEO/HEO","20","20","40700","39720"
"In post","2021","Analysis","UK Export Finance","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","UK Export Finance","London","G6/G7","5","5","[c]","[c]"
"In post","2021","Analysis","UK Export Finance","London","SEO/HEO","15","15","37810","34850"
"In post","2021","Analysis","United Kingdom Statistics Authority","London","AA/AO","5","5","[c]","[c]"
"In post","2021","Analysis","United Kingdom Statistics Authority","London","EO","10","10","[c]","[c]"
"In post","2021","Analysis","United Kingdom Statistics Authority","London","G6/G7","40","40","56230","53140"
"In post","2021","Analysis","United Kingdom Statistics Authority","London","SCS level","10","10","95870","78850"
"In post","2021","Analysis","United Kingdom Statistics Authority","London","SEO/HEO","160","155","34380","32540"
"In post","2021","Analysis","United Kingdom Statistics Authority","Outside London","AA/AO","60","55","19220","19130"
"In post","2021","Analysis","United Kingdom Statistics Authority","Outside London","EO","185","165","24040","23050"
"In post","2021","Analysis","United Kingdom Statistics Authority","Outside London","G6/G7","310","300","52250","50090"
"In post","2021","Analysis","United Kingdom Statistics Authority","Outside London","SCS level","25","25","81850","72670"
"In post","2021","Analysis","United Kingdom Statistics Authority","Outside London","SEO/HEO","895","860","33460","32730"
"In post","2021","Analysis","Wales Office","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","London","G6/G7","10","10","84940","82920"
"In post","2021","Analysis","Water Services Regulation Authority","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","London","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","Outside London","SEO/HEO","10","10","49290","49260"
"In post","2021","Analysis","Welsh Government","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Welsh Government","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Welsh Government","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","London","SEO/HEO","[c]","[c]","[c]","[c]"
