"Status","Year","Function_of_post","Region_ITL1","Region_ITL2","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","East Midlands (England)","Derbyshire and Nottinghamshire","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Derbyshire and Nottinghamshire","EO","10","10","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Derbyshire and Nottinghamshire","G7","5","5","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Derbyshire and Nottinghamshire","HEO","15","15","32790","32870"
"In post","2021","Analysis","East Midlands (England)","Derbyshire and Nottinghamshire","SEO","15","15","42080","42550"
"In post","2021","Analysis","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Lincolnshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Lincolnshire","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Lincolnshire","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Bedfordshire and Hertfordshire","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","East Anglia","AA","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","East Anglia","AO","25","25","21210","21050"
"In post","2021","Analysis","East of England","East Anglia","EO","55","50","25040","24920"
"In post","2021","Analysis","East of England","East Anglia","G6","15","15","60770","57390"
"In post","2021","Analysis","East of England","East Anglia","G7","55","55","49090","48080"
"In post","2021","Analysis","East of England","East Anglia","HEO","110","105","29790","29270"
"In post","2021","Analysis","East of England","East Anglia","SEO","90","85","37190","36580"
"In post","2021","Analysis","East of England","Essex","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Essex","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Essex","G7","5","5","[c]","[c]"
"In post","2021","Analysis","East of England","Essex","HEO","10","10","[c]","[c]"
"In post","2021","Analysis","East of England","Essex","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Essex","SEO","5","5","[c]","[c]"
"In post","2021","Analysis","London","Inner London - East","AO","5","5","[c]","[c]"
"In post","2021","Analysis","London","Inner London - East","EO","50","50","27990","28100"
"In post","2021","Analysis","London","Inner London - East","G6","50","50","74860","75140"
"In post","2021","Analysis","London","Inner London - East","G7","250","235","59450","58860"
"In post","2021","Analysis","London","Inner London - East","HEO","155","155","34750","34570"
"In post","2021","Analysis","London","Inner London - East","SCS level","35","30","96630","93190"
"In post","2021","Analysis","London","Inner London - East","SEO","140","140","42360","41760"
"In post","2021","Analysis","London","Inner London - West","AA","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","Inner London - West","AO","50","50","24470","24900"
"In post","2021","Analysis","London","Inner London - West","EO","210","205","28980","28880"
"In post","2021","Analysis","London","Inner London - West","G6","355","335","74880","69240"
"In post","2021","Analysis","London","Inner London - West","G7","765","740","56230","54870"
"In post","2021","Analysis","London","Inner London - West","HEO","870","860","35010","34090"
"In post","2021","Analysis","London","Inner London - West","SCS level","80","80","89820","78840"
"In post","2021","Analysis","London","Inner London - West","SEO","385","370","44010","43360"
"In post","2021","Analysis","London","Inner London - West","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","Outer London - South","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","Outer London - South","G6","5","5","[c]","[c]"
"In post","2021","Analysis","London","Outer London - South","G7","5","5","[c]","[c]"
"In post","2021","Analysis","London","Outer London - South","HEO","10","10","35780","36160"
"In post","2021","Analysis","London","Outer London - South","SCS level","[c]","[c]","[c]","[c]"
