"Status","Year","Profession_of_post","Region_ITL1","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","East Midlands (England)","Derby","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Leicester","15","15","38790","33840"
"In post","2021","Commercial","East Midlands (England)","Leicestershire CC and Rutland","20","15","42990","44010"
"In post","2021","Commercial","East Midlands (England)","Lincolnshire","20","20","42650","39040"
"In post","2021","Commercial","East Midlands (England)","North Nottinghamshire","5","5","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Nottingham","40","40","41330","41100"
"In post","2021","Commercial","East Midlands (England)","South and West Derbyshire","20","20","52480","53400"
"In post","2021","Commercial","East Midlands (England)","South Nottinghamshire","5","5","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","Cambridgeshire CC","55","55","36180","34800"
"In post","2021","Commercial","East of England","Central Bedfordshire","5","5","[c]","[c]"
"In post","2021","Commercial","East of England","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","Hertfordshire","10","10","46300","40890"
"In post","2021","Commercial","East of England","Luton","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","North and West Norfolk","10","10","[c]","[c]"
"In post","2021","Commercial","East of England","Norwich and East Norfolk","90","90","35650","34800"
"In post","2021","Commercial","East of England","Peterborough","40","35","40690","36970"
"In post","2021","Commercial","East of England","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","Suffolk","25","25","45450","44760"
"In post","2021","Commercial","London","Barnet","15","15","44730","40470"
"In post","2021","Commercial","London","Bexley and Greenwich","10","10","[c]","[c]"
"In post","2021","Commercial","London","Camden and City of London","[c]","[c]","[c]","[c]"
