"Status","Year","Age","Profession_of_post","Region_ITL1","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Digital, Data and Technology","South West (England)","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","South West (England)","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Wales","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","West Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","West Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","16-19","Economics","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","London","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","Economics","North West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","Wales","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","East Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","East of England","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","North West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Scotland","Unknown","10","5","[c]","[c]"
"In post","2021","16-19","Finance","South East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","South West (England)","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","16-19","Finance","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Wales","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Yorkshire and The Humber","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Yorkshire and The Humber","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","East Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Human Resources","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","North West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","South East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","South East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","South West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Wales","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","International Trade","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","International Trade","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Knowledge and Information Management","Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Knowledge and Information Management","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Knowledge and Information Management","South West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Knowledge and Information Management","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Knowledge and Information Management","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","East Midlands (England)","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","16-19","Operational Delivery","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","East Midlands (England)","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","Operational Delivery","East of England","Heterosexual / straight","25","20","[c]","[c]"
"In post","2021","16-19","Operational Delivery","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","East of England","Unknown","15","15","[c]","[c]"
"In post","2021","16-19","Operational Delivery","London","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","16-19","Operational Delivery","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","London","Unknown","15","15","[c]","[c]"
"In post","2021","16-19","Operational Delivery","North East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","North West (England)","Heterosexual / straight","35","30","20840","21050"
"In post","2021","16-19","Operational Delivery","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","North West (England)","Unknown","15","15","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Northern Ireland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Northern Ireland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Scotland","Heterosexual / straight","10","5","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Scotland","Undeclared","5","5","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Scotland","Unknown","15","15","[c]","[c]"
"In post","2021","16-19","Operational Delivery","South East (England)","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","16-19","Operational Delivery","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","South East (England)","Undeclared","5","5","[c]","[c]"
"In post","2021","16-19","Operational Delivery","South East (England)","Unknown","40","40","22040","21430"
"In post","2021","16-19","Operational Delivery","South West (England)","Heterosexual / straight","15","10","[c]","[c]"
"In post","2021","16-19","Operational Delivery","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","South West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Wales","Heterosexual / straight","40","35","20480","20550"
"In post","2021","16-19","Operational Delivery","Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Wales","Unknown","35","30","19700","19850"
"In post","2021","16-19","Operational Delivery","West Midlands (England)","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","16-19","Operational Delivery","West Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","West Midlands (England)","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Yorkshire and The Humber","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Yorkshire and The Humber","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Yorkshire and The Humber","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Yorkshire and The Humber","Unknown","15","15","[c]","[c]"
"In post","2021","16-19","Operational Research","South East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Research","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Research","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","East Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","East of England","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Other","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","London","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Other","Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","South East (England)","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Other","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","South West (England)","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Other","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","South West (England)","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","Other","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","Unknown","Unknown","35","35","18640","15940"
"In post","2021","16-19","Other","West Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","West Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","Yorkshire and The Humber","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","Yorkshire and The Humber","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","East of England","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","London","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","16-19","Policy","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","North East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","North West (England)","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Policy","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","South West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","West Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","West Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","Yorkshire and The Humber","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","Yorkshire and The Humber","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","East of England","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","North West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","South East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","South West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","East Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","East of England","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","North East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","North West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","South East (England)","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Property","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","South East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Yorkshire and The Humber","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Yorkshire and The Humber","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Science and Engineering","East of England","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Science and Engineering","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Science and Engineering","East of England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Science and Engineering","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Science and Engineering","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Science and Engineering","Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Science and Engineering","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Science and Engineering","Scotland","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","Science and Engineering","South East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Science and Engineering","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Science and Engineering","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Science and Engineering","South West (England)","Heterosexual / straight","50","50","18200","17780"
"In post","2021","16-19","Science and Engineering","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Science and Engineering","South West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Science and Engineering","South West (England)","Unknown","30","30","16810","16780"
"In post","2021","16-19","Science and Engineering","Wales","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Science and Engineering","Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Science and Engineering","Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Science and Engineering","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Science and Engineering","West Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Science and Engineering","West Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Science and Engineering","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","East of England","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","North West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","South East (England)","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Security","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","South West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Statistics","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Statistics","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Statistics","South East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Statistics","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tax","East Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tax","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tax","East Midlands (England)","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Tax","North East (England)","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Tax","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tax","North East (England)","Unknown","25","25","[c]","[c]"
"In post","2021","16-19","Tax","North West (England)","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Tax","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tax","North West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tax","North West (England)","Unknown","25","20","[c]","[c]"
"In post","2021","16-19","Tax","Northern Ireland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tax","Northern Ireland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tax","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tax","Scotland","Heterosexual / straight","15","10","[c]","[c]"
"In post","2021","16-19","Tax","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tax","Scotland","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","Tax","South East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tax","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tax","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tax","Wales","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tax","Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tax","Wales","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","Tax","West Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tax","West Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tax","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tax","Yorkshire and The Humber","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Tax","Yorkshire and The Humber","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tax","Yorkshire and The Humber","Unknown","15","15","[c]","[c]"
"In post","2021","16-19","Unknown","East Midlands (England)","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","East of England","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","East of England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","16-19","Unknown","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","London","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","North East (England)","Heterosexual / straight","35","35","21350","21010"
"In post","2021","16-19","Unknown","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","North East (England)","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","North West (England)","Heterosexual / straight","30","30","21010","21010"
"In post","2021","16-19","Unknown","North West (England)","LGBO","[c]","[c]","[c]","[c]"
