"Status","Year","Function_of_post","Parent_department","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Yorkshire and The Humber","10","10","38680","35880"
"In post","2021","Analysis","Cabinet Office","London","25","25","41860","35070"
"In post","2021","Analysis","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","London","175","165","67420","60780"
"In post","2021","Analysis","Chancellor's other departments","Scotland","5","5","[c]","[c]"
"In post","2021","Analysis","Charity Commission","London","5","5","[c]","[c]"
"In post","2021","Analysis","Charity Commission","North West (England)","5","5","[c]","[c]"
"In post","2021","Analysis","Charity Commission","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","London","130","125","60780","56360"
"In post","2021","Analysis","Competition and Markets Authority","Scotland","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","London","295","295","43770","37550"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","North West (England)","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","South West (England)","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Wales","15","15","49150","55600"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","West Midlands (England)","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","London","140","140","52490","49720"
"In post","2021","Analysis","Department for Education","East Midlands (England)","10","10","42290","42500"
"In post","2021","Analysis","Department for Education","London","180","170","46760","45540"
"In post","2021","Analysis","Department for Education","North East (England)","30","30","43530","42580"
"In post","2021","Analysis","Department for Education","North West (England)","40","40","37840","41990"
"In post","2021","Analysis","Department for Education","South West (England)","20","15","41410","41990"
"In post","2021","Analysis","Department for Education","West Midlands (England)","10","10","41650","40130"
"In post","2021","Analysis","Department for Education","Yorkshire and The Humber","125","115","44050","42420"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","East of England","350","330","34300","30220"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","London","20","20","45530","40060"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","North East (England)","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","North West (England)","15","15","30780","29430"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","South West (England)","135","130","32750","29270"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Yorkshire and The Humber","55","55","33760","30220"
"In post","2021","Analysis","Department for International Trade","London","230","230","42740","38540"
"In post","2021","Analysis","Department for International Trade","South East (England)","15","15","49050","51970"
"In post","2021","Analysis","Department for International Trade","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","East Midlands (England)","15","15","32450","33350"
"In post","2021","Analysis","Department for Transport","London","380","370","46920","43360"
"In post","2021","Analysis","Department for Transport","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","South East (England)","15","15","41830","40080"
"In post","2021","Analysis","Department for Transport","South West (England)","20","20","33520","31380"
"In post","2021","Analysis","Department for Transport","Wales","30","30","28330","26780"
"In post","2021","Analysis","Department for Transport","West Midlands (England)","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Yorkshire and The Humber","10","10","25320","21590"
"In post","2021","Analysis","Department for Work and Pensions","East Midlands (England)","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","North West (England)","25","25","41550","39390"
"In post","2021","Analysis","Department for Work and Pensions","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","London","200","190","53940","53360"
"In post","2021","Analysis","Department of Health and Social Care","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","Yorkshire and The Humber","85","85","47560","49530"
"In post","2021","Analysis","ESTYN","Wales","5","5","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","London","30","25","43150","40650"
"In post","2021","Analysis","Food Standards Agency","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","London","65","65","57940","58370"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","London","5","5","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","East of England","25","25","43980","38630"
