"Status","Year","Function_of_post","Parent_department","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","HM Revenue and Customs","London","375","365","47750","41760"
"In post","2021","Analysis","HM Revenue and Customs","North East (England)","15","15","45550","51000"
"In post","2021","Analysis","HM Revenue and Customs","North West (England)","245","235","39040","38630"
"In post","2021","Analysis","HM Revenue and Customs","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","South East (England)","5","5","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2021","Analysis","HM Treasury","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury","London","150","150","53930","52840"
"In post","2021","Analysis","HM Treasury","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","East Midlands (England)","5","5","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","London","85","85","43990","40640"
"In post","2021","Analysis","Ministry of Defence","South East (England)","385","370","40430","37360"
"In post","2021","Analysis","Ministry of Defence","South West (England)","170","165","38420","37320"
"In post","2021","Analysis","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","London","190","190","46840","46510"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","South West (England)","10","10","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice","London","360","350","46630","41040"
"In post","2021","Analysis","Ministry of Justice","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice","North West (England)","5","5","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice","Yorkshire and The Humber","35","35","32360","30430"
"In post","2021","Analysis","Office for Standards in Education","East Midlands (England)","10","10","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education","London","35","35","45600","42850"
"In post","2021","Analysis","Office for Standards in Education","North West (England)","10","10","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education","South West (England)","90","85","39150","32010"
"In post","2021","Analysis","Office for Standards in Education","West Midlands (England)","5","5","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","London","55","55","54980","52000"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Scotland","10","10","54880","63750"
"In post","2021","Analysis","Office of Rail and Road","London","30","30","53850","55430"
"In post","2021","Analysis","Office of Rail and Road","North West (England)","5","5","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2021","Analysis","Scottish Government","Scotland","25","25","38470","36780"
"In post","2021","Analysis","UK Export Finance","London","25","25","44760","38200"
"In post","2021","Analysis","United Kingdom Statistics Authority","London","225","225","40680","32540"
"In post","2021","Analysis","United Kingdom Statistics Authority","Scotland","10","10","44440","45040"
"In post","2021","Analysis","United Kingdom Statistics Authority","South East (England)","440","420","37170","36030"
"In post","2021","Analysis","United Kingdom Statistics Authority","Wales","1025","975","36210","36030"
"In post","2021","Analysis","Wales Office","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","London","20","20","71600","71740"
"In post","2021","Analysis","Water Services Regulation Authority","West Midlands (England)","15","15","53360","49810"
"In post","2021","Analysis","Welsh Government","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","London","10","10","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Attorney General's Departments","Yorkshire and The Humber","10","10","41500","38180"
"In post","2021","Commercial","Cabinet Office","East Midlands (England)","10","10","[c]","[c]"
"In post","2021","Commercial","Cabinet Office","East of England","70","65","57360","54800"
"In post","2021","Commercial","Cabinet Office","London","770","755","75440","67440"
"In post","2021","Commercial","Cabinet Office","North East (England)","25","25","63860","65510"
"In post","2021","Commercial","Cabinet Office","North West (England)","190","190","61760","55870"
"In post","2021","Commercial","Cabinet Office","Scotland","35","35","65210","62130"
"In post","2021","Commercial","Cabinet Office","South East (England)","65","65","67440","65640"
"In post","2021","Commercial","Cabinet Office","South West (England)","85","85","73540","64500"
"In post","2021","Commercial","Cabinet Office","Unknown","15","15","62420","54700"
"In post","2021","Commercial","Cabinet Office","Wales","15","15","56250","52620"
"In post","2021","Commercial","Cabinet Office","West Midlands (England)","30","30","78970","64880"
"In post","2021","Commercial","Cabinet Office","Yorkshire and The Humber","110","105","64390","62210"
"In post","2021","Commercial","Chancellor's other departments","London","10","10","56690","47940"
"In post","2021","Commercial","Chancellor's other departments","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","North West (England)","5","5","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","London","10","10","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","London","25","25","45140","44480"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","North West (England)","5","5","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Scotland","5","5","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","South West (England)","180","170","43100","40140"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","Wales","20","20","42460","41920"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy","West Midlands (England)","10","10","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","London","25","25","53430","51730"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education","East Midlands (England)","10","10","48620","49860"
"In post","2021","Commercial","Department for Education","London","15","15","51680","53950"
"In post","2021","Commercial","Department for Education","North East (England)","30","30","41220","37550"
"In post","2021","Commercial","Department for Education","North West (England)","60","60","38230","36780"
"In post","2021","Commercial","Department for Education","West Midlands (England)","35","30","39780","38280"
"In post","2021","Commercial","Department for Education","Yorkshire and The Humber","55","55","38800","38000"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","East Midlands (England)","20","15","26360","24920"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","East of England","25","25","40740","37280"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","London","20","20","39850","40200"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","North West (England)","10","10","35920","35900"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","South East (England)","40","35","35500","33230"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","South West (England)","40","40","41640","37240"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","Wales","5","5","[c]","[c]"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","West Midlands (England)","20","20","36500","36910"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs","Yorkshire and The Humber","20","20","38620","37240"
"In post","2021","Commercial","Department for International Trade","London","25","25","37120","38160"
"In post","2021","Commercial","Department for Transport","East Midlands (England)","15","10","32590","31040"
"In post","2021","Commercial","Department for Transport","London","5","5","[c]","[c]"
"In post","2021","Commercial","Department for Transport","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport","South West (England)","20","20","37310","35200"
"In post","2021","Commercial","Department for Transport","Wales","160","150","33080","31040"
"In post","2021","Commercial","Department for Work and Pensions","East Midlands (England)","20","20","45420","45870"
"In post","2021","Commercial","Department for Work and Pensions","North West (England)","25","20","35660","31710"
"In post","2021","Commercial","Department for Work and Pensions","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Work and Pensions","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care","London","130","125","53670","45010"
"In post","2021","Commercial","Department of Health and Social Care","North West (England)","10","10","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care","South East (England)","5","5","[c]","[c]"
"In post","2021","Commercial","Department of Health and Social Care","South West (England)","10","10","30950","23870"
"In post","2021","Commercial","Department of Health and Social Care","Yorkshire and The Humber","85","85","41630","36820"
"In post","2021","Commercial","ESTYN","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Food Standards Agency","Yorkshire and The Humber","10","10","38840","34720"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","London","15","15","67600","64860"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","Scotland","75","75","38960","39630"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office","South East (England)","95","95","39830","33990"
"In post","2021","Commercial","HM Land Registry","East Midlands (England)","5","5","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Land Registry","South West (England)","10","10","38760","38550"
"In post","2021","Commercial","HM Revenue and Customs","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Revenue and Customs","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Revenue and Customs","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Revenue and Customs","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Revenue and Customs","North West (England)","105","100","35680","31810"
"In post","2021","Commercial","HM Revenue and Customs","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Revenue and Customs","West Midlands (England)","30","30","38710","38630"
"In post","2021","Commercial","HM Treasury","London","15","15","56100","39430"
"In post","2021","Commercial","HM Treasury","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HM Treasury","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","East Midlands (England)","15","15","27740","26670"
"In post","2021","Commercial","Ministry of Defence","East of England","140","140","34700","33300"
"In post","2021","Commercial","Ministry of Defence","London","160","155","38400","34640"
"In post","2021","Commercial","Ministry of Defence","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","North West (England)","60","55","31720","26670"
"In post","2021","Commercial","Ministry of Defence","Northern Ireland","5","5","[c]","[c]"
"In post","2021","Commercial","Ministry of Defence","Overseas","40","40","47380","42130"
"In post","2021","Commercial","Ministry of Defence","Scotland","165","160","34780","33300"
"In post","2021","Commercial","Ministry of Defence","South East (England)","390","380","32870","33300"
"In post","2021","Commercial","Ministry of Defence","South West (England)","950","915","39380","36460"
"In post","2021","Commercial","Ministry of Defence","Unknown","15","15","35740","34500"
"In post","2021","Commercial","Ministry of Defence","Wales","40","35","30070","28750"
"In post","2021","Commercial","Ministry of Defence","West Midlands (England)","80","75","33520","33300"
"In post","2021","Commercial","Ministry of Defence","Yorkshire and The Humber","20","15","31610","31110"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government","London","15","15","42230","41330"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government","South West (England)","5","5","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","East Midlands (England)","70","65","42150","38510"
"In post","2021","Commercial","Ministry of Justice","East of England","65","65","47170","45830"
"In post","2021","Commercial","Ministry of Justice","London","360","350","46950","43930"
"In post","2021","Commercial","Ministry of Justice","North East (England)","45","45","43090","41100"
"In post","2021","Commercial","Ministry of Justice","North West (England)","100","95","46210","42630"
"In post","2021","Commercial","Ministry of Justice","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Ministry of Justice","South East (England)","65","60","46000","46550"
"In post","2021","Commercial","Ministry of Justice","South West (England)","50","45","49250","48370"
"In post","2021","Commercial","Ministry of Justice","Wales","30","30","44370","42630"
"In post","2021","Commercial","Ministry of Justice","West Midlands (England)","125","125","36420","31180"
"In post","2021","Commercial","Ministry of Justice","Yorkshire and The Humber","140","135","39980","37000"
"In post","2021","Commercial","National Crime Agency","London","10","10","[c]","[c]"
"In post","2021","Commercial","National Crime Agency","North West (England)","5","5","[c]","[c]"
"In post","2021","Commercial","National Crime Agency","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","National Crime Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office for Standards in Education","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office for Standards in Education","North West (England)","10","10","34680","28940"
"In post","2021","Commercial","Office of Qualifications and Examinations Regulation","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other Cabinet Office Agencies","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other Cabinet Office Agencies","East of England","85","85","34770","34800"
"In post","2021","Commercial","Other Cabinet Office Agencies","London","20","20","47540","40730"
"In post","2021","Commercial","Other Cabinet Office Agencies","North West (England)","185","180","33650","34800"
"In post","2021","Commercial","Other Cabinet Office Agencies","Wales","65","65","31160","28540"
"In post","2021","Commercial","Other Cabinet Office Agencies","West Midlands (England)","10","10","29680","31560"
"In post","2021","Commercial","Other Cabinet Office Agencies","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2021","Commercial","Scottish Government","Scotland","105","100","31960","25870"
"In post","2021","Commercial","The National Archives","London","40","40","32110","24510"
"In post","2021","Commercial","UK Export Finance","London","190","190","53960","49790"
"In post","2021","Commercial","United Kingdom Statistics Authority","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","United Kingdom Statistics Authority","South East (England)","10","10","[c]","[c]"
"In post","2021","Commercial","United Kingdom Statistics Authority","Wales","25","25","43700","36840"
"In post","2021","Commercial","Water Services Regulation Authority","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Departments","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Departments","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Departments","London","65","65","44370","39750"
"In post","2021","Communications","Attorney General's Departments","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Departments","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Departments","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Departments","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Departments","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Departments","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Attorney General's Departments","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2021","Communications","Cabinet Office","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Cabinet Office","London","320","320","47710","42990"
"In post","2021","Communications","Cabinet Office","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Cabinet Office","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Cabinet Office","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Cabinet Office","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2021","Communications","Chancellor's other departments","London","15","15","49200","50460"
"In post","2021","Communications","Chancellor's other departments","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chancellor's other departments","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Charity Commission","London","10","10","47110","37910"
"In post","2021","Communications","Charity Commission","North West (England)","15","15","31080","29210"
"In post","2021","Communications","Charity Commission","South West (England)","5","5","[c]","[c]"
"In post","2021","Communications","Competition and Markets Authority","London","35","35","47210","41980"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy","London","140","130","48200","45190"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy","South West (England)","35","35","38610","37930"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy","Wales","45","45","35410","30720"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Digital, Culture, Media and Sport","London","45","40","55500","52120"
"In post","2021","Communications","Department for Education","East Midlands (England)","5","5","[c]","[c]"
"In post","2021","Communications","Department for Education","London","155","150","43480","41460"
"In post","2021","Communications","Department for Education","North East (England)","40","35","31800","29550"
"In post","2021","Communications","Department for Education","North West (England)","50","50","30690","29360"
"In post","2021","Communications","Department for Education","South West (England)","10","10","[c]","[c]"
"In post","2021","Communications","Department for Education","West Midlands (England)","20","20","43970","40300"
"In post","2021","Communications","Department for Education","Yorkshire and The Humber","45","45","38710","36500"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs","East Midlands (England)","10","10","[c]","[c]"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs","East of England","20","20","37930","35900"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs","London","130","130","44540","39910"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs","North East (England)","15","15","32630","30470"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs","North West (England)","80","70","29570","26520"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs","South East (England)","30","30","37680","36970"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs","South West (England)","45","40","37260","36970"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs","West Midlands (England)","20","20","39630","36970"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs","Yorkshire and The Humber","30","25","33500","30080"
"In post","2021","Communications","Department for International Trade","London","100","100","42590","38540"
"In post","2021","Communications","Department for International Trade","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for International Trade","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Transport","East Midlands (England)","40","35","32900","31620"
"In post","2021","Communications","Department for Transport","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Transport","London","115","115","47350","43360"
"In post","2021","Communications","Department for Transport","North East (England)","20","20","24080","21590"
"In post","2021","Communications","Department for Transport","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Transport","South East (England)","25","20","35360","31860"
"In post","2021","Communications","Department for Transport","South West (England)","30","30","36410","32180"
"In post","2021","Communications","Department for Transport","Wales","65","65","29840","26780"
"In post","2021","Communications","Department for Transport","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Transport","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Department for Work and Pensions","London","[c]","[c]","[c]","[c]"
