"Status","Year","Disability","Function_of_post","Region_ITL1","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Analysis","East Midlands (England)","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","East Midlands (England)","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","East Midlands (England)","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","East Midlands (England)","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","East Midlands (England)","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","East Midlands (England)","Nottingham","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","East Midlands (England)","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","East Midlands (England)","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","East of England","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","East of England","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","East of England","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","East of England","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","East of England","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","East of England","Suffolk","20","20","[c]","[c]"
"In post","2021","Declared disabled","Analysis","London","Camden and City of London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Analysis","London","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","London","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","London","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","London","Tower Hamlets","45","45","46510","42000"
"In post","2021","Declared disabled","Analysis","London","Westminster","165","155","46710","42470"
"In post","2021","Declared disabled","Analysis","North East (England)","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","North East (England)","Durham CC","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","North East (England)","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","North West (England)","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","North West (England)","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","North West (England)","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","North West (England)","Greater Manchester North East","[c]","[c]","[c]","[c]"
