"Status","Year","Age","Function_of_post","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","20-29","Communications","Outside London","EO","985","975","25590","25560"
"In post","2021","20-29","Communications","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2021","20-29","Communications","Outside London","SEO/HEO","345","345","32190","31810"
"In post","2021","20-29","Communications","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","London","EO","180","180","29270","29570"
"In post","2021","20-29","Counter Fraud","London","G6/G7","20","20","56900","59160"
"In post","2021","20-29","Counter Fraud","London","SEO/HEO","100","100","36420","36160"
"In post","2021","20-29","Counter Fraud","Outside London","AA/AO","70","70","20200","20140"
"In post","2021","20-29","Counter Fraud","Outside London","EO","480","480","25610","25560"
"In post","2021","20-29","Counter Fraud","Outside London","G6/G7","40","40","52580","52580"
"In post","2021","20-29","Counter Fraud","Outside London","SEO/HEO","205","205","32230","31810"
"In post","2021","20-29","Counter Fraud","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Debt","London","AA/AO","45","45","24150","24120"
"In post","2021","20-29","Debt","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Debt","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Debt","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Debt","Outside London","AA/AO","860","835","20140","20140"
"In post","2021","20-29","Debt","Outside London","EO","135","130","25040","25560"
"In post","2021","20-29","Debt","Outside London","SEO/HEO","15","15","31150","31810"
"In post","2021","20-29","Digital, Data & Technology","London","AA/AO","20","20","23010","24120"
"In post","2021","20-29","Digital, Data & Technology","London","EO","125","125","28210","27500"
"In post","2021","20-29","Digital, Data & Technology","London","G6/G7","140","140","56050","54700"
"In post","2021","20-29","Digital, Data & Technology","London","SEO/HEO","325","325","37130","36160"
"In post","2021","20-29","Digital, Data & Technology","Outside London","AA/AO","90","90","21170","21040"
"In post","2021","20-29","Digital, Data & Technology","Outside London","EO","555","550","26320","25780"
"In post","2021","20-29","Digital, Data & Technology","Outside London","G6/G7","70","70","50320","49860"
"In post","2021","20-29","Digital, Data & Technology","Outside London","SEO/HEO","705","700","34150","32790"
"In post","2021","20-29","Digital, Data & Technology","Outside London","Unknown","15","15","27380","25520"
"In post","2021","20-29","Digital, Data & Technology","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Unknown","SEO/HEO","5","5","[c]","[c]"
"In post","2021","20-29","Finance","London","AA/AO","20","20","23770","23490"
"In post","2021","20-29","Finance","London","EO","90","90","27690","27280"
"In post","2021","20-29","Finance","London","G6/G7","95","95","56200","54760"
"In post","2021","20-29","Finance","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","London","SEO/HEO","260","260","37090","35330"
"In post","2021","20-29","Finance","Outside London","AA/AO","200","185","20510","20140"
"In post","2021","20-29","Finance","Outside London","EO","280","280","24580","25560"
"In post","2021","20-29","Finance","Outside London","G6/G7","35","35","52130","50400"
"In post","2021","20-29","Finance","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","Outside London","SEO/HEO","310","310","34110","33100"
"In post","2021","20-29","Finance","Outside London","Unknown","15","15","29590","29060"
"In post","2021","20-29","Finance","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Grants Management","Outside London","AA/AO","165","165","20860","21050"
"In post","2021","20-29","Grants Management","Outside London","EO","65","65","24800","24920"
"In post","2021","20-29","Grants Management","Outside London","SEO/HEO","10","10","31580","30040"
"In post","2021","20-29","Human Resources","London","AA/AO","30","30","23980","23810"
"In post","2021","20-29","Human Resources","London","EO","165","160","27510","27500"
"In post","2021","20-29","Human Resources","London","G6/G7","90","90","56330","54700"
"In post","2021","20-29","Human Resources","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","London","SEO/HEO","290","285","34520","34020"
"In post","2021","20-29","Human Resources","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","Outside London","AA/AO","245","240","20920","20920"
"In post","2021","20-29","Human Resources","Outside London","EO","245","245","24960","25440"
"In post","2021","20-29","Human Resources","Outside London","G6/G7","35","35","51340","52090"
"In post","2021","20-29","Human Resources","Outside London","SEO/HEO","275","275","31880","31810"
"In post","2021","20-29","Human Resources","Outside London","Unknown","35","35","25970","23660"
"In post","2021","20-29","Human Resources","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","Unknown","EO","5","5","[c]","[c]"
"In post","2021","20-29","Human Resources","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","London","SEO/HEO","10","10","38360","37040"
"In post","2021","20-29","Internal Audit","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","Outside London","SEO/HEO","25","25","34140","33300"
"In post","2021","20-29","Legal","London","AA/AO","140","135","22630","23520"
"In post","2021","20-29","Legal","London","EO","280","275","28490","27350"
"In post","2021","20-29","Legal","London","G6/G7","115","115","52780","51250"
"In post","2021","20-29","Legal","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Legal","London","SEO/HEO","210","210","37560","37230"
"In post","2021","20-29","Legal","Outside London","AA/AO","465","455","21400","21950"
"In post","2021","20-29","Legal","Outside London","EO","260","260","26310","25920"
"In post","2021","20-29","Legal","Outside London","G6/G7","80","80","50750","50520"
"In post","2021","20-29","Legal","Outside London","SEO/HEO","300","295","33250","33550"
"In post","2021","20-29","Legal","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","London","AA/AO","1645","1625","26410","24370"
"In post","2021","20-29","No function","London","EO","1925","1915","28690","27680"
"In post","2021","20-29","No function","London","G6/G7","1960","1955","54980","53420"
"In post","2021","20-29","No function","London","SCS level","15","15","77400","74000"
"In post","2021","20-29","No function","London","SEO/HEO","6175","6145","34580","33570"
"In post","2021","20-29","No function","London","Unknown","335","330","28560","26810"
"In post","2021","20-29","No function","Outside London","AA/AO","13925","13550","22610","21500"
"In post","2021","20-29","No function","Outside London","EO","4000","3965","26390","25560"
"In post","2021","20-29","No function","Outside London","G6/G7","330","325","51710","52580"
"In post","2021","20-29","No function","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Outside London","SEO/HEO","3395","3370","31850","31720"
"In post","2021","20-29","No function","Outside London","Unknown","1780","1740","24660","22920"
"In post","2021","20-29","No function","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Overseas","G6/G7","20","20","53690","52930"
"In post","2021","20-29","No function","Overseas","SEO/HEO","165","165","35070","33860"
"In post","2021","20-29","No function","Unknown","AA/AO","10","10","21100","21010"
"In post","2021","20-29","No function","Unknown","EO","5","5","[c]","[c]"
"In post","2021","20-29","No function","Unknown","G6/G7","15","15","54800","54700"
"In post","2021","20-29","No function","Unknown","SEO/HEO","310","310","30710","29250"
"In post","2021","20-29","Project Delivery","London","AA/AO","35","35","24650","24490"
"In post","2021","20-29","Project Delivery","London","EO","135","135","28600","28500"
"In post","2021","20-29","Project Delivery","London","G6/G7","190","190","54360","54320"
"In post","2021","20-29","Project Delivery","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","London","SEO/HEO","535","530","36780","36340"
"In post","2021","20-29","Project Delivery","Outside London","AA/AO","105","105","20590","20920"
"In post","2021","20-29","Project Delivery","Outside London","EO","1235","1220","23380","24920"
"In post","2021","20-29","Project Delivery","Outside London","G6/G7","80","80","49410","49860"
"In post","2021","20-29","Project Delivery","Outside London","SEO/HEO","1560","1555","32270","31810"
"In post","2021","20-29","Project Delivery","Outside London","Unknown","285","285","29230","28400"
"In post","2021","20-29","Project Delivery","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Overseas","G6/G7","15","15","51390","52430"
"In post","2021","20-29","Project Delivery","Overseas","SEO/HEO","20","20","38780","38600"
"In post","2021","20-29","Project Delivery","Overseas","Unknown","5","5","[c]","[c]"
"In post","2021","20-29","Project Delivery","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Property","London","AA/AO","10","10","24500","24620"
"In post","2021","20-29","Property","London","EO","50","50","28790","29120"
"In post","2021","20-29","Property","London","G6/G7","5","5","[c]","[c]"
"In post","2021","20-29","Property","London","SEO/HEO","65","65","36420","36150"
"In post","2021","20-29","Property","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Property","Outside London","AA/AO","315","305","21370","20970"
"In post","2021","20-29","Property","Outside London","EO","250","235","25660","25500"
"In post","2021","20-29","Property","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Property","Outside London","SEO/HEO","220","220","33590","32100"
"In post","2021","20-29","Property","Outside London","Unknown","20","20","23030","21600"
"In post","2021","20-29","Property","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Property","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Property","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Security","London","AA/AO","50","50","26210","24400"
"In post","2021","20-29","Security","London","EO","45","45","27520","27500"
"In post","2021","20-29","Security","London","G6/G7","20","20","55890","54700"
"In post","2021","20-29","Security","London","SEO/HEO","105","105","37050","35700"
"In post","2021","20-29","Security","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Security","Outside London","AA/AO","805","805","24560","24610"
"In post","2021","20-29","Security","Outside London","EO","110","110","26700","26650"
"In post","2021","20-29","Security","Outside London","SEO/HEO","75","75","33200","33000"
"In post","2021","20-29","Security","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Security","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Security","Overseas","SEO/HEO","5","5","[c]","[c]"
"In post","2021","20-29","Security","Unknown","AA/AO","10","10","[c]","[c]"
"In post","2021","20-29","Security","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Security","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","London","AA/AO","535","530","24780","25110"
"In post","2021","20-29","Unknown","London","EO","2115","2095","30230","31060"
"In post","2021","20-29","Unknown","London","G6/G7","330","330","57680","57430"
"In post","2021","20-29","Unknown","London","SEO/HEO","1495","1495","38060","36900"
"In post","2021","20-29","Unknown","London","Unknown","15","15","33630","33950"
"In post","2021","20-29","Unknown","Outside London","AA/AO","6290","6060","21350","21010"
"In post","2021","20-29","Unknown","Outside London","EO","7100","7005","27090","27570"
"In post","2021","20-29","Unknown","Outside London","G6/G7","125","125","53140","52160"
"In post","2021","20-29","Unknown","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Outside London","SEO/HEO","1845","1830","33960","32140"
"In post","2021","20-29","Unknown","Outside London","Unknown","15","15","28090","21430"
"In post","2021","20-29","Unknown","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Overseas","EO","10","10","[c]","[c]"
"In post","2021","20-29","Unknown","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Overseas","SEO/HEO","25","25","38130","37650"
"In post","2021","20-29","Unknown","Overseas","Unknown","10","10","[c]","[c]"
"In post","2021","20-29","Unknown","Unknown","AA/AO","30","30","21790","21010"
"In post","2021","20-29","Unknown","Unknown","EO","75","75","27600","27570"
"In post","2021","20-29","Unknown","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Unknown","SEO/HEO","25","25","33820","31990"
"In post","2021","20-29","Unknown","Unknown","Unknown","375","375","28960","28980"
"In post","2021","30-39","Analysis","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Analysis","London","EO","20","20","28610","28950"
"In post","2021","30-39","Analysis","London","G6/G7","560","535","61450","59160"
"In post","2021","30-39","Analysis","London","SCS level","25","25","77200","75240"
"In post","2021","30-39","Analysis","London","SEO/HEO","305","295","40150","40480"
"In post","2021","30-39","Analysis","Outside London","AA/AO","20","15","20740","21050"
"In post","2021","30-39","Analysis","Outside London","EO","105","100","24930","24920"
"In post","2021","30-39","Analysis","Outside London","G6/G7","330","310","51390","50090"
"In post","2021","30-39","Analysis","Outside London","SCS level","5","5","[c]","[c]"
"In post","2021","30-39","Analysis","Outside London","SEO/HEO","685","655","34730","36030"
"In post","2021","30-39","Analysis","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Commercial","London","AA/AO","5","5","[c]","[c]"
"In post","2021","30-39","Commercial","London","EO","30","30","28580","28400"
"In post","2021","30-39","Commercial","London","G6/G7","150","150","64330","59900"
"In post","2021","30-39","Commercial","London","SCS level","75","75","78250","71000"
"In post","2021","30-39","Commercial","London","SEO/HEO","150","145","41690","40650"
"In post","2021","30-39","Commercial","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Commercial","Outside London","AA/AO","55","55","21300","20920"
"In post","2021","30-39","Commercial","Outside London","EO","130","120","25900","26580"
"In post","2021","30-39","Commercial","Outside London","G6/G7","185","185","53790","51560"
"In post","2021","30-39","Commercial","Outside London","SCS level","35","35","66420","63330"
"In post","2021","30-39","Commercial","Outside London","SEO/HEO","630","605","36350","36030"
"In post","2021","30-39","Commercial","Outside London","Unknown","60","55","38000","37900"
"In post","2021","30-39","Commercial","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Commercial","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Commercial","Overseas","SEO/HEO","10","10","[c]","[c]"
"In post","2021","30-39","Commercial","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Commercial","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Commercial","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Communications","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Communications","London","EO","50","50","25570","27270"
"In post","2021","30-39","Communications","London","G6/G7","305","295","58470","56510"
"In post","2021","30-39","Communications","London","SCS level","20","20","88430","80000"
"In post","2021","30-39","Communications","London","SEO/HEO","380","375","40120","40600"
"In post","2021","30-39","Communications","Outside London","AA/AO","85","70","20710","20660"
"In post","2021","30-39","Communications","Outside London","EO","820","790","25570","25560"
"In post","2021","30-39","Communications","Outside London","G6/G7","75","75","52590","52580"
"In post","2021","30-39","Communications","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Communications","Outside London","SEO/HEO","710","690","33690","31810"
"In post","2021","30-39","Communications","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Counter Fraud","London","AA/AO","5","5","[c]","[c]"
"In post","2021","30-39","Counter Fraud","London","EO","160","155","29520","29570"
"In post","2021","30-39","Counter Fraud","London","G6/G7","80","80","59070","59160"
"In post","2021","30-39","Counter Fraud","London","SCS level","5","5","[c]","[c]"
"In post","2021","30-39","Counter Fraud","London","SEO/HEO","200","200","37230","36160"
"In post","2021","30-39","Counter Fraud","Outside London","AA/AO","80","75","20380","20140"
"In post","2021","30-39","Counter Fraud","Outside London","EO","710","690","25590","25560"
"In post","2021","30-39","Counter Fraud","Outside London","G6/G7","165","160","53180","52580"
"In post","2021","30-39","Counter Fraud","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Counter Fraud","Outside London","SEO/HEO","650","635","32790","31810"
"In post","2021","30-39","Counter Fraud","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Counter Fraud","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Debt","London","AA/AO","30","25","24190","24120"
"In post","2021","30-39","Debt","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Debt","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Debt","Outside London","AA/AO","640","580","20220","20140"
"In post","2021","30-39","Debt","Outside London","EO","140","135","25190","25560"
"In post","2021","30-39","Debt","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2021","30-39","Debt","Outside London","SEO/HEO","40","40","32720","31810"
"In post","2021","30-39","Digital, Data & Technology","London","AA/AO","5","5","[c]","[c]"
"In post","2021","30-39","Digital, Data & Technology","London","EO","55","55","28610","28330"
"In post","2021","30-39","Digital, Data & Technology","London","G6/G7","540","530","59080","56340"
"In post","2021","30-39","Digital, Data & Technology","London","SCS level","30","30","83680","81940"
"In post","2021","30-39","Digital, Data & Technology","London","SEO/HEO","345","340","38990","38730"
"In post","2021","30-39","Digital, Data & Technology","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Digital, Data & Technology","Outside London","AA/AO","80","75","21380","21330"
"In post","2021","30-39","Digital, Data & Technology","Outside London","EO","430","415","26970","26470"
"In post","2021","30-39","Digital, Data & Technology","Outside London","G6/G7","470","460","54020","52580"
"In post","2021","30-39","Digital, Data & Technology","Outside London","SCS level","5","5","[c]","[c]"
"In post","2021","30-39","Digital, Data & Technology","Outside London","SEO/HEO","1480","1450","36170","36030"
"In post","2021","30-39","Digital, Data & Technology","Outside London","Unknown","10","10","32130","33400"
"In post","2021","30-39","Digital, Data & Technology","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Digital, Data & Technology","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Digital, Data & Technology","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Digital, Data & Technology","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Digital, Data & Technology","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","London","AA/AO","15","15","23860","23850"
"In post","2021","30-39","Finance","London","EO","50","45","28070","27710"
"In post","2021","30-39","Finance","London","G6/G7","290","285","61250","59730"
"In post","2021","30-39","Finance","London","SCS level","25","25","80490","78000"
"In post","2021","30-39","Finance","London","SEO/HEO","200","200","38540","38280"
"In post","2021","30-39","Finance","Outside London","AA/AO","155","135","20750","20140"
"In post","2021","30-39","Finance","Outside London","EO","245","230","25790","25630"
"In post","2021","30-39","Finance","Outside London","G6/G7","270","260","54390","52580"
"In post","2021","30-39","Finance","Outside London","SCS level","10","10","85230","81610"
"In post","2021","30-39","Finance","Outside London","SEO/HEO","635","610","35820","35870"
"In post","2021","30-39","Finance","Outside London","Unknown","10","10","[c]","[c]"
"In post","2021","30-39","Finance","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
