"Status","Year","Function_of_post","Region_ITL3","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Heterosexual / straight","45","40","40880","40000"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bedford","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bedford","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire","Outside London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Analysis","Berkshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","Outside London","Heterosexual / straight","25","20","[c]","[c]"
"In post","2021","Analysis","Birmingham","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","Outside London","Unknown","15","15","[c]","[c]"
"In post","2021","Analysis","Bradford","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bradford","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","Outside London","Heterosexual / straight","110","105","40500","39070"
"In post","2021","Analysis","Bristol, City of","Outside London","LGBO","15","15","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","Outside London","Undeclared","15","15","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","Outside London","Unknown","15","15","[c]","[c]"
"In post","2021","Analysis","Buckinghamshire CC","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Buckinghamshire CC","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Buckinghamshire CC","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cambridgeshire CC","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cambridgeshire CC","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Camden and City of London","London","Heterosexual / straight","145","135","70310","65470"
"In post","2021","Analysis","Camden and City of London","London","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","Camden and City of London","London","Undeclared","25","25","[c]","[c]"
"In post","2021","Analysis","Camden and City of London","London","Unknown","50","50","65140","55590"
"In post","2021","Analysis","Cardiff and Vale of Glamorgan","Outside London","Heterosexual / straight","10","5","[c]","[c]"
"In post","2021","Analysis","Cardiff and Vale of Glamorgan","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cardiff and Vale of Glamorgan","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Central Hampshire","Outside London","Heterosexual / straight","260","245","40720","37940"
"In post","2021","Analysis","Central Hampshire","Outside London","LGBO","20","20","[c]","[c]"
"In post","2021","Analysis","Central Hampshire","Outside London","Undeclared","30","30","41840","41250"
"In post","2021","Analysis","Central Hampshire","Outside London","Unknown","40","40","42660","46080"
"In post","2021","Analysis","Central Valleys","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Central Valleys","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Central Valleys","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cheshire East","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cheshire East","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","City of Edinburgh","Outside London","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Analysis","City of Edinburgh","Outside London","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","City of Edinburgh","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","City of Edinburgh","Outside London","Unknown","10","10","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Coventry","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","Coventry","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Coventry","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Coventry","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Croydon","London","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Analysis","Croydon","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Croydon","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Croydon","London","Unknown","10","10","[c]","[c]"
"In post","2021","Analysis","Darlington","Outside London","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Analysis","Darlington","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Darlington","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon CC","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon CC","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon CC","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Dorset CC","Outside London","Heterosexual / straight","45","45","33790","29990"
"In post","2021","Analysis","Dorset CC","Outside London","LGBO","[c]","[c]","[c]","[c]"
