"Status","Year","Parent_department","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","London","4685","4410","49990","51250"
"In post","2021","Attorney General's Departments","Outside London","5150","4755","40590","38000"
"In post","2021","Attorney General's Departments","Overseas","5","5","[c]","[c]"
"In post","2021","Cabinet Office","London","6500","6410","49780","42260"
"In post","2021","Cabinet Office","Outside London","2355","2270","40750","33300"
"In post","2021","Cabinet Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","600","595","36250","32000"
"In post","2021","Chancellor's other departments","London","360","345","59470","50060"
"In post","2021","Chancellor's other departments","Outside London","45","45","52430","44870"
"In post","2021","Charity Commission","London","75","70","42950","37910"
"In post","2021","Charity Commission","Outside London","365","345","33200","29160"
"In post","2021","Competition and Markets Authority","London","785","760","60810","56630"
"In post","2021","Competition and Markets Authority","Outside London","55","55","56850","55860"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","5620","5490","48570","46490"
"In post","2021","Department for Business, Energy and Industrial Strategy","Outside London","7505","7100","35600","33130"
"In post","2021","Department for Business, Energy and Industrial Strategy","Overseas","30","30","40460","41750"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","10","10","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","London","1715","1680","49440","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Outside London","65","65","41300","34020"
"In post","2021","Department for Education","London","2630","2540","50280","53420"
"In post","2021","Department for Education","Outside London","5285","5105","40540","36960"
"In post","2021","Department for Education","Unknown","15","10","56170","52840"
"In post","2021","Department for Environment, Food and Rural Affairs","London","2595","2520","44930","39490"
"In post","2021","Department for Environment, Food and Rural Affairs","Outside London","8445","7955","33270","29690"
"In post","2021","Department for International Trade","London","2315","2295","45240","38950"
"In post","2021","Department for International Trade","Outside London","215","215","44440","40300"
"In post","2021","Department for International Trade","Overseas","155","155","56610","54470"
"In post","2021","Department for Transport","London","3440","3350","46600","42890"
"In post","2021","Department for Transport","Outside London","12525","11450","29120","26590"
"In post","2021","Department for Transport","Overseas","10","10","64100","65520"
"In post","2021","Department for Work and Pensions","London","10180","9535","33840","31060"
"In post","2021","Department for Work and Pensions","Outside London","82445","73460","27340","27570"
"In post","2021","Department for Work and Pensions","Unknown","900","835","30410","27570"
"In post","2021","Department of Health and Social Care","London","6425","6105","48000","41030"
"In post","2021","Department of Health and Social Care","Outside London","5330","4930","41860","36820"
"In post","2021","ESTYN","Outside London","115","105","58000","74730"
"In post","2021","Food Standards Agency","London","470","460","42510","40350"
"In post","2021","Food Standards Agency","Outside London","840","815","34340","30350"
"In post","2021","Foreign, Commonwealth and Development Office","London","4260","4155","49350","44880"
"In post","2021","Foreign, Commonwealth and Development Office","Outside London","2100","2020","38460","33930"
"In post","2021","Foreign, Commonwealth and Development Office","Overseas","2280","2275","52030","53470"
"In post","2021","HM Land Registry","London","375","355","41430","37290"
"In post","2021","HM Land Registry","Outside London","5975","5410","30440","27130"
"In post","2021","HM Revenue and Customs","London","8725","8295","43160","36270"
"In post","2021","HM Revenue and Customs","Outside London","57755","52795","29520","25560"
"In post","2021","HM Treasury","London","2325","2275","48910","52500"
"In post","2021","HM Treasury","Outside London","350","330","42880","41400"
