"Status","Year","Function_of_post","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Unknown","SEO/HEO","10","10","37660","37960"
"In post","2021","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","AA/AO","75","75","24330","24290"
"In post","2021","Communications","London","EO","395","385","26290","27350"
"In post","2021","Communications","London","G6/G7","705","680","59600","58250"
"In post","2021","Communications","London","SCS level","115","115","90370","83110"
"In post","2021","Communications","London","SEO/HEO","1155","1140","38830","38750"
"In post","2021","Communications","Outside London","AA/AO","430","375","20930","21050"
"In post","2021","Communications","Outside London","EO","2805","2695","25710","25560"
"In post","2021","Communications","Outside London","G6/G7","360","350","54960","52580"
"In post","2021","Communications","Outside London","SCS level","20","20","78170","76440"
"In post","2021","Communications","Outside London","SEO/HEO","2135","2070","34100","31810"
"In post","2021","Communications","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","London","AA/AO","135","125","25000","25630"
"In post","2021","Counter Fraud","London","EO","735","705","30120","29570"
"In post","2021","Counter Fraud","London","G6/G7","370","350","61760","59160"
"In post","2021","Counter Fraud","London","SCS level","25","25","86710","79930"
"In post","2021","Counter Fraud","London","SEO/HEO","1055","1025","38390","36580"
"In post","2021","Counter Fraud","Outside London","AA/AO","720","615","20810","20640"
"In post","2021","Counter Fraud","Outside London","EO","2675","2500","26120","25560"
"In post","2021","Counter Fraud","Outside London","G6/G7","735","705","55280","52580"
"In post","2021","Counter Fraud","Outside London","SCS level","15","15","80630","79280"
"In post","2021","Counter Fraud","Outside London","SEO/HEO","3155","2985","34140","31810"
"In post","2021","Counter Fraud","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Debt","London","AA/AO","385","340","24870","24670"
"In post","2021","Debt","London","EO","125","115","30940","32310"
"In post","2021","Debt","London","G6/G7","15","15","67780","59160"
"In post","2021","Debt","London","SEO/HEO","35","35","40130","39800"
"In post","2021","Debt","Outside London","AA/AO","3030","2735","20450","20140"
"In post","2021","Debt","Outside London","EO","830","755","26210","25560"
"In post","2021","Debt","Outside London","G6/G7","35","35","53020","52580"
"In post","2021","Debt","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Outside London","SEO/HEO","215","195","33630","31810"
"In post","2021","Digital, Data & Technology","London","AA/AO","55","55","24460","24310"
"In post","2021","Digital, Data & Technology","London","EO","335","325","29190","29200"
"In post","2021","Digital, Data & Technology","London","G6/G7","1485","1460","60230","58620"
"In post","2021","Digital, Data & Technology","London","SCS level","130","125","93040","86870"
"In post","2021","Digital, Data & Technology","London","SEO/HEO","1375","1350","39160","39030"
"In post","2021","Digital, Data & Technology","London","Unknown","15","15","37060","33050"
"In post","2021","Digital, Data & Technology","Outside London","AA/AO","395","375","21460","21130"
"In post","2021","Digital, Data & Technology","Outside London","EO","1940","1860","27140","26670"
"In post","2021","Digital, Data & Technology","Outside London","G6/G7","2180","2125","55430","52580"
"In post","2021","Digital, Data & Technology","Outside London","SCS level","125","125","88500","83230"
"In post","2021","Digital, Data & Technology","Outside London","SEO/HEO","5435","5260","36750","36740"
"In post","2021","Digital, Data & Technology","Outside London","Unknown","85","85","37170","36500"
"In post","2021","Digital, Data & Technology","Overseas","EO","10","10","[c]","[c]"
"In post","2021","Digital, Data & Technology","Overseas","SEO/HEO","10","10","39110","36460"
"In post","2021","Digital, Data & Technology","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","G6/G7","10","10","61210","58390"
"In post","2021","Digital, Data & Technology","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Finance","London","AA/AO","80","80","24060","24040"
"In post","2021","Finance","London","EO","325","315","28620","28840"
"In post","2021","Finance","London","G6/G7","890","870","61620","59680"
"In post","2021","Finance","London","SCS level","170","165","91800","86050"
"In post","2021","Finance","London","SEO/HEO","1080","1060","39300","39210"
"In post","2021","Finance","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Outside London","AA/AO","1405","1180","20930","20920"
"In post","2021","Finance","Outside London","EO","1350","1270","25900","26200"
"In post","2021","Finance","Outside London","G6/G7","1175","1145","56360","54540"
"In post","2021","Finance","Outside London","SCS level","110","110","90190","82450"
"In post","2021","Finance","Outside London","SEO/HEO","2730","2620","36550","36460"
"In post","2021","Finance","Outside London","Unknown","50","50","49560","40720"
"In post","2021","Finance","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Overseas","EO","15","15","28310","26670"
"In post","2021","Finance","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Overseas","SEO/HEO","15","15","37060","33630"
"In post","2021","Grants Management","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Outside London","AA/AO","955","855","21010","21050"
"In post","2021","Grants Management","Outside London","EO","540","495","25520","25190"
"In post","2021","Grants Management","Outside London","G6/G7","55","55","52530","49770"
"In post","2021","Grants Management","Outside London","SCS level","5","5","[c]","[c]"
"In post","2021","Grants Management","Outside London","SEO/HEO","335","310","32730","31170"
"In post","2021","Human Resources","London","AA/AO","90","85","24150","24090"
"In post","2021","Human Resources","London","EO","405","390","28540","27850"
"In post","2021","Human Resources","London","G6/G7","865","835","60450","59160"
"In post","2021","Human Resources","London","SCS level","160","155","89270","82010"
"In post","2021","Human Resources","London","SEO/HEO","1140","1115","38420","37640"
"In post","2021","Human Resources","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Outside London","AA/AO","1515","1365","21180","20920"
"In post","2021","Human Resources","Outside London","EO","1350","1260","26130","26120"
"In post","2021","Human Resources","Outside London","G6/G7","1020","985","55540","53110"
"In post","2021","Human Resources","Outside London","SCS level","65","65","88860","82750"
"In post","2021","Human Resources","Outside London","SEO/HEO","2690","2550","35520","33690"
"In post","2021","Human Resources","Outside London","Unknown","225","215","37720","32710"
"In post","2021","Human Resources","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Overseas","EO","5","5","[c]","[c]"
"In post","2021","Human Resources","Overseas","G6/G7","5","5","[c]","[c]"
"In post","2021","Human Resources","Overseas","SEO/HEO","10","10","36890","36460"
"In post","2021","Human Resources","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","EO","10","10","[c]","[c]"
"In post","2021","Human Resources","Unknown","G6/G7","10","10","59820","59450"
"In post","2021","Human Resources","Unknown","SEO/HEO","10","10","38280","37300"
"In post","2021","Internal Audit","London","AA/AO","15","15","32150","35900"
"In post","2021","Internal Audit","London","EO","10","10","31580","32160"
"In post","2021","Internal Audit","London","G6/G7","80","75","62470","59730"
"In post","2021","Internal Audit","London","SCS level","20","20","90380","88000"
"In post","2021","Internal Audit","London","SEO/HEO","95","95","44750","45200"
"In post","2021","Internal Audit","Outside London","AA/AO","10","10","24560","21840"
"In post","2021","Internal Audit","Outside London","EO","40","35","27500","26720"
"In post","2021","Internal Audit","Outside London","G6/G7","125","120","56720","54470"
"In post","2021","Internal Audit","Outside London","SCS level","10","10","[c]","[c]"
"In post","2021","Internal Audit","Outside London","SEO/HEO","360","340","39510","39980"
"In post","2021","Internal Audit","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","London","AA/AO","455","425","23460","23520"
"In post","2021","Legal","London","EO","770","735","28920","29280"
"In post","2021","Legal","London","G6/G7","3060","2845","61340","61860"
"In post","2021","Legal","London","SCS level","360","345","89160","82500"
"In post","2021","Legal","London","SEO/HEO","750","720","38870","38580"
"In post","2021","Legal","London","Unknown","5","5","[c]","[c]"
"In post","2021","Legal","Outside London","AA/AO","2130","1905","21790","21950"
"In post","2021","Legal","Outside London","EO","1675","1535","27660","28430"
"In post","2021","Legal","Outside London","G6/G7","2955","2715","57510","55610"
"In post","2021","Legal","Outside London","SCS level","100","95","87780","83290"
"In post","2021","Legal","Outside London","SEO/HEO","2570","2390","38430","37980"
"In post","2021","Legal","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Overseas","G6/G7","10","10","65590","70740"
"In post","2021","Legal","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","No function","London","AA/AO","6780","6395","26290","24440"
"In post","2021","No function","London","EO","5990","5780","29880","29300"
"In post","2021","No function","London","G6/G7","11085","10785","59150","56640"
"In post","2021","No function","London","SCS level","2030","1930","89270","79170"
"In post","2021","No function","London","SEO/HEO","15140","14805","37320","36240"
"In post","2021","No function","London","Unknown","1550","1490","33490","32090"
"In post","2021","No function","Outside London","AA/AO","63685","57360","22760","21440"
"In post","2021","No function","Outside London","EO","27065","25245","27830","26880"
"In post","2021","No function","Outside London","G6/G7","9235","8850","57240","52940"
"In post","2021","No function","Outside London","SCS level","680","640","95650","92370"
"In post","2021","No function","Outside London","SEO/HEO","28845","27330","36260","35000"
"In post","2021","No function","Outside London","Unknown","10460","9600","29340","28200"
"In post","2021","No function","Overseas","AA/AO","25","25","23240","23000"
"In post","2021","No function","Overseas","EO","45","45","28860","28680"
"In post","2021","No function","Overseas","G6/G7","695","695","59230","57010"
"In post","2021","No function","Overseas","SCS level","240","240","86720","76330"
"In post","2021","No function","Overseas","SEO/HEO","795","790","39950","34770"
"In post","2021","No function","Unknown","AA/AO","20","20","20730","19930"
"In post","2021","No function","Unknown","EO","20","20","30460","29040"
"In post","2021","No function","Unknown","G6/G7","65","65","56890","54700"
"In post","2021","No function","Unknown","SCS level","10","10","80900","74420"
"In post","2021","No function","Unknown","SEO/HEO","480","475","33290","32000"
"In post","2021","No function","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","London","AA/AO","95","90","24750","25290"
"In post","2021","Project Delivery","London","EO","410","395","29300","29570"
"In post","2021","Project Delivery","London","G6/G7","2355","2280","60960","59160"
"In post","2021","Project Delivery","London","SCS level","420","410","94030","85370"
"In post","2021","Project Delivery","London","SEO/HEO","1835","1795","38690","38600"
"In post","2021","Project Delivery","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Outside London","AA/AO","520","485","21090","21110"
"In post","2021","Project Delivery","Outside London","EO","4180","3970","24420","25560"
"In post","2021","Project Delivery","Outside London","G6/G7","4550","4440","55280","54190"
"In post","2021","Project Delivery","Outside London","SCS level","245","240","88690","82970"
"In post","2021","Project Delivery","Outside London","SEO/HEO","11770","11345","35930","35700"
"In post","2021","Project Delivery","Outside London","Unknown","1330","1305","42370","40370"
"In post","2021","Project Delivery","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Overseas","EO","15","15","27930","26800"
"In post","2021","Project Delivery","Overseas","G6/G7","460","460","59730","58030"
"In post","2021","Project Delivery","Overseas","SCS level","25","25","78780","77950"
"In post","2021","Project Delivery","Overseas","SEO/HEO","120","120","40640","41010"
"In post","2021","Project Delivery","Overseas","Unknown","20","20","39230","38920"
"In post","2021","Project Delivery","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Unknown","G6/G7","5","5","[c]","[c]"
"In post","2021","Project Delivery","Unknown","SEO/HEO","20","20","39160","40390"
"In post","2021","Project Delivery","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","Property","London","AA/AO","140","135","23830","24960"
"In post","2021","Property","London","EO","290","275","29850","29630"
"In post","2021","Property","London","G6/G7","335","330","61520","61590"
"In post","2021","Property","London","SCS level","45","40","100370","93410"
"In post","2021","Property","London","SEO/HEO","495","480","40060","37550"
"In post","2021","Property","London","Unknown","5","5","[c]","[c]"
"In post","2021","Property","Outside London","AA/AO","2210","2065","21360","21100"
"In post","2021","Property","Outside London","EO","1635","1535","27020","26500"
"In post","2021","Property","Outside London","G6/G7","885","865","56010","54990"
"In post","2021","Property","Outside London","SCS level","45","45","85940","76590"
"In post","2021","Property","Outside London","SEO/HEO","2985","2860","36800","35680"
"In post","2021","Property","Outside London","Unknown","35","35","26040","21600"
"In post","2021","Property","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Property","Overseas","EO","30","30","27410","26950"
"In post","2021","Property","Overseas","G6/G7","25","25","58740","55720"
"In post","2021","Property","Overseas","SEO/HEO","135","135","38110","38080"
"In post","2021","Property","Unknown","G6/G7","10","10","[c]","[c]"
"In post","2021","Property","Unknown","SEO/HEO","10","10","34630","33300"
"In post","2021","Security","London","AA/AO","305","305","27620","24220"
"In post","2021","Security","London","EO","150","145","31590","30410"
"In post","2021","Security","London","G6/G7","200","195","62310","59730"
"In post","2021","Security","London","SCS level","30","30","86030","78810"
"In post","2021","Security","London","SEO/HEO","395","390","41170","39220"
"In post","2021","Security","London","Unknown","10","10","39660","41060"
"In post","2021","Security","Outside London","AA/AO","5190","5075","26680","21580"
"In post","2021","Security","Outside London","EO","1015","995","32500","26980"
"In post","2021","Security","Outside London","G6/G7","160","155","58380","54540"
"In post","2021","Security","Outside London","SCS level","10","10","[c]","[c]"
"In post","2021","Security","Outside London","SEO/HEO","1055","1030","39290","36460"
"In post","2021","Security","Outside London","Unknown","45","45","35440","37170"
"In post","2021","Security","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Security","Overseas","EO","5","5","[c]","[c]"
"In post","2021","Security","Overseas","G6/G7","15","15","56770","55020"
"In post","2021","Security","Overseas","SCS level","5","5","[c]","[c]"
"In post","2021","Security","Overseas","SEO/HEO","95","95","35140","34350"
"In post","2021","Security","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Security","Unknown","AA/AO","20","15","21830","20800"
"In post","2021","Security","Unknown","EO","10","10","[c]","[c]"
"In post","2021","Security","Unknown","G6/G7","5","5","[c]","[c]"
"In post","2021","Security","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Security","Unknown","SEO/HEO","35","35","34380","33400"
"In post","2021","Unknown","London","AA/AO","3935","3545","24630","25110"
"In post","2021","Unknown","London","EO","10940","10200","30400","31060"
"In post","2021","Unknown","London","G6/G7","4100","3970","61680","58240"
"In post","2021","Unknown","London","SCS level","720","695","90330","83240"
"In post","2021","Unknown","London","SEO/HEO","7215","7015","39290","38560"
"In post","2021","Unknown","London","Unknown","45","45","35260","33950"
"In post","2021","Unknown","Outside London","AA/AO","44900","39585","21120","21010"
"In post","2021","Unknown","Outside London","EO","58465","53175","27420","27570"
"In post","2021","Unknown","Outside London","G6/G7","7750","7425","60350","60740"
"In post","2021","Unknown","Outside London","SCS level","600","590","89780","83230"
"In post","2021","Unknown","Outside London","SEO/HEO","23990","22840","36260","35030"
"In post","2021","Unknown","Outside London","Unknown","290","285","41450","40620"
"In post","2021","Unknown","Overseas","AA/AO","20","20","21710","21430"
"In post","2021","Unknown","Overseas","EO","150","145","27880","27370"
"In post","2021","Unknown","Overseas","G6/G7","105","105","64790","62570"
"In post","2021","Unknown","Overseas","SCS level","10","10","91990","84810"
"In post","2021","Unknown","Overseas","SEO/HEO","330","330","41880","41600"
"In post","2021","Unknown","Overseas","Unknown","230","230","35860","27540"
"In post","2021","Unknown","Unknown","AA/AO","200","175","22450","21070"
"In post","2021","Unknown","Unknown","EO","535","505","28000","27570"
"In post","2021","Unknown","Unknown","G6/G7","80","75","56960","55000"
"In post","2021","Unknown","Unknown","SCS level","10","5","[c]","[c]"
"In post","2021","Unknown","Unknown","SEO/HEO","180","175","35270","35090"
"In post","2021","Unknown","Unknown","Unknown","1905","1900","37260","33570"
"Leaver CS","2021","Analysis","London","AA/AO","60","[c]","22950","24300"
"Leaver CS","2021","Analysis","London","EO","20","[c]","25850","26410"
"Leaver CS","2021","Analysis","London","G6/G7","30","[c]","65520","62180"
"Leaver CS","2021","Analysis","London","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","London","SEO/HEO","35","[c]","35470","34640"
"Leaver CS","2021","Analysis","Outside London","AA/AO","40","[c]","19130","19130"
"Leaver CS","2021","Analysis","Outside London","EO","10","[c]","25370","24970"
"Leaver CS","2021","Analysis","Outside London","G6/G7","15","[c]","60510","55410"
"Leaver CS","2021","Analysis","Outside London","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Outside London","SEO/HEO","55","[c]","34620","35000"
"Leaver CS","2021","Commercial","London","AA/AO","5","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","London","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","London","G6/G7","20","[c]","64930","63060"
"Leaver CS","2021","Commercial","London","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","London","SEO/HEO","25","[c]","41240","37640"
"Leaver CS","2021","Commercial","Outside London","AA/AO","30","[c]","19790","20200"
"Leaver CS","2021","Commercial","Outside London","EO","25","[c]","24780","25480"
"Leaver CS","2021","Commercial","Outside London","G6/G7","25","[c]","57890","56050"
"Leaver CS","2021","Commercial","Outside London","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Outside London","SEO/HEO","75","[c]","36800","36240"
"Leaver CS","2021","Commercial","Outside London","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Unknown","G6/G7","25","[c]","72430","65310"
"Leaver CS","2021","Commercial","Unknown","SCS level","20","[c]","107900","101450"
"Leaver CS","2021","Commercial","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","London","AA/AO","15","[c]","21010","20800"
"Leaver CS","2021","Communications","London","EO","20","[c]","23400","23160"
"Leaver CS","2021","Communications","London","G6/G7","30","[c]","58580","58070"
"Leaver CS","2021","Communications","London","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","London","SEO/HEO","80","[c]","36720","37290"
"Leaver CS","2021","Communications","Outside London","AA/AO","20","[c]","19950","20280"
"Leaver CS","2021","Communications","Outside London","EO","15","[c]","26650","26400"
"Leaver CS","2021","Communications","Outside London","G6/G7","10","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Outside London","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Outside London","SEO/HEO","40","[c]","34180","33460"
"Leaver CS","2021","Communications","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Unknown","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","London","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","London","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","London","G6/G7","5","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","London","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","London","SEO/HEO","10","[c]","35730","34670"
"Leaver CS","2021","Counter Fraud","Outside London","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Outside London","SEO/HEO","10","[c]","[c]","[c]"
"Leaver CS","2021","Debt","London","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","London","AA/AO","20","[c]","20420","19670"
"Leaver CS","2021","Digital, Data & Technology","London","EO","20","[c]","28120","27400"
"Leaver CS","2021","Digital, Data & Technology","London","G6/G7","70","[c]","59020","58360"
"Leaver CS","2021","Digital, Data & Technology","London","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","London","SEO/HEO","50","[c]","38610","38700"
"Leaver CS","2021","Digital, Data & Technology","Outside London","AA/AO","30","[c]","21230","21580"
"Leaver CS","2021","Digital, Data & Technology","Outside London","EO","60","[c]","27160","26670"
"Leaver CS","2021","Digital, Data & Technology","Outside London","G6/G7","55","[c]","59310","57190"
"Leaver CS","2021","Digital, Data & Technology","Outside London","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Outside London","SEO/HEO","110","[c]","37610","38000"
"Leaver CS","2021","Digital, Data & Technology","Outside London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","London","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","London","EO","10","[c]","[c]","[c]"
"Leaver CS","2021","Finance","London","G6/G7","25","[c]","66120","64780"
"Leaver CS","2021","Finance","London","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2021","Finance","London","SEO/HEO","20","[c]","42690","40750"
"Leaver CS","2021","Finance","Outside London","AA/AO","30","[c]","20920","20920"
"Leaver CS","2021","Finance","Outside London","EO","25","[c]","25000","26100"
"Leaver CS","2021","Finance","Outside London","G6/G7","30","[c]","60750","59300"
"Leaver CS","2021","Finance","Outside London","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Outside London","SEO/HEO","80","[c]","38450","36750"
"Leaver CS","2021","Grants Management","Outside London","AA/AO","45","[c]","20830","21050"
"Leaver CS","2021","Grants Management","Outside London","EO","25","[c]","25410","25190"
"Leaver CS","2021","Grants Management","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","Outside London","SEO/HEO","10","[c]","33200","31690"
"Leaver CS","2021","Human Resources","London","AA/AO","5","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","London","EO","15","[c]","28320","27520"
"Leaver CS","2021","Human Resources","London","G6/G7","35","[c]","61160","59180"
"Leaver CS","2021","Human Resources","London","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","London","SEO/HEO","45","[c]","39630","40230"
"Leaver CS","2021","Human Resources","Outside London","AA/AO","65","[c]","20980","20920"
"Leaver CS","2021","Human Resources","Outside London","EO","40","[c]","25570","26670"
"Leaver CS","2021","Human Resources","Outside London","G6/G7","25","[c]","55810","55320"
"Leaver CS","2021","Human Resources","Outside London","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Outside London","SEO/HEO","70","[c]","37800","37370"
"Leaver CS","2021","Human Resources","Outside London","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","London","G6/G7","5","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","London","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Outside London","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Outside London","G6/G7","10","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Outside London","SEO/HEO","10","[c]","[c]","[c]"
"Leaver CS","2021","Legal","London","AA/AO","30","[c]","23330","23520"
"Leaver CS","2021","Legal","London","EO","40","[c]","27250","26680"
"Leaver CS","2021","Legal","London","G6/G7","115","[c]","60020","57500"
"Leaver CS","2021","Legal","London","SCS level","20","[c]","96950","93830"
"Leaver CS","2021","Legal","London","SEO/HEO","40","[c]","39460","36500"
"Leaver CS","2021","Legal","Outside London","AA/AO","120","[c]","21800","21950"
"Leaver CS","2021","Legal","Outside London","EO","45","[c]","26270","27130"
"Leaver CS","2021","Legal","Outside London","G6/G7","135","[c]","58090","55610"
"Leaver CS","2021","Legal","Outside London","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","Outside London","SEO/HEO","115","[c]","41160","43160"
"Leaver CS","2021","No function","London","AA/AO","630","[c]","21940","22680"
"Leaver CS","2021","No function","London","EO","275","[c]","27180","26960"
