"Status","Year","Disability","Function_of_post","Profession_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Analysis","Commercial","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Commercial","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Commercial","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Commercial","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Commercial","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Communications","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Communications","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Corporate Finance","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Digital, Data and Technology","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Digital, Data and Technology","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Digital, Data and Technology","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Digital, Data and Technology","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Digital, Data and Technology","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Digital, Data and Technology","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Digital, Data and Technology","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Digital, Data and Technology","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Digital, Data and Technology","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Digital, Data and Technology","South Yorkshire","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Digital, Data and Technology","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Digital, Data and Technology","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Digital, Data and Technology","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Digital, Data and Technology","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Digital, Data and Technology","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Economics","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Economics","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Economics","East Wales","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Economics","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Economics","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Economics","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Economics","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Economics","Inner London - East","10","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Economics","Inner London - West","40","40","46940","42020"
"In post","2021","Declared disabled","Analysis","Economics","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Economics","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Economics","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Economics","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Economics","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Economics","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Economics","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Finance","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Finance","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Finance","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Finance","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Finance","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Finance","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Finance","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Finance","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Finance","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Finance","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Finance","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Human Resources","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Human Resources","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Human Resources","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Human Resources","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Intelligence Analysis","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Intelligence Analysis","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Intelligence Analysis","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Intelligence Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Intelligence Analysis","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Intelligence Analysis","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Intelligence Analysis","Inner London - West","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Intelligence Analysis","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Intelligence Analysis","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Intelligence Analysis","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Knowledge and Information Management","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Knowledge and Information Management","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Knowledge and Information Management","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Knowledge and Information Management","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Knowledge and Information Management","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Knowledge and Information Management","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Knowledge and Information Management","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Knowledge and Information Management","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Knowledge and Information Management","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Knowledge and Information Management","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Knowledge and Information Management","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Knowledge and Information Management","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Delivery","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Delivery","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Delivery","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Delivery","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Delivery","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Delivery","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Delivery","East Wales","25","20","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Delivery","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Delivery","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Delivery","Hampshire and Isle of Wight","10","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Delivery","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Delivery","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Delivery","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Delivery","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Delivery","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Delivery","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Delivery","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Delivery","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Delivery","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Delivery","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Research","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Research","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Research","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Research","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Research","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Research","Greater Manchester","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Research","Hampshire and Isle of Wight","35","35","39340","37320"
"In post","2021","Declared disabled","Analysis","Operational Research","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Research","Inner London - East","5","5","[c]","[c]"
