"Status","Year","Disability","Function_of_post","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Analysis","East Midlands (England)","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","East of England","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","East of England","Male","15","15","[c]","[c]"
"In post","2021","Declared disabled","Analysis","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","London","Female","100","95","48620","43500"
"In post","2021","Declared disabled","Analysis","London","Male","130","125","46170","42040"
"In post","2021","Declared disabled","Analysis","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","North West (England)","Female","20","20","[c]","[c]"
"In post","2021","Declared disabled","Analysis","North West (England)","Male","20","20","[c]","[c]"
"In post","2021","Declared disabled","Analysis","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","South East (England)","Female","50","50","38820","37020"
