"Status","Year","Ethnicity","Function_of_post","Region_ITL1","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Counter Fraud","East Midlands (England)","Outside London","40","40","31630","31810"
"In post","2021","Asian","Counter Fraud","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","London","London","270","260","35580","32520"
"In post","2021","Asian","Counter Fraud","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","North West (England)","Outside London","60","60","30000","27700"
"In post","2021","Asian","Counter Fraud","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Scotland","Outside London","10","10","[c]","[c]"
"In post","2021","Asian","Counter Fraud","South East (England)","Outside London","20","15","[c]","[c]"
"In post","2021","Asian","Counter Fraud","South West (England)","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Wales","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Counter Fraud","West Midlands (England)","Outside London","110","105","29360","25560"
"In post","2021","Asian","Counter Fraud","Yorkshire and The Humber","Outside London","85","80","28840","25560"
"In post","2021","Asian","Debt","East Midlands (England)","Outside London","25","25","[c]","[c]"
"In post","2021","Asian","Debt","East of England","Outside London","10","5","[c]","[c]"
"In post","2021","Asian","Debt","London","London","135","115","27330","25630"
"In post","2021","Asian","Debt","North East (England)","Outside London","10","10","[c]","[c]"
"In post","2021","Asian","Debt","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","Scotland","Outside London","20","20","[c]","[c]"
"In post","2021","Asian","Debt","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","Wales","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Debt","West Midlands (England)","Outside London","80","70","21550","20140"
"In post","2021","Asian","Debt","Yorkshire and The Humber","Outside London","60","50","21440","20140"
"In post","2021","Asian","Digital, Data & Technology","East Midlands (England)","Outside London","15","15","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","East of England","Outside London","20","20","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","London","London","430","425","45590","41760"
"In post","2021","Asian","Digital, Data & Technology","North East (England)","Outside London","15","15","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","North West (England)","Outside London","35","35","36230","31810"
"In post","2021","Asian","Digital, Data & Technology","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Scotland","Outside London","10","10","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","South East (England)","Outside London","30","30","37070","35410"
"In post","2021","Asian","Digital, Data & Technology","South West (England)","Outside London","45","40","33840","32060"
"In post","2021","Asian","Digital, Data & Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Wales","Outside London","30","30","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","West Midlands (England)","Outside London","105","105","37790","36240"
"In post","2021","Asian","Digital, Data & Technology","Yorkshire and The Humber","Outside London","70","65","33640","31810"
"In post","2021","Asian","Finance","East Midlands (England)","Outside London","25","25","[c]","[c]"
"In post","2021","Asian","Finance","East of England","Outside London","30","30","35830","37000"
"In post","2021","Asian","Finance","London","London","400","390","43070","39450"
"In post","2021","Asian","Finance","North East (England)","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Finance","North West (England)","Outside London","25","20","[c]","[c]"
"In post","2021","Asian","Finance","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Scotland","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Finance","South East (England)","Outside London","35","35","35070","31120"
"In post","2021","Asian","Finance","South West (England)","Outside London","35","30","37800","33300"
"In post","2021","Asian","Finance","Wales","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Finance","West Midlands (England)","Outside London","80","80","35090","31810"
"In post","2021","Asian","Finance","Yorkshire and The Humber","Outside London","100","90","26040","21440"
"In post","2021","Asian","Grants Management","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Grants Management","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Grants Management","London","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Grants Management","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Grants Management","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Grants Management","South East (England)","Outside London","15","15","[c]","[c]"
"In post","2021","Asian","Grants Management","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Grants Management","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Grants Management","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Grants Management","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","East Midlands (England)","Outside London","35","35","35030","31810"
"In post","2021","Asian","Human Resources","East of England","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Human Resources","London","London","275","265","40640","36160"
"In post","2021","Asian","Human Resources","North East (England)","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Human Resources","North West (England)","Outside London","50","50","30170","26670"
"In post","2021","Asian","Human Resources","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Scotland","Outside London","10","10","[c]","[c]"
"In post","2021","Asian","Human Resources","South East (England)","Outside London","15","15","[c]","[c]"
"In post","2021","Asian","Human Resources","South West (England)","Outside London","15","15","[c]","[c]"
