"Status","Year","Function_of_post","Profession_of_post","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Commercial","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","London","Heterosexual / straight","55","50","46860","44170"
"In post","2021","Analysis","Digital, Data and Technology","London","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","London","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","London","Unknown","15","15","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Outside London","Heterosexual / straight","115","110","39640","41990"
"In post","2021","Analysis","Digital, Data and Technology","Outside London","LGBO","10","10","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Outside London","Undeclared","15","15","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Outside London","Unknown","15","15","[c]","[c]"
"In post","2021","Analysis","Economics","London","Heterosexual / straight","725","710","48300","42470"
"In post","2021","Analysis","Economics","London","LGBO","65","65","44000","35900"
"In post","2021","Analysis","Economics","London","Undeclared","80","80","49170","53050"
"In post","2021","Analysis","Economics","London","Unknown","200","195","46490","37450"
"In post","2021","Analysis","Economics","Outside London","Heterosexual / straight","120","115","42380","38440"
"In post","2021","Analysis","Economics","Outside London","LGBO","10","10","[c]","[c]"
"In post","2021","Analysis","Economics","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2021","Analysis","Economics","Outside London","Unknown","65","65","33670","29540"
"In post","2021","Analysis","Finance","London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Analysis","Finance","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","London","Undeclared","[c]","[c]","[c]","[c]"
