"Status","Year","Disability","Parent_department","Region_ITL1","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Attorney General's Departments","East Midlands (England)","AA/AO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","East Midlands (England)","EO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","East Midlands (England)","G6/G7","15","15","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","East Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","East Midlands (England)","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","East of England","AA/AO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","East of England","EO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","East of England","G6/G7","20","20","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","East of England","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","East of England","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","London","AA/AO","40","35","23390","23520"
"In post","2021","Declared disabled","Attorney General's Departments","London","EO","75","70","29110","29280"
"In post","2021","Declared disabled","Attorney General's Departments","London","G6/G7","195","180","62050","62940"
"In post","2021","Declared disabled","Attorney General's Departments","London","SCS level","20","20","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","London","SEO/HEO","45","45","36970","36120"
"In post","2021","Declared disabled","Attorney General's Departments","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","North East (England)","AA/AO","15","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","North East (England)","EO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","North East (England)","G6/G7","15","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","North East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","North East (England)","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","North West (England)","AA/AO","25","20","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","North West (England)","EO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","North West (England)","G6/G7","50","45","56310","55610"
"In post","2021","Declared disabled","Attorney General's Departments","North West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","North West (England)","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","South East (England)","AA/AO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","South East (England)","EO","5","5","[c]","[c]"
